// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
50270,-9.290424,2.910624,-1.267978,-1.399284,-1.479738,-0.208323,-0.915257,0.269742,0.088713,-0.092934,0.029007,-0.012687,0.999989,-0.004576,0.001349,0.000444,0.245670,-0.664014,0.339495,0.619254,140.016487,81.569111,-89.009078
50271,-9.654625,2.467110,-1.709175,-0.760401,-1.445473,0.164886,-0.992075,0.405794,0.139711,-0.096598,0.024519,-0.017018,0.999985,-0.004960,0.002029,0.000699,0.241231,-0.666208,0.337403,0.619785,139.992283,81.338692,-88.458533
50272,-9.976908,1.941284,-2.132919,-0.073362,-1.323443,0.487774,-1.063157,0.496410,0.195341,-0.099841,0.019202,-0.021184,0.999982,-0.005316,0.002482,0.000977,0.236220,-0.668652,0.335377,0.620183,139.967307,81.047777,-87.867151
50273,-10.045768,1.447612,-2.284965,0.404655,-1.036175,0.531214,-1.031635,0.597431,0.263175,-0.100544,0.014227,-0.022623,0.999981,-0.005158,0.002987,0.001316,0.230927,-0.671236,0.333781,0.620246,139.987695,80.687734,-87.247632
50274,-10.052704,1.310806,-2.464978,0.631801,-0.997373,0.553444,-0.855836,0.694561,0.341658,-0.100634,0.012832,-0.024356,0.999983,-0.004279,0.003473,0.001708,0.225810,-0.673762,0.333096,0.619760,140.086419,80.255863,-86.650064
50275,-9.697558,1.373037,-2.930795,0.911975,-1.346969,0.280415,-0.656048,0.711501,0.440612,-0.097109,0.013421,-0.029007,0.999986,-0.003280,0.003557,0.002203,0.221025,-0.675931,0.333371,0.618975,140.061087,79.780224,-86.293953
50276,-9.384574,1.425267,-2.815652,0.802497,-1.264300,-0.025639,-0.433606,0.734914,0.552203,-0.093987,0.013933,-0.027842,0.999987,-0.002168,0.003675,0.002761,0.216600,-0.677720,0.334729,0.617848,139.929628,79.253170,-86.174740
50277,-9.427419,1.560820,-2.936164,0.791283,-1.335923,0.062622,-0.308157,0.775885,0.648185,-0.094437,0.015257,-0.029019,0.999986,-0.001541,0.003879,0.003241,0.212231,-0.679323,0.336835,0.616458,139.735920,78.672815,-86.192079
50278,-9.450979,1.837303,-2.942614,0.601839,-1.420467,0.135920,-0.152703,0.748689,0.737478,-0.094686,0.018002,-0.029086,0.999986,-0.000764,0.003743,0.003687,0.208152,-0.680506,0.339686,0.614977,139.404779,78.071084,-86.440580
50279,-9.312651,2.232846,-2.398289,-0.049688,-1.232725,-0.017798,-0.011464,0.672417,0.819972,-0.093297,0.021945,-0.023671,0.999986,-0.000057,0.003362,0.004100,0.204426,-0.681151,0.343162,0.613582,138.892459,77.471106,-86.957980
50280,-8.997613,2.619081,-1.979141,-0.599072,-1.168721,-0.325436,0.014798,0.605747,0.887045,-0.090151,0.025793,-0.019517,0.999986,0.000074,0.003029,0.004435,0.200690,-0.681427,0.346870,0.612423,138.207635,76.873228,-87.668770
