// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
52517,-4.489522,1.578284,8.665686,0.062356,-0.080466,0.073188,0.091997,0.077001,0.074560,-0.044868,0.015726,0.086681,1.000000,0.000460,0.000385,0.000373,0.237326,0.245681,-0.017883,-0.939680,9.702051,26.951354,-149.321369
52518,-4.524009,1.714735,8.592211,0.172901,-0.172967,0.044962,0.079790,0.066054,0.064683,-0.045217,0.017098,0.085944,1.000000,0.000399,0.000330,0.000323,0.237604,0.246056,-0.018236,-0.939504,9.767926,26.979694,-149.265951
52519,-4.472384,1.771079,8.652273,0.121546,-0.246356,0.083034,0.054588,0.056265,0.044626,-0.044703,0.017677,0.086540,1.000000,0.000273,0.000281,0.000223,0.237805,0.246354,-0.018460,-0.939371,9.812861,27.004251,-149.226032
52520,-4.513218,1.720041,8.612618,0.142763,-0.175831,0.059169,0.049368,0.044584,0.023371,-0.045115,0.017174,0.086140,1.000000,0.000247,0.000223,0.000117,0.237913,0.246594,-0.018648,-0.939277,9.848433,27.024176,-149.200493
52521,-4.520984,1.670674,8.616911,0.119668,-0.126640,0.059053,0.046364,0.041209,-0.002223,-0.045192,0.016687,0.086182,1.000000,0.000232,0.000206,-0.000011,0.237902,0.246816,-0.018793,-0.939218,9.874457,27.044788,-149.191872
52522,-4.486042,1.661358,8.627733,0.079351,-0.134205,0.051295,0.035049,0.031430,-0.019338,-0.044845,0.016603,0.086287,1.000000,0.000175,0.000157,-0.000097,0.237835,0.246983,-0.018874,-0.939190,9.888819,27.061720,-149.193699
52523,-4.522432,1.573983,8.684791,0.038659,-0.044903,0.104565,0.027337,0.029481,-0.026376,-0.045209,0.015734,0.086857,1.000000,0.000137,0.000147,-0.000132,0.237733,0.247130,-0.018914,-0.939176,9.896395,27.078085,-149.201669
52524,-4.533151,1.472460,8.655403,0.013616,0.051778,0.068139,0.023900,0.026487,-0.031149,-0.045318,0.014721,0.086562,1.000000,0.000119,0.000132,-0.000156,0.237604,0.247257,-0.018939,-0.939175,9.900597,27.092979,-149.213979
52525,-4.511564,1.448884,8.651033,-0.013708,0.062527,0.050870,0.025720,0.026113,-0.028958,-0.045102,0.014484,0.086518,1.000000,0.000129,0.000131,-0.000145,0.237492,0.247387,-0.018972,-0.939169,9.906329,27.107699,-149.223957
52526,-4.552887,1.456820,8.678305,0.005907,0.071874,0.094829,0.027359,0.021396,-0.023486,-0.045518,0.014562,0.086790,1.000000,0.000137,0.000107,-0.000117,0.237418,0.247498,-0.019023,-0.939157,9.914795,27.119400,-149.228873
