// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
02939,-9.449052,-2.222172,-1.345582,-0.906759,-1.586802,-0.184964,0.027319,-0.004983,-0.058322,-0.094497,-0.022192,-0.013461,1.000000,0.000137,-0.000025,-0.000292,-0.703974,0.170848,-0.683023,-0.093330,-85.659554,83.489976,-64.091969
02940,-9.424445,-2.144911,-0.497897,-0.149851,-1.203224,-0.210683,0.187674,0.003019,-0.033120,-0.094248,-0.021429,-0.004998,1.000000,0.000938,0.000015,-0.000166,-0.704156,0.170268,-0.683079,-0.092612,-85.545180,83.476469,-64.084597
02941,-9.467162,-1.896152,-0.581608,-0.324835,-0.997660,-0.197077,0.239089,0.025614,-0.028448,-0.094675,-0.018941,-0.005827,0.999999,0.001195,0.000128,-0.000142,-0.704308,0.169514,-0.683230,-0.091716,-85.502862,83.465296,-64.178434
02942,-9.549593,-1.144759,0.338308,0.254153,0.041691,-0.192223,0.381822,0.033526,-0.016897,-0.095496,-0.011446,0.003377,0.999998,0.001909,0.000168,-0.000084,-0.704540,0.168209,-0.683493,-0.090366,-85.423223,83.462436,-64.317990
02943,-9.724262,-0.136175,1.191645,0.680813,1.300710,-0.125351,0.300113,0.015417,-0.018984,-0.097242,-0.001370,0.011922,0.999999,0.001501,0.000077,-0.000095,-0.704771,0.167203,-0.683642,-0.089303,-85.291593,83.456210,-64.357120
02944,-10.089546,0.123561,1.198804,0.575447,1.581027,0.208318,0.105745,-0.042334,-0.046078,-0.100898,0.001253,0.011967,1.000000,0.000529,-0.000212,-0.000230,-0.705041,0.166936,-0.683487,-0.088857,-85.005284,83.433102,-64.129429
02945,-10.020506,-0.225883,0.720306,0.246933,1.079889,0.174968,-0.076863,-0.093418,-0.057238,-0.100209,-0.002227,0.007157,1.000000,-0.000384,-0.000467,-0.000286,-0.705346,0.167340,-0.683050,-0.089038,-84.568328,83.399520,-63.643811
02946,-9.753550,-1.079292,0.236842,0.100073,0.088909,0.002341,-0.187542,-0.119163,-0.061907,-0.097540,-0.010761,0.002320,0.999999,-0.000938,-0.000596,-0.000310,-0.705639,0.168126,-0.682479,-0.089603,-84.085355,83.362665,-63.048939
02947,-9.542623,-1.951981,-0.078813,0.115466,-0.855191,-0.110451,-0.122285,-0.133982,-0.045639,-0.095430,-0.019499,-0.000840,1.000000,-0.000611,-0.000670,-0.000228,-0.706038,0.168632,-0.681888,-0.090015,-83.480112,83.332244,-62.367640
02948,-9.146920,-2.408668,-0.577184,-0.176285,-1.500959,-0.457635,0.004331,-0.119832,-0.024625,-0.091469,-0.024075,-0.005827,1.000000,0.000022,-0.000599,-0.000123,-0.706477,0.168613,-0.681432,-0.090056,-82.873833,83.315185,-61.759237
02949,-9.220963,-2.610394,-0.531835,-0.077122,-1.666700,-0.360740,0.230550,-0.044300,-0.009884,-0.092210,-0.026093,-0.005369,0.999999,0.001153,-0.000221,-0.000049,-0.706851,0.167791,-0.681345,-0.089316,-82.487974,83.310048,-61.502290
02950,-9.746071,-2.235688,-0.276604,-0.012244,-1.174614,0.121135,0.444038,-0.003283,-0.048306,-0.097466,-0.022327,-0.002817,0.999998,0.002220,-0.000016,-0.000242,-0.707270,0.166352,-0.681475,-0.087678,-82.212854,83.287411,-61.480958
02951,-9.963245,-1.656197,-0.246466,-0.211422,-0.600232,0.270219,0.535627,0.003513,-0.079746,-0.099639,-0.016516,-0.002507,0.999996,0.002678,0.000018,-0.000399,-0.707760,0.164710,-0.681628,-0.085610,-81.931459,83.246012,-61.505152
02952,-9.731904,-0.911970,0.440620,0.177911,0.311593,-0.034802,0.670753,-0.010427,-0.071735,-0.097323,-0.009099,0.004371,0.999994,0.003354,-0.000052,-0.000359,-0.708391,0.162543,-0.681801,-0.083120,-81.510925,83.209476,-61.468193
02953,-9.597491,0.049536,0.910833,0.294899,1.355656,-0.272292,0.627197,-0.031343,-0.054073,-0.095976,0.000493,0.009095,0.999995,0.003136,-0.000157,-0.000270,-0.709051,0.160471,-0.681878,-0.080858,-80.997563,83.179639,-61.311619
02954,-9.606731,0.800667,0.903562,0.034314,2.054922,-0.351033,0.406661,-0.059362,-0.044709,-0.096068,0.008010,0.009023,0.999998,0.002033,-0.000297,-0.000224,-0.709613,0.159125,-0.681780,-0.079403,-80.482182,83.153805,-61.026733
02955,-9.487293,1.042283,0.929608,-0.019866,2.275463,-0.497049,0.132412,-0.103516,-0.021856,-0.094877,0.010427,0.009254,1.000000,0.000662,-0.000518,-0.000109,-0.710104,0.158667,-0.681422,-0.078999,-79.892334,83.134899,-60.507626
02956,-9.343229,0.517686,0.820378,0.046765,1.727415,-0.579553,-0.075654,-0.153480,0.021467,-0.093439,0.005170,0.008130,1.000000,-0.000378,-0.000767,0.000107,-0.710575,0.158770,-0.680849,-0.079497,-79.161478,83.135835,-59.727350
02957,-9.083785,-0.284110,0.420173,-0.065837,0.805937,-0.750761,-0.177097,-0.209134,0.073741,-0.090841,-0.002871,0.004109,0.999999,-0.000885,-0.001046,0.000369,-0.711141,0.159042,-0.680068,-0.080572,-78.169292,83.157250,-58.624462
02958,-8.704027,-0.992571,-0.047900,-0.263020,-0.068603,-1.056338,-0.184123,-0.225780,0.130898,-0.087033,-0.009983,-0.000568,0.999999,-0.000921,-0.001129,0.000654,-0.711726,0.159128,-0.679279,-0.081885,-77.044385,83.207412,-57.384815
02959,-8.594847,-1.488923,-0.163957,-0.210992,-0.601756,-1.111624,-0.095914,-0.177065,0.164378,-0.085935,-0.014961,-0.001708,0.999999,-0.000480,-0.000885,0.000822,-0.712207,0.158815,-0.678714,-0.082980,-76.032806,83.278752,-56.309476
02960,-9.148566,-1.724601,-0.445559,-0.440341,-0.881389,-0.544556,0.032576,-0.111723,0.130024,-0.091472,-0.017305,-0.004510,1.000000,0.000163,-0.000559,0.000650,-0.712574,0.158179,-0.678418,-0.083464,-75.287171,83.339584,-55.577037
02961,-10.049063,-1.795367,-0.516546,-0.549639,-0.897035,0.354272,0.158046,-0.060622,0.040881,-0.100485,-0.017970,-0.005210,1.000000,0.000790,-0.000303,0.000204,-0.712912,0.157429,-0.678275,-0.083165,-74.807337,83.356435,-55.183760
02962,-10.930345,-1.866606,-0.404847,-0.487316,-0.842099,1.240545,0.198091,-0.013426,-0.096395,-0.109312,-0.018609,-0.004074,0.999999,0.000990,-0.000067,-0.000482,-0.713169,0.157012,-0.678218,-0.082203,-74.712774,83.305556,-55.202341
02963,-10.999669,-2.234586,0.017048,0.014495,-1.027215,1.364564,0.259648,-0.024386,-0.182930,-0.110017,-0.022245,0.000128,0.999999,0.001298,-0.000122,-0.000915,-0.713554,0.156674,-0.678068,-0.080732,-74.635731,83.203903,-55.273205
02964,-10.207663,-2.356748,0.768174,0.799296,-0.956964,0.617368,0.405380,-0.036929,-0.170962,-0.102098,-0.023496,0.007615,0.999998,0.002027,-0.000185,-0.000855,-0.714081,0.155759,-0.677949,-0.078819,-74.410538,83.108266,-55.279844
02965,-9.333375,-1.835202,1.152649,1.038587,-0.421047,-0.296780,0.455234,-0.000286,-0.131698,-0.093346,-0.018317,0.011485,0.999997,0.002276,-0.000001,-0.000658,-0.714510,0.154559,-0.677998,-0.076848,-74.268773,83.038588,-55.398387
02966,-9.359014,-1.423522,1.383805,1.117770,0.047573,-0.311067,0.379478,0.064327,-0.115420,-0.093594,-0.014207,0.013841,0.999998,0.001897,0.000322,-0.000577,-0.714645,0.153586,-0.678268,-0.075142,-74.446429,82.989241,-55.795940
02967,-9.746616,-1.009456,1.329098,0.905725,0.465660,0.023208,0.286670,0.026625,-0.144537,-0.097472,-0.010043,0.013290,0.999999,0.001433,0.000133,-0.000723,-0.714853,0.153041,-0.678333,-0.073676,-74.533275,82.916516,-56.047515
02968,-9.645594,-0.679592,0.718116,0.226292,0.582190,-0.136694,0.119869,0.008809,-0.161980,-0.096461,-0.006722,0.007181,0.999999,0.000599,0.000044,-0.000810,-0.714991,0.153133,-0.678269,-0.072726,-74.661584,82.832799,-56.245553
02969,-9.429734,-0.550469,0.923176,0.389909,0.758694,-0.360307,0.072337,-0.006774,-0.144935,-0.094302,-0.005440,0.009227,1.000000,0.000362,-0.000034,-0.000725,-0.715147,0.153342,-0.678134,-0.072011,-74.717675,82.754716,-56.342442
02970,-9.279997,-0.794992,0.826507,0.379481,0.491735,-0.482754,-0.069795,-0.023215,-0.110958,-0.092805,-0.007896,0.008257,1.000000,-0.000349,-0.000116,-0.000555,-0.715229,0.153927,-0.677925,-0.071911,-74.750056,82.694312,-56.334287
02971,-9.286372,-1.548335,0.438616,0.242496,-0.332574,-0.396902,-0.163682,-0.012873,-0.079621,-0.092870,-0.015443,0.004393,1.000000,-0.000818,-0.000064,-0.000398,-0.715200,0.154756,-0.677732,-0.072235,-74.835748,82.651434,-56.324721
