// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
41466,-9.329702,0.589892,-1.525383,0.834207,-0.255425,-0.380988,-0.042606,0.008754,0.090686,-0.093300,0.005853,-0.015251,1.000000,-0.000213,0.000044,0.000453,-0.296750,-0.663217,-0.356191,0.587546,-169.415898,82.197010,65.716253
41467,-9.093871,0.138078,-1.650610,0.540774,0.138801,-0.586076,-0.011112,-0.013838,0.069830,-0.090938,0.001348,-0.016512,1.000000,-0.000056,-0.000069,0.000349,-0.297062,-0.663283,-0.355932,0.587472,-169.737360,82.216529,65.398945
41468,-9.123675,0.043267,-1.689674,0.479558,0.226145,-0.548930,0.049365,-0.018893,0.050937,-0.091235,0.000414,-0.016905,1.000000,0.000247,-0.000094,0.000255,-0.297127,-0.663389,-0.355549,0.587550,-169.945134,82.237001,65.161395
41469,-9.434047,-0.017986,-1.729466,0.433027,0.259856,-0.234714,0.095842,-0.032322,0.033012,-0.094338,-0.000187,-0.017310,1.000000,0.000479,-0.000162,0.000165,-0.297009,-0.663494,-0.355071,0.587781,-170.042220,82.262938,65.008734
41470,-9.627954,-0.016288,-1.763221,0.444004,0.267443,-0.038330,0.163652,-0.052764,0.026954,-0.096275,-0.000161,-0.017658,1.000000,0.000818,-0.000264,0.000135,-0.296685,-0.663628,-0.354381,0.588209,-170.062158,82.300033,64.894688
41471,-9.694557,0.217402,-1.699364,0.597837,0.078578,0.013602,0.143206,-0.049178,0.020928,-0.096942,0.002176,-0.017016,1.000000,0.000716,-0.000246,0.000105,-0.296404,-0.663731,-0.353778,0.588597,-170.070978,82.334225,64.803750
41472,-9.677835,0.128517,-1.518011,0.425248,-0.011069,-0.024919,0.113919,-0.046559,0.001428,-0.096775,0.001293,-0.015202,1.000000,0.000570,-0.000233,0.000007,-0.296159,-0.663764,-0.353328,0.588954,-170.017726,82.365291,64.792320
41473,-9.586936,-0.081320,-1.403251,0.196765,0.031461,-0.125306,0.111086,-0.050632,-0.005584,-0.095866,-0.000803,-0.014057,1.000000,0.000555,-0.000253,-0.000028,-0.295908,-0.663768,-0.352905,0.589329,-169.932702,82.397659,64.814655
41474,-9.587550,-0.014668,-1.317367,0.206046,-0.072704,-0.137511,0.097883,-0.047551,-0.011049,-0.095872,-0.000135,-0.013197,1.000000,0.000489,-0.000238,-0.000055,-0.295681,-0.663751,-0.352542,0.589679,-169.834496,82.428033,64.857848
41475,-9.732518,0.085085,-1.281418,0.262918,-0.172767,-0.000848,0.065790,-0.054169,-0.012858,-0.097322,0.000861,-0.012840,1.000000,0.000329,-0.000271,-0.000064,-0.295565,-0.663665,-0.352272,0.589996,-169.740932,82.461641,64.914979
41476,-9.717851,-0.058508,-1.198998,0.103445,-0.149901,-0.022668,0.026530,-0.065078,-0.011533,-0.097175,-0.000578,-0.012022,1.000000,0.000133,-0.000325,-0.000058,-0.295604,-0.663490,-0.352095,0.590279,-169.666821,82.501829,64.975097
41477,-9.644920,-0.249245,-1.340016,0.037296,0.088639,-0.072410,-0.027310,-0.073988,-0.014355,-0.096444,-0.002487,-0.013436,1.000000,-0.000137,-0.000370,-0.000072,-0.295828,-0.663204,-0.352074,0.590499,-169.603479,82.546441,65.055539
41478,-9.763353,-0.334045,-1.107615,-0.168292,-0.058565,0.017353,-0.084894,-0.054890,-0.016494,-0.097631,-0.003337,-0.011102,1.000000,-0.000424,-0.000274,-0.000082,-0.296204,-0.662886,-0.352257,0.590559,-169.578601,82.580357,65.130377
41479,-9.768288,-0.730213,-1.088869,-0.500675,0.159468,0.029171,-0.131830,-0.063065,-0.002594,-0.097680,-0.007308,-0.010915,1.000000,-0.000659,-0.000315,-0.000013,-0.296790,-0.662498,-0.352523,0.590542,-169.633830,82.620027,65.151624
41480,-9.882917,-1.775773,-1.354493,-1.208907,0.969768,0.200212,-0.076734,-0.070966,0.029569,-0.098822,-0.017778,-0.013573,1.000000,-0.000384,-0.000355,0.000148,-0.297303,-0.662225,-0.352505,0.590601,-169.792426,82.667740,65.036739
41481,-10.110579,-2.185283,-1.287720,-1.592928,1.135699,0.425977,0.151237,-0.091425,0.060813,-0.101093,-0.021874,-0.012940,1.000000,0.000756,-0.000457,0.000304,-0.297188,-0.662285,-0.351682,0.591082,-169.942692,82.729796,64.798643
41482,-10.168007,-1.227666,-1.052791,-0.944648,0.403734,0.431751,0.344486,-0.122702,0.098864,-0.101668,-0.012309,-0.010611,0.999998,0.001722,-0.000614,0.000494,-0.296601,-0.662605,-0.350113,0.591949,-170.131991,82.813490,64.409568
41483,-10.058462,-0.692814,-0.876593,-0.600788,-0.016828,0.289779,0.380006,-0.142061,0.108984,-0.100575,-0.006966,-0.008851,0.999998,0.001900,-0.000710,0.000545,-0.295957,-0.662935,-0.348377,0.592924,-170.336569,82.908614,63.984701
41484,-9.750945,-0.439399,-0.659998,-0.501691,-0.284865,-0.046587,0.353925,-0.150707,0.126127,-0.097502,-0.004444,-0.006681,0.999998,0.001770,-0.000754,0.000631,-0.295466,-0.663228,-0.346645,0.593856,-170.639453,83.010327,63.475888
41485,-9.604663,-0.263590,-0.604663,-0.383731,-0.396624,-0.201232,0.275318,-0.138321,0.137316,-0.096041,-0.002693,-0.006117,0.999999,0.001377,-0.000692,0.000687,-0.295244,-0.663459,-0.345130,0.594591,-171.058548,83.105384,62.895511
41486,-9.473506,-0.482077,-0.651963,-0.527949,-0.196961,-0.321258,0.220602,-0.128678,0.151504,-0.094727,-0.004885,-0.006586,0.999999,0.001103,-0.000643,0.000758,-0.295231,-0.663660,-0.343740,0.595178,-171.599942,83.195885,62.223617
41487,-9.566706,-0.586116,-0.802140,-0.532799,-0.005352,-0.209308,0.225263,-0.119722,0.172291,-0.095657,-0.005934,-0.008085,0.999999,0.001126,-0.000599,0.000861,-0.295245,-0.663929,-0.342283,0.595711,-172.258081,83.281912,61.431605
