// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
43496,2.687984,4.916409,8.693662,0.057668,0.121296,0.529362,-0.045369,0.433679,0.425498,0.026964,0.049241,0.086867,0.999995,-0.000227,0.002168,0.002127,-0.118296,-0.166389,-0.234701,-0.950387,30.190350,-15.113919,161.710840
43497,2.799452,5.095748,8.693672,-0.092118,-0.014445,0.645552,-0.045090,0.403432,0.393838,0.028069,0.051032,0.086869,0.999996,-0.000225,0.002017,0.001969,-0.115941,-0.164933,-0.234354,-0.951017,30.075739,-15.032465,162.038242
43498,2.677207,4.902210,8.620574,-0.000262,0.071288,0.459034,-0.075557,0.384687,0.330248,0.026857,0.049099,0.086136,0.999997,-0.000378,0.001923,0.001651,-0.113932,-0.163476,-0.233900,-0.951623,29.953769,-14.941812,162.327271
43499,2.409269,4.324000,8.577028,0.289991,0.464501,0.075036,-0.008933,0.358870,0.274648,0.024187,0.043277,0.085725,0.999997,-0.000045,0.001794,0.001373,-0.112165,-0.162111,-0.233794,-0.952092,29.880144,-14.847237,162.579653
43500,1.707554,4.052271,8.774387,1.031542,0.582292,-0.069827,0.209729,0.274236,0.289158,0.017137,0.040455,0.087763,0.999997,0.001049,0.001371,0.001446,-0.110248,-0.161290,-0.234666,-0.952241,29.936254,-14.799171,162.814541
43501,1.727555,4.862951,8.944409,0.968574,-0.020958,0.468194,0.393389,0.146515,0.357273,0.017254,0.048484,0.089527,0.999996,0.001967,0.000733,0.001786,-0.108009,-0.161256,-0.236289,-0.952102,30.098712,-14.834058,163.046443
43502,1.546497,5.636453,9.010744,1.080235,-0.687243,0.851057,0.341410,0.048287,0.392844,0.015376,0.056241,0.090200,0.999997,0.001707,0.000241,0.001964,-0.105757,-0.161703,-0.237578,-0.951958,30.233550,-14.928706,163.267452
43503,1.680565,5.183656,8.703943,0.930412,-0.371969,0.407347,0.200314,-0.049005,0.386015,0.016684,0.051782,0.087095,0.999998,0.001002,-0.000245,0.001930,-0.103768,-0.162527,-0.238151,-0.951893,30.295976,-15.069617,163.455667
43504,2.125583,4.381289,8.285002,0.490633,0.272715,-0.218944,0.156783,-0.072403,0.338603,0.021152,0.043784,0.082892,0.999998,0.000784,-0.000362,0.001693,-0.102066,-0.163385,-0.238539,-0.951834,30.340795,-15.208728,163.612706
43505,2.184285,4.035001,8.112308,0.434703,0.519768,-0.517381,0.178669,-0.034315,0.264366,0.021776,0.040306,0.081163,0.999999,0.000893,-0.000172,0.001322,-0.100655,-0.163982,-0.239113,-0.951737,30.405253,-15.307479,163.742955
43506,2.067804,4.334842,8.291787,0.589137,0.313571,-0.253663,0.205302,-0.026789,0.182204,0.020627,0.043282,0.082965,0.999999,0.001027,-0.000134,0.000911,-0.099603,-0.164458,-0.239882,-0.951572,30.494894,-15.378960,163.833453
43507,2.255136,4.751133,8.415137,0.427094,0.065718,0.101278,0.132036,-0.034177,0.099767,0.022513,0.047467,0.084187,1.000000,0.000660,-0.000171,0.000499,-0.099013,-0.164834,-0.240369,-0.951446,30.554733,-15.430075,163.879298
43508,2.385332,4.683768,8.393779,0.315195,0.153659,0.084790,0.036208,-0.040828,0.043509,0.023826,0.046828,0.083951,1.000000,0.000181,-0.000204,0.000218,-0.098777,-0.165127,-0.240440,-0.951402,30.567369,-15.468204,163.894465
43509,2.473573,4.500603,8.208819,0.191634,0.256301,-0.135069,-0.001353,-0.027377,0.013946,0.024721,0.045008,0.082091,1.000000,-0.000007,-0.000137,0.000070,-0.098697,-0.165301,-0.240366,-0.951398,30.561906,-15.490990,163.898412
43510,2.577064,4.557077,7.971506,0.005462,0.133576,-0.276690,0.013698,0.008144,-0.009062,0.025776,0.045564,0.079717,1.000000,0.000068,0.000041,-0.000045,-0.098671,-0.165286,-0.240397,-0.951396,30.564846,-15.489624,163.901476
43511,2.330522,4.559777,8.021470,0.250041,0.088596,-0.299722,0.038358,0.046411,-0.015373,0.023327,0.045581,0.080218,1.000000,0.000192,0.000232,-0.000077,-0.098609,-0.165093,-0.240573,-0.951391,30.580187,-15.467466,163.912725
43512,1.894154,4.328081,8.172918,0.732918,0.242841,-0.404151,0.106721,0.032883,0.007997,0.018953,0.043238,0.081749,1.000000,0.000534,0.000164,0.000040,-0.098395,-0.165027,-0.241045,-0.951305,30.632093,-15.458871,163.932006
