// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
41635,-7.352140,6.234032,1.006605,0.042646,0.034877,-0.121076,-0.012786,0.012088,0.001985,-0.073521,0.062340,0.010067,1.000000,-0.000064,0.000060,0.000010,-0.261943,0.322431,-0.587833,-0.694174,81.131659,49.078116,-178.652569
41636,-7.405557,6.235281,0.995375,0.079550,0.024727,-0.081046,0.006800,0.011516,0.006201,-0.074057,0.062350,0.009960,1.000000,0.000034,0.000058,0.000031,-0.261883,0.322391,-0.587886,-0.694170,81.139697,49.069264,-178.646504
41637,-7.388583,6.221331,1.019877,0.076656,0.052637,-0.100446,0.027356,0.012788,0.003939,-0.073886,0.062210,0.010212,1.000000,0.000137,0.000064,0.000020,-0.261862,0.322337,-0.588009,-0.694099,81.160462,49.062178,-178.639427
41638,-7.418677,6.339861,1.010327,0.010524,0.026142,-0.001950,0.039606,0.015814,-0.003161,-0.074185,0.063398,0.010122,1.000000,0.000198,0.000079,-0.000016,-0.261874,0.322296,-0.588166,-0.693980,81.189121,49.059009,-178.630909
41639,-7.433397,6.352048,1.022263,0.009310,0.039285,0.018249,0.044440,0.012869,-0.015031,-0.074329,0.063524,0.010242,1.000000,0.000222,0.000064,-0.000075,-0.261946,0.322276,-0.588318,-0.693833,81.217803,49.062667,-178.626309
41640,-7.428054,6.460657,1.051738,-0.079754,0.052716,0.087468,0.036973,0.014864,-0.018280,-0.074274,0.064611,0.010535,1.000000,0.000185,0.000074,-0.000091,-0.262010,0.322280,-0.588441,-0.693703,81.242816,49.067965,-178.620641
41641,-7.432557,6.461171,1.006442,-0.072541,0.010502,0.086665,0.023880,0.016960,-0.030418,-0.074315,0.064622,0.010078,1.000000,0.000119,0.000085,-0.000152,-0.262090,0.322346,-0.588502,-0.693591,81.260850,49.080691,-178.614545
41642,-7.398221,6.450307,1.043851,-0.094401,0.050010,0.057386,0.010355,0.012862,-0.033084,-0.073971,0.064515,0.010447,1.000000,0.000052,0.000064,-0.000165,-0.262167,0.322421,-0.588505,-0.693523,81.267822,49.094204,-178.612559
41643,-7.375435,6.402678,1.025654,-0.073770,0.039237,0.007512,-0.023128,0.005929,-0.034149,-0.073743,0.064041,0.010251,1.000000,-0.000116,0.000030,-0.000171,-0.262217,0.322522,-0.588383,-0.693561,81.251341,49.108081,-178.616494
41644,-7.366484,6.367381,1.024957,-0.055320,0.041951,-0.022164,-0.037652,0.003972,-0.029576,-0.073655,0.063687,0.010239,1.000000,-0.000188,0.000020,-0.000148,-0.262232,0.322619,-0.588214,-0.693654,81.225335,49.118824,-178.621746
41645,-7.385749,6.288092,0.996259,0.018491,0.024568,-0.061740,-0.037978,0.003352,-0.027423,-0.073849,0.062893,0.009952,1.000000,-0.000190,0.000017,-0.000137,-0.262241,0.322710,-0.588048,-0.693749,81.199324,49.128665,-178.627031
41646,-7.342553,6.246539,0.993634,0.020114,0.025401,-0.121527,-0.040062,0.003437,-0.024038,-0.073418,0.062476,0.009925,1.000000,-0.000200,0.000017,-0.000120,-0.262234,0.322792,-0.587879,-0.693856,81.172133,49.136212,-178.632036
41647,-7.318818,6.199561,0.977846,0.040704,0.014638,-0.171424,-0.035518,0.001285,-0.018998,-0.073182,0.062004,0.009768,1.000000,-0.000178,0.000006,-0.000095,-0.262225,0.322849,-0.587732,-0.693958,81.147023,49.141098,-178.637992
41648,-7.325802,6.179716,0.950191,0.063056,-0.010944,-0.181746,-0.011233,0.006960,-0.020694,-0.073251,0.061805,0.009501,1.000000,-0.000056,0.000035,-0.000103,-0.262243,0.322895,-0.587673,-0.693980,81.139010,49.147062,-178.639513
41649,-7.335471,6.208717,0.994455,0.040580,0.027360,-0.151226,0.001479,0.006841,-0.020378,-0.073348,0.062095,0.009948,1.000000,0.000007,0.000034,-0.000102,-0.262282,0.322926,-0.587659,-0.693963,81.138592,49.153218,-178.640849
41650,-7.311594,6.209012,1.090404,0.010303,0.122239,-0.159441,0.026036,0.010346,-0.020575,-0.073109,0.062096,0.010916,1.000000,0.000130,0.000052,-0.000103,-0.262349,0.322935,-0.587734,-0.693869,81.154153,49.159423,-178.639413
41651,-7.283987,6.296691,1.005779,-0.062009,0.025022,-0.132196,0.021032,0.010278,-0.015387,-0.072835,0.062971,0.010068,1.000000,0.000105,0.000051,-0.000077,-0.262392,0.322937,-0.587801,-0.693795,81.167699,49.163056,-178.637099
41652,-7.354699,6.402564,0.970379,-0.089910,-0.024794,-0.013842,0.035065,0.014022,-0.008960,-0.073543,0.064027,0.009720,1.000000,0.000175,0.000070,-0.000045,-0.262423,0.322913,-0.587930,-0.693685,81.191974,49.163012,-178.630899
41653,-7.403288,6.467978,1.100330,-0.125140,0.095885,0.078181,0.048130,0.010529,-0.011572,-0.074029,0.064681,0.011023,1.000000,0.000241,0.000053,-0.000058,-0.262495,0.322870,-0.588098,-0.693536,81.221601,49.164506,-178.627852
41654,-7.404091,6.489473,1.042122,-0.132986,0.036964,0.086847,0.016464,0.005634,-0.017548,-0.074035,0.064900,0.010429,1.000000,0.000082,0.000028,-0.000088,-0.262551,0.322866,-0.588138,-0.693483,81.228873,49.168574,-178.630085
