// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
20391,-3.708643,-1.074864,9.110510,0.017600,-0.031578,0.082233,0.005722,0.002049,-0.008975,-0.037086,-0.010750,0.091105,1.000000,0.000029,0.000010,-0.000045,0.196659,0.175632,0.094456,-0.959977,-6.954210,21.984579,-158.197737
20392,-3.713934,-1.059663,9.079792,0.037681,-0.035887,0.054233,0.006449,0.003166,-0.008231,-0.037138,-0.010598,0.090798,1.000000,0.000032,0.000016,-0.000041,0.196658,0.175633,0.094458,-0.959977,-6.954485,21.984721,-158.197960
20393,-3.696220,-1.092093,9.099601,0.003107,-0.017719,0.069474,0.005077,0.004327,-0.005415,-0.036961,-0.010922,0.090997,1.000000,0.000025,0.000022,-0.000027,0.196672,0.175639,0.094467,-0.959972,-6.955102,21.985716,-158.196449
20394,-3.679383,-1.089967,9.116979,-0.015782,-0.029736,0.078928,0.009631,0.001650,-0.009153,-0.036794,-0.010902,0.091170,1.000000,0.000048,0.000008,-0.000046,0.196665,0.175636,0.094454,-0.959976,-6.953739,21.984984,-158.196921
20395,-3.684648,-1.074479,9.086305,0.004308,-0.034066,0.050927,0.008259,0.002812,-0.006337,-0.036846,-0.010747,0.090863,1.000000,0.000041,0.000014,-0.000032,0.196673,0.175637,0.094447,-0.959975,-6.952702,21.985053,-158.195862
20396,-3.713751,-1.092498,9.082146,0.023177,-0.006635,0.060017,0.006448,0.003165,-0.008229,-0.037137,-0.010926,0.090822,1.000000,0.000032,0.000016,-0.000041,0.196671,0.175638,0.094449,-0.959975,-6.952996,21.985141,-158.196127
20397,-3.713967,-1.092108,9.082105,0.023480,-0.006883,0.060016,0.008766,0.003525,-0.007946,-0.037138,-0.010924,0.090821,1.000000,0.000044,0.000018,-0.000040,0.196670,0.175642,0.094442,-0.959975,-6.952058,21.985504,-158.196109
20398,-3.709964,-1.072179,9.110289,0.019698,-0.033236,0.082224,0.008038,0.002408,-0.008690,-0.037099,-0.010724,0.091103,1.000000,0.000040,0.000012,-0.000043,0.196667,0.175641,0.094437,-0.959976,-6.951528,21.985253,-158.196311
20399,-3.710214,-1.072018,9.110206,0.020005,-0.033486,0.082222,0.001165,0.004725,-0.005236,-0.037100,-0.010720,0.091103,1.000000,0.000006,0.000024,-0.000026,0.196685,0.175645,0.094465,-0.959969,-6.954356,21.986487,-158.194720
20400,-3.684840,-1.107171,9.088533,-0.009931,-0.005080,0.056719,0.011083,0.003885,-0.007662,-0.036847,-0.011075,0.090885,1.000000,0.000055,0.000019,-0.000038,0.196688,0.175655,0.094447,-0.959968,-6.951940,21.987191,-158.193987
