// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
38240,-3.428983,0.102886,9.282762,0.011929,-0.038354,0.083603,0.016072,0.009731,-0.007602,-0.034285,0.001023,0.092829,1.000000,0.000080,0.000049,-0.000038,-0.951488,0.037976,-0.171567,-0.252573,0.879202,20.222805,29.889507
38241,-3.433457,0.119815,9.300825,0.006637,-0.023433,0.102338,0.019407,0.011805,-0.011449,-0.034329,0.001191,0.093010,1.000000,0.000097,0.000059,-0.000057,-0.951482,0.037928,-0.171622,-0.252567,0.886385,20.227528,29.890328
38242,-3.414599,0.161970,9.269811,-0.007060,0.016349,0.067333,0.020821,0.010638,-0.006041,-0.034141,0.001611,0.092700,1.000000,0.000104,0.000053,-0.000030,-0.951470,0.037868,-0.171674,-0.252585,0.895467,20.231506,29.894366
38243,-3.420578,0.176377,9.322204,-0.001556,0.033678,0.118769,0.017440,0.013243,-0.007193,-0.034200,0.001757,0.093224,1.000000,0.000087,0.000066,-0.000036,-0.951457,0.037828,-0.171733,-0.252601,0.902427,20.237015,29.897801
38244,-3.438771,0.142666,9.283623,-0.010377,-0.010851,0.088370,0.017813,0.009338,-0.008993,-0.034383,0.001420,0.092838,1.000000,0.000089,0.000047,-0.000045,-0.951449,0.037782,-0.171775,-0.252608,0.909172,20.240281,29.900027
38245,-3.421315,0.181853,9.286980,-0.013274,0.031333,0.086065,0.017442,0.013243,-0.007194,-0.034207,0.001812,0.092872,1.000000,0.000087,0.000066,-0.000036,-0.951436,0.037742,-0.171835,-0.252623,0.916134,20.245789,29.903464
38246,-3.420315,0.164795,9.302511,0.001934,0.018908,0.100035,0.016077,0.009732,-0.007603,-0.034199,0.001642,0.093027,1.000000,0.000080,0.000049,-0.000038,-0.951426,0.037704,-0.171876,-0.252639,0.922156,20.249252,29.906643
38247,-3.447404,0.180485,9.284900,-0.032263,0.016592,0.093130,0.014340,0.010126,-0.006213,-0.034469,0.001799,0.092851,1.000000,0.000072,0.000051,-0.000031,-0.951413,0.037674,-0.171917,-0.252662,0.927538,20.252965,29.910648
38248,-3.448359,0.181607,9.284523,-0.032717,0.016623,0.093128,0.016242,0.010117,-0.011002,-0.034479,0.001810,0.092847,1.000000,0.000081,0.000051,-0.000055,-0.951407,0.037639,-0.171960,-0.252661,0.932975,20.256704,29.911730
38249,-3.404606,0.205667,9.305185,-0.001896,0.061163,0.097730,0.006350,0.008959,-0.007862,-0.034042,0.002055,0.093053,1.000000,0.000032,0.000045,-0.000039,-0.951396,0.037646,-0.171985,-0.252684,0.933427,20.259763,29.914717
38250,-3.396179,0.156265,9.284060,0.023071,0.018989,0.074239,0.005218,0.004402,-0.011136,-0.033960,0.001562,0.092841,1.000000,0.000026,0.000022,-0.000056,-0.951393,0.037657,-0.171986,-0.252694,0.932484,20.260218,29.915722
38251,-3.448293,0.164327,9.299719,-0.018398,0.004261,0.107098,0.004984,0.005447,-0.008271,-0.034480,0.001642,0.092998,1.000000,0.000025,0.000027,-0.000041,-0.951385,0.037667,-0.171993,-0.252716,0.932055,20.261268,29.918426
38252,-3.419096,0.134399,9.298386,0.019774,-0.008207,0.095279,0.006957,0.004008,-0.012525,-0.034189,0.001343,0.092985,1.000000,0.000035,0.000020,-0.000063,-0.951385,0.037669,-0.171995,-0.252718,0.931808,20.261505,29.918536
38253,-3.423750,0.171116,9.266271,-0.012028,0.016722,0.067328,0.001789,0.006096,-0.010324,-0.034235,0.001712,0.092664,1.000000,0.000009,0.000030,-0.000052,-0.951378,0.037697,-0.172000,-0.252733,0.929117,20.262947,29.919992
38254,-3.425606,0.168369,9.300500,-0.001693,0.019187,0.100035,0.005289,0.002972,-0.010602,-0.034255,0.001683,0.093006,1.000000,0.000026,0.000015,-0.000053,-0.951376,0.037705,-0.171995,-0.252744,0.928334,20.262581,29.921175
38255,-3.427254,0.165516,9.334809,0.008643,0.021654,0.132743,0.000659,0.001538,-0.013598,-0.034272,0.001657,0.093348,1.000000,0.000003,0.000008,-0.000068,-0.951378,0.037735,-0.171977,-0.252746,0.924287,20.261441,29.920587
38256,-3.428126,0.186346,9.284379,-0.018284,0.031697,0.086056,0.003785,0.002320,-0.012078,-0.034280,0.001864,0.092844,1.000000,0.000019,0.000012,-0.000060,-0.951377,0.037750,-0.171966,-0.252753,0.922307,20.260703,29.921039
38257,-3.426208,0.167384,9.300296,-0.003053,0.019291,0.100034,-0.007448,0.000890,-0.013815,-0.034262,0.001680,0.093003,1.000000,-0.000037,0.000004,-0.000069,-0.951378,0.037818,-0.171935,-0.252761,0.913567,20.259194,29.920312
38258,-3.424261,0.148117,9.316227,0.012171,0.006892,0.114014,-0.002701,0.001802,-0.012252,-0.034242,0.001485,0.093163,1.000000,-0.000014,0.000009,-0.000061,-0.951377,0.037864,-0.171913,-0.252773,0.907832,20.258161,29.920757
38259,-3.424497,0.147491,9.316150,0.011722,0.006928,0.114014,-0.001031,0.002839,-0.014175,-0.034244,0.001478,0.093162,1.000000,-0.000005,0.000014,-0.000071,-0.951378,0.037905,-0.171899,-0.252774,0.902699,20.257773,29.919829
38260,-3.452368,0.158655,9.333176,-0.011695,0.006993,0.139800,-0.001031,0.002839,-0.014176,-0.034522,0.001589,0.093332,1.000000,-0.000005,0.000014,-0.000071,-0.951378,0.037945,-0.171884,-0.252774,0.897531,20.257356,29.918951
38261,-3.447726,0.145311,9.280260,-0.018009,-0.010289,0.088360,0.002212,0.003099,-0.014089,-0.034476,0.001455,0.092803,1.000000,0.000011,0.000015,-0.000070,-0.951380,0.037970,-0.171876,-0.252772,0.894276,20.257116,29.918078
38262,-3.448060,0.144771,9.280145,-0.018464,-0.010254,0.088359,-0.002604,0.003617,-0.016186,-0.034479,0.001452,0.092802,1.000000,-0.000013,0.000018,-0.000081,-0.951382,0.038021,-0.171862,-0.252763,0.887770,20.257150,29.915813
38263,-3.446114,0.125661,9.296066,-0.003220,-0.022647,0.102342,-0.002393,-0.000674,-0.014584,-0.034461,0.001260,0.092961,1.000000,-0.000012,-0.000003,-0.000073,-0.951387,0.038064,-0.171829,-0.252763,0.881760,20.254752,29.914603
38264,-3.440549,0.090993,9.293593,0.016944,-0.049903,0.097598,-0.000794,0.001794,-0.017041,-0.034405,0.000913,0.092936,1.000000,-0.000004,0.000009,-0.000085,-0.951392,0.038104,-0.171810,-0.252749,0.876139,20.253777,29.911889
38265,-3.461340,0.071502,9.273772,0.003384,-0.079593,0.085924,0.011777,0.003498,-0.010428,-0.034612,0.000711,0.092738,1.000000,0.000059,0.000017,-0.000052,-0.951390,0.038081,-0.171816,-0.252756,0.879140,20.253733,29.913256
38266,-3.445010,0.107334,9.311663,0.011130,-0.034958,0.116327,0.011425,0.010649,-0.013098,-0.034445,0.001070,0.093119,1.000000,0.000057,0.000053,-0.000065,-0.951386,0.038072,-0.171854,-0.252749,0.881345,20.257774,29.912999
38267,-3.399865,0.134694,9.297965,0.031073,0.007217,0.088240,0.022870,0.007796,-0.009758,-0.033995,0.001338,0.092981,1.000000,0.000114,0.000039,-0.000049,-0.951381,0.038001,-0.171895,-0.252749,0.890857,20.260186,29.914816
38268,-3.452227,0.144335,9.313482,-0.010389,-0.007604,0.121068,0.022823,0.006890,-0.007791,-0.034519,0.001434,0.093136,1.000000,0.000114,0.000034,-0.000039,-0.951375,0.037928,-0.171931,-0.252758,0.900716,20.262037,29.917860
38269,-3.448160,0.133044,9.260319,-0.016662,-0.024895,0.069626,0.019299,0.012348,-0.010017,-0.034476,0.001323,0.092605,1.000000,0.000096,0.000062,-0.000050,-0.951366,0.037880,-0.171988,-0.252759,0.908142,20.267058,29.919564
38270,-3.426502,0.135903,9.295637,0.011687,-0.007534,0.095292,0.022755,0.008320,-0.008325,-0.034261,0.001350,0.092958,1.000000,0.000114,0.000042,-0.000042,-0.951360,0.037809,-0.172031,-0.252764,0.917878,20.269747,29.922112
38271,-3.430899,0.153577,9.313696,0.006300,0.007366,0.114019,0.027670,0.009620,-0.010161,-0.034304,0.001525,0.093139,1.000000,0.000138,0.000048,-0.000051,-0.951356,0.037718,-0.172086,-0.252758,0.930063,20.273206,29.923702
38272,-3.407743,0.159650,9.314640,0.023872,0.022279,0.106972,0.026050,0.009489,-0.010205,-0.034073,0.001586,0.093148,1.000000,0.000130,0.000047,-0.000051,-0.951351,0.037634,-0.172138,-0.252750,0.941257,20.276554,29.925050
38273,-3.394400,0.098944,9.240713,0.043209,-0.037140,0.032071,0.020899,0.009237,-0.005505,-0.033940,0.000981,0.092409,1.000000,0.000104,0.000046,-0.000028,-0.951340,0.037571,-0.172184,-0.252772,0.950547,20.279750,29.929481
38274,-3.441323,0.212314,9.298990,-0.031415,0.047133,0.104761,0.033947,0.008858,-0.004618,-0.034409,0.002108,0.092992,1.000000,0.000170,0.000044,-0.000023,-0.951330,0.037445,-0.172244,-0.252787,0.967478,20.282710,29.934558
38275,-3.382641,0.154604,9.296533,0.045494,0.022410,0.081206,0.020972,0.007808,-0.004971,-0.033823,0.001537,0.092967,1.000000,0.000105,0.000039,-0.000025,-0.951319,0.037379,-0.172283,-0.252811,0.976919,20.285079,29.939303
38276,-3.394815,0.224342,9.300932,0.003712,0.076964,0.090670,0.020784,0.009762,-0.004075,-0.033944,0.002234,0.093011,1.000000,0.000104,0.000049,-0.000020,-0.951306,0.037315,-0.172331,-0.252838,0.986391,20.288516,29.944448
38277,-3.421722,0.240498,9.283281,-0.030475,0.074500,0.083719,0.021164,0.005854,-0.005867,-0.034214,0.002396,0.092834,1.000000,0.000106,0.000029,-0.000029,-0.951298,0.037247,-0.172360,-0.252858,0.995746,20.289773,29.948626
38278,-3.408903,0.155740,9.294326,0.026105,0.007642,0.088254,0.016277,0.007794,-0.008504,-0.034085,0.001551,0.092945,1.000000,0.000081,0.000039,-0.000043,-0.951290,0.037207,-0.172392,-0.252870,1.001719,20.292145,29.951309
