// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472E6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
48082,-0.268444,1.953556,9.977418,0.657031,-0.843705,0.301351,-0.024889,0.110852,0.175084,-0.002646,0.019546,0.099773,0.999999,-0.000124,0.000554,0.000875,-0.295723,-0.022872,0.039015,0.954203,5.048719,1.178863,-145.509862
48083,-0.179102,1.291668,9.929325,0.210389,-0.360576,0.193195,-0.072549,0.107297,0.213363,-0.001752,0.012951,0.099290,0.999999,-0.000363,0.000536,0.001067,-0.296741,-0.023221,0.038564,0.953896,5.012556,1.227028,-145.386229
48084,-0.130880,1.213445,10.041689,0.115525,-0.326906,0.296955,-0.067607,0.130678,0.258558,-0.001259,0.012167,0.100414,0.999999,-0.000338,0.000653,0.001293,-0.297977,-0.023678,0.038111,0.953518,4.980209,1.285976,-145.235719
48085,-0.208643,1.474657,10.197587,0.314327,-0.498604,0.476215,-0.102199,0.112633,0.270699,-0.002049,0.014796,0.101969,0.999999,-0.000511,0.000563,0.001353,-0.299272,-0.023998,0.037518,0.953128,4.928063,1.334512,-145.079148
48086,0.042493,1.222536,9.881348,-0.012133,-0.466995,0.133126,-0.135520,0.095784,0.270058,0.000456,0.012293,0.098805,0.999999,-0.000678,0.000479,0.001350,-0.300563,-0.024184,0.036794,0.952745,4.857172,1.373251,-144.923878
48087,0.361887,0.940831,9.704529,-0.420937,-0.445560,-0.075220,-0.131866,0.131257,0.278399,0.003669,0.009477,0.097037,0.999999,-0.000659,0.000656,0.001392,-0.301899,-0.024547,0.036032,0.952342,4.788434,1.432400,-144.762121
48088,-0.162740,0.603334,9.841953,-0.197331,0.122684,0.046345,-0.132121,0.151981,0.273252,-0.001561,0.006096,0.098417,0.999999,-0.000661,0.000760,0.001366,-0.303214,-0.025005,0.035240,0.951942,4.719913,1.503450,-144.602444
48089,-0.525745,0.040488,10.178455,-0.252930,0.792250,0.345430,-0.108199,0.129110,0.244112,-0.005192,0.000454,0.101788,0.999999,-0.000541,0.000646,0.001221,-0.304383,-0.025399,0.034590,0.951583,4.664574,1.563332,-144.460500
48090,-0.757155,-0.442324,10.214798,-0.351427,1.306630,0.350000,-0.093976,0.120243,0.180522,-0.007506,-0.004382,0.102155,0.999999,-0.000470,0.000601,0.000903,-0.305245,-0.025781,0.034015,0.951317,4.616738,1.620871,-144.355403
48091,-0.600702,-0.226854,10.155261,-0.354379,1.025120,0.304879,-0.083191,0.099625,0.096840,-0.005955,-0.002229,0.101557,1.000000,-0.000416,0.000498,0.000484,-0.305704,-0.026098,0.033510,0.951179,4.573501,1.670931,-144.299043
