// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
33736,-9.657240,-0.484844,-1.006755,0.079873,0.039010,-0.091421,-0.030555,0.004462,0.036656,-0.096572,-0.004868,-0.010065,1.000000,-0.000153,0.000022,0.000183,0.191234,0.697525,0.246455,-0.645096,-151.570016,83.827011,64.541459
33737,-9.687438,-0.459419,-0.927628,0.026960,-0.026867,-0.070174,-0.005394,0.008410,0.037224,-0.096874,-0.004612,-0.009272,1.000000,-0.000027,0.000042,0.000186,0.191405,0.697581,0.246312,-0.645039,-151.795993,83.839177,64.317772
33738,-9.691761,-0.317798,-0.855815,0.049643,-0.180044,-0.079817,-0.009202,0.012071,0.030883,-0.096918,-0.003193,-0.008552,1.000000,-0.000046,0.000060,0.000154,0.191567,0.697640,0.246207,-0.644967,-152.008870,83.847424,64.109576
33739,-9.743621,-0.141594,-0.714538,0.034941,-0.406824,-0.050411,-0.023308,0.010326,0.023598,-0.097436,-0.001428,-0.007140,1.000000,-0.000117,0.000052,0.000118,0.191755,0.697668,0.246172,-0.644895,-152.187382,83.854796,63.943960
33740,-9.669676,0.008104,-0.705271,0.117514,-0.523501,-0.132179,-0.065010,0.006998,0.008344,-0.096697,0.000075,-0.007049,1.000000,-0.000325,0.000035,0.000042,0.192045,0.697629,0.246320,-0.644793,-152.314403,83.859467,63.854281
33741,-9.634078,0.059392,-0.758248,0.191230,-0.528702,-0.165002,-0.128041,0.003936,-0.004087,-0.096341,0.000591,-0.007581,1.000000,-0.000640,0.000020,-0.000020,0.192517,0.697502,0.246713,-0.644640,-152.407271,83.862667,63.835157
33742,-9.649312,0.032094,-0.943319,0.322650,-0.398259,-0.130880,-0.188422,0.002323,-0.015311,-0.096493,0.000319,-0.009432,1.000000,-0.000942,0.000012,-0.000077,0.193167,0.697300,0.247337,-0.644425,-152.481956,83.863411,63.869234
33743,-9.657788,-0.131472,-0.970164,0.246768,-0.251127,-0.111790,-0.228283,-0.001847,-0.033697,-0.096578,-0.001310,-0.009701,0.999999,-0.001141,-0.000009,-0.000168,0.193900,0.697019,0.248149,-0.644196,-152.478474,83.861725,64.004781
33744,-9.620912,-0.311046,-1.095783,0.242540,-0.029484,-0.127661,-0.233422,-0.001331,-0.039920,-0.096210,-0.003104,-0.010955,0.999999,-0.001167,-0.000007,-0.000200,0.194631,0.696730,0.249000,-0.643961,-152.453751,83.857808,64.164772
33745,-9.679248,-0.421714,-1.082372,0.163435,0.045013,-0.065458,-0.220414,-0.003351,-0.045747,-0.096793,-0.004207,-0.010821,0.999999,-0.001102,-0.000017,-0.000229,0.195300,0.696435,0.249827,-0.643756,-152.385572,83.853672,64.360859
