// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
59808,-9.408617,-0.785233,-2.309568,-0.003499,0.060267,-0.093165,-0.027481,0.012084,0.032466,-0.094086,-0.007871,-0.023089,1.000000,-0.000137,0.000060,0.000162,-0.124728,-0.755202,-0.217345,0.605702,-162.330804,75.713019,45.888020
59809,-9.362211,-0.764894,-2.383401,0.075120,0.088379,-0.122321,-0.020914,0.003977,0.035604,-0.093621,-0.007668,-0.023831,1.000000,-0.000105,0.000020,0.000178,-0.124963,-0.755233,-0.217225,0.605657,-162.446814,75.722958,45.781379
59810,-9.336880,-0.650062,-2.276767,0.040816,-0.051406,-0.180488,0.007582,0.002108,0.040804,-0.093368,-0.006519,-0.022767,1.000000,0.000038,0.000011,0.000204,-0.125096,-0.755280,-0.217007,0.605650,-162.549871,75.734233,45.670805
59811,-9.370289,-0.456263,-2.148701,0.015735,-0.279916,-0.192458,0.017005,0.003290,0.046683,-0.093702,-0.004583,-0.021486,1.000000,0.000085,0.000016,0.000233,-0.125222,-0.755345,-0.216730,0.605642,-162.667813,75.746333,45.539763
59812,-9.432378,-0.244226,-2.026876,-0.000291,-0.526667,-0.176285,-0.014019,0.002187,0.040956,-0.094323,-0.002463,-0.020268,1.000000,-0.000070,0.000011,0.000205,-0.125437,-0.755378,-0.216577,0.605610,-162.783986,75.757483,45.428438
59813,-9.422853,-0.072252,-2.065130,0.114278,-0.653702,-0.188772,-0.074729,0.009897,0.019392,-0.094229,-0.000739,-0.020646,1.000000,-0.000374,0.000049,0.000097,-0.125819,-0.755376,-0.216685,0.605495,-162.900479,75.761251,45.353133
59814,-9.476454,-0.056036,-2.261432,0.278966,-0.584753,-0.091543,-0.174763,0.013794,-0.002571,-0.094766,-0.000579,-0.022607,1.000000,-0.000874,0.000069,-0.000013,-0.126497,-0.755296,-0.217190,0.605273,-163.022717,75.758622,45.330572
59815,-9.410045,-0.431411,-2.520363,0.329003,-0.123396,-0.067749,-0.226435,0.006642,-0.014809,-0.094102,-0.004336,-0.025196,0.999999,-0.001132,0.000033,-0.000074,-0.127353,-0.755150,-0.217883,0.605026,-163.150405,75.758431,45.333410
59816,-9.325973,-0.681767,-2.690915,0.365872,0.191220,-0.091105,-0.163607,0.004393,-0.013979,-0.093261,-0.006833,-0.026902,1.000000,-0.000818,0.000022,-0.000070,-0.127964,-0.755035,-0.218391,0.604858,-163.235417,75.759046,45.342661
59817,-9.303812,-0.755689,-2.629906,0.279625,0.234740,-0.121708,-0.084442,-0.004808,-0.006687,-0.093038,-0.007565,-0.026298,1.000000,-0.000422,-0.000024,-0.000033,-0.128321,-0.754953,-0.218617,0.604803,-163.291913,75.766450,45.335017
59818,-9.344783,-0.670812,-2.578900,0.269810,0.132210,-0.100046,-0.016101,-0.005517,-0.003759,-0.093447,-0.006708,-0.025791,1.000000,-0.000081,-0.000028,-0.000019,-0.128417,-0.754913,-0.218634,0.604826,-163.308090,75.774190,45.328092
59819,-9.375917,-0.507519,-2.239849,0.053907,-0.168884,-0.161216,-0.001065,-0.017082,0.001454,-0.093757,-0.005076,-0.022406,1.000000,-0.000005,-0.000085,0.000007,-0.128496,-0.754857,-0.218569,0.604903,-163.326499,75.789627,45.310459
59820,-9.404733,-0.519613,-2.137202,-0.043939,-0.209105,-0.156551,-0.010928,-0.001352,-0.010803,-0.094047,-0.005192,-0.021372,1.000000,-0.000055,-0.000007,-0.000054,-0.128547,-0.754825,-0.218599,0.604921,-163.327172,75.793922,45.316470
59821,-9.466654,-0.402687,-2.181841,0.040771,-0.300410,-0.094240,-0.036061,-0.003490,-0.014355,-0.094666,-0.004024,-0.021819,1.000000,-0.000180,-0.000017,-0.000072,-0.128696,-0.754770,-0.218709,0.604919,-163.340223,75.799312,45.325049
59822,-9.406775,-0.524328,-2.237787,0.039998,-0.157320,-0.130555,-0.114295,-0.002208,-0.024535,-0.094068,-0.005245,-0.022376,1.000000,-0.000571,-0.000011,-0.000123,-0.129096,-0.754654,-0.219103,0.604835,-163.369778,75.801824,45.362359
59823,-9.315436,-0.867948,-2.417103,0.041238,0.241689,-0.152825,-0.106401,-0.001250,-0.023596,-0.093155,-0.008681,-0.024167,1.000000,-0.000532,-0.000006,-0.000118,-0.129481,-0.754549,-0.219461,0.604753,-163.404579,75.804487,45.390075
59824,-9.307745,-1.077341,-2.487216,-0.000104,0.458739,-0.129166,-0.046041,-0.002881,-0.009686,-0.093078,-0.010775,-0.024871,1.000000,-0.000230,-0.000014,-0.000048,-0.129669,-0.754492,-0.219593,0.604737,-163.426828,75.809807,45.394582
59825,-9.351993,-0.954404,-2.502131,0.065350,0.352648,-0.091438,0.059390,-0.005322,0.014220,-0.093519,-0.009543,-0.025027,1.000000,0.000297,-0.000027,0.000071,-0.129546,-0.754524,-0.219305,0.604828,-163.445994,75.820857,45.340435
59826,-9.374100,-0.593757,-2.306170,0.071010,-0.053806,-0.141246,0.103561,-0.008025,0.020823,-0.093739,-0.005935,-0.023069,1.000000,0.000518,-0.000040,0.000104,-0.129268,-0.754581,-0.218865,0.604976,-163.445557,75.833983,45.279933
59827,-9.373048,-0.322148,-2.190922,0.105682,-0.341516,-0.188232,0.067814,-0.004307,0.012820,-0.093730,-0.003220,-0.021912,1.000000,0.000339,-0.000022,0.000064,-0.129108,-0.754620,-0.218558,0.605073,-163.457536,75.844218,45.228220
59828,-9.387822,-0.366337,-2.153040,0.049585,-0.321673,-0.179668,0.006285,-0.000125,0.003812,-0.093878,-0.003664,-0.021531,1.000000,0.000031,-0.000001,0.000019,-0.129136,-0.754619,-0.218482,0.605095,-163.480995,75.850226,45.200561
59829,-9.420141,-0.534611,-2.205260,0.006692,-0.155015,-0.124345,-0.013698,0.001036,0.001103,-0.094201,-0.005348,-0.022052,1.000000,-0.000068,0.000005,0.000006,-0.129242,-0.754608,-0.218468,0.605090,-163.517763,75.855626,45.171455
