// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
13977,-5.430661,8.641519,-0.074131,-0.005827,0.108043,0.393277,0.045876,0.015129,0.026368,-0.054318,0.086408,-0.000717,1.000000,0.000229,0.000076,0.000132,-0.044141,-0.412735,0.581094,0.700022,91.081243,31.772450,-140.437377
13978,-5.378651,8.624959,0.043238,-0.106789,0.179036,0.349902,-0.000159,0.001307,-0.014421,-0.053780,0.086253,0.000433,1.000000,-0.000001,0.000007,-0.000072,-0.044114,-0.412727,0.581086,0.700035,91.078993,31.774651,-140.440988
13979,-5.255155,8.449679,-0.062362,-0.047345,0.082716,0.137616,-0.064498,-0.005165,-0.041950,-0.052534,0.084508,-0.000652,1.000000,-0.000322,-0.000026,-0.000210,-0.044106,-0.412764,0.580794,0.700256,91.037627,31.792728,-140.448232
13980,-5.204778,8.238690,-0.048628,0.000879,0.126065,-0.068346,-0.089288,-0.011716,-0.053265,-0.052026,0.082401,-0.000526,1.000000,-0.000446,-0.000059,-0.000266,-0.044087,-0.412802,0.580397,0.700564,90.979979,31.817268,-140.460398
13981,-5.078698,8.318603,0.044553,-0.171380,0.095482,-0.068160,-0.081953,-0.027356,-0.046322,-0.050768,0.083198,0.000404,1.000000,-0.000410,-0.000137,-0.000232,-0.044036,-0.412770,0.580040,0.700882,90.920720,31.838048,-140.482599
13982,-4.944172,8.497827,0.214207,-0.437091,0.088048,0.011007,-0.091696,-0.032894,-0.020514,-0.049433,0.084984,0.002095,1.000000,-0.000458,-0.000164,-0.000103,-0.044078,-0.412640,0.579705,0.701233,90.853861,31.844052,-140.509051
13983,-5.090813,8.787767,0.420575,-0.583624,0.224266,0.332616,-0.139766,-0.043774,0.009110,-0.050913,0.087878,0.004133,1.000000,-0.000699,-0.000219,0.000046,-0.044293,-0.412377,0.579263,0.701739,90.755323,31.833160,-140.542914
13984,-5.105186,9.056976,0.611939,-0.791241,0.278450,0.568187,-0.267366,-0.053042,0.029618,-0.051067,0.090570,0.005985,0.999999,-0.001337,-0.000265,0.000148,-0.044818,-0.411995,0.578415,0.702629,90.580375,31.810547,-140.582806
13985,-5.225596,8.935691,0.531880,-0.587003,0.296675,0.531567,-0.425406,-0.055148,0.034839,-0.052273,0.089359,0.005114,0.999998,-0.002127,-0.000276,0.000174,-0.045678,-0.411551,0.577023,0.703977,90.314136,31.784786,-140.624375
13986,-5.361084,8.687491,0.299743,-0.218039,0.238629,0.395098,-0.529895,-0.059154,0.022643,-0.053622,0.086876,0.002751,0.999996,-0.002649,-0.000296,0.000113,-0.046697,-0.411101,0.575238,0.705632,89.986836,31.765770,-140.668813
13987,-5.495310,8.455595,0.052303,0.154743,0.158993,0.269416,-0.559133,-0.066133,-0.004227,-0.054951,0.084558,0.000268,0.999996,-0.002796,-0.000331,-0.000021,-0.047663,-0.410695,0.573289,0.707388,89.640242,31.761982,-140.717518
13988,-5.561831,7.988344,-0.277504,0.626840,0.059599,-0.095283,-0.518695,-0.085735,-0.048483,-0.055598,0.079889,-0.003006,0.999997,-0.002593,-0.000429,-0.000242,-0.048329,-0.410350,0.571396,0.709072,89.309855,31.783109,-140.780232
13989,-5.406166,7.891079,-0.157810,0.509479,0.066468,-0.259857,-0.375533,-0.109523,-0.083678,-0.054028,0.078930,-0.001756,0.999998,-0.001878,-0.000548,-0.000418,-0.048512,-0.410057,0.569938,0.710402,89.052625,31.824026,-140.858921
13990,-5.073780,7.872805,0.049989,0.180807,0.023523,-0.448208,-0.327288,-0.109985,-0.102403,-0.050698,0.078755,0.000343,0.999998,-0.001636,-0.000550,-0.000512,-0.048529,-0.409826,0.568611,0.711596,88.822691,31.875367,-140.938274
13991,-4.945679,7.675492,-0.086445,0.273438,-0.107536,-0.686132,-0.249227,-0.083714,-0.088493,-0.049422,0.076776,-0.000981,0.999999,-0.001246,-0.000419,-0.000442,-0.048509,-0.409667,0.567582,0.712510,88.646643,31.918846,-141.000075
13992,-4.824016,7.598959,0.054077,0.141316,-0.056560,-0.812963,-0.151657,-0.070264,-0.071551,-0.048213,0.076007,0.000466,1.000000,-0.000758,-0.000351,-0.000358,-0.048387,-0.409530,0.566933,0.713114,88.531491,31.952648,-141.052710
13993,-4.746207,7.678610,0.019079,0.085910,-0.164268,-0.787526,-0.075854,-0.047330,-0.022254,-0.047454,0.076791,0.000150,1.000000,-0.000379,-0.000237,-0.000111,-0.048351,-0.409353,0.566648,0.713444,88.468213,31.958518,-141.089028
13994,-4.920325,7.914698,0.123207,0.044871,-0.078060,-0.492864,0.004080,-0.029014,0.017752,-0.049210,0.079143,0.001227,1.000000,0.000020,-0.000145,0.000089,-0.048343,-0.409146,0.566728,0.713500,88.457841,31.941664,-141.112718
13995,-5.092344,8.018898,0.112672,0.126963,-0.028144,-0.313715,0.052136,-0.021991,0.049784,-0.050944,0.080176,0.001142,1.000000,0.000261,-0.000110,0.000249,-0.048374,-0.408886,0.567041,0.713398,88.477647,31.906645,-141.130627
13996,-5.218532,8.419224,0.091348,0.068175,-0.110477,0.092255,0.094847,-0.018912,0.066165,-0.052213,0.084175,0.000948,1.000000,0.000474,-0.000095,0.000331,-0.048382,-0.408599,0.567541,0.713164,88.523277,31.862249,-141.146757
13997,-5.317001,8.813934,0.322461,-0.167479,-0.009845,0.484485,0.058225,-0.015869,0.059360,-0.053196,0.088123,0.003246,1.000000,0.000291,-0.000079,0.000297,-0.048452,-0.408336,0.567893,0.713030,88.548841,31.821853,-141.160406
13998,-5.474491,8.946021,0.239689,-0.058797,-0.030961,0.677993,0.002706,-0.016935,0.035652,-0.054761,0.089450,0.002393,1.000000,0.000014,-0.000085,0.000178,-0.048545,-0.408120,0.568002,0.713061,88.542133,31.794982,-141.175564
13999,-5.474459,8.997156,0.378709,-0.162495,0.057222,0.724497,-0.052581,-0.031597,0.004918,-0.054747,0.089971,0.003755,1.000000,-0.000263,-0.000158,0.000025,-0.048603,-0.407929,0.567851,0.713286,88.498149,31.785533,-141.200739
14000,-5.333677,8.800664,0.190128,-0.051322,-0.101945,0.479198,-0.128650,-0.039067,-0.019415,-0.053329,0.088013,0.001834,1.000000,-0.000643,-0.000195,-0.000097,-0.048707,-0.407761,0.567382,0.713748,88.407844,31.789858,-141.231347
14001,-5.082193,8.419666,0.224697,-0.081677,-0.087942,0.023751,-0.166687,-0.041431,-0.030529,-0.050810,0.084206,0.002166,1.000000,-0.000833,-0.000207,-0.000153,-0.048843,-0.407606,0.566755,0.714325,88.294643,31.800484,-141.263804
14002,-4.949145,8.020488,0.097615,0.076623,-0.129281,-0.388824,-0.170105,-0.034659,-0.027310,-0.049481,0.080212,0.000899,1.000000,-0.000851,-0.000173,-0.000137,-0.049016,-0.407466,0.566120,0.714896,88.182080,31.809291,-141.291678
14003,-4.835632,7.706151,-0.065448,0.235699,-0.212650,-0.720295,-0.079238,-0.016890,0.005398,-0.048358,0.077060,-0.000689,1.000000,-0.000396,-0.000084,0.000027,-0.049171,-0.407318,0.565872,0.715167,88.128081,31.799703,-141.306864
14004,-4.816183,7.608337,-0.013130,0.231956,-0.148835,-0.812319,0.018224,-0.010673,0.035772,-0.048175,0.076075,-0.000127,1.000000,0.000091,-0.000053,0.000179,-0.049252,-0.407129,0.566034,0.715140,88.132597,31.772794,-141.317591
14005,-4.906964,7.696531,-0.185666,0.369735,-0.258252,-0.694247,0.090647,0.006192,0.065381,-0.049095,0.076950,-0.001820,1.000000,0.000453,0.000031,0.000327,-0.049341,-0.406936,0.566509,0.714868,88.184815,31.729280,-141.315927
14006,-5.121181,8.171719,-0.006730,0.211273,-0.161408,-0.172520,0.174817,0.011875,0.076002,-0.051243,0.081698,0.000007,1.000000,0.000874,0.000059,0.000380,-0.049310,-0.406751,0.567307,0.714342,88.287500,31.679734,-141.310753
14007,-5.152093,8.503227,0.270811,-0.077660,-0.031000,0.132928,0.173775,0.012654,0.070433,-0.051551,0.085012,0.002785,1.000000,0.000869,0.000063,0.000352,-0.049267,-0.406587,0.568087,0.713818,88.389593,31.633430,-141.304805
14008,-5.303963,8.648343,0.283762,-0.043891,0.022634,0.336398,0.097945,0.008034,0.044833,-0.053059,0.086470,0.002882,1.000000,0.000490,0.000040,0.000224,-0.049266,-0.406454,0.568550,0.713525,88.446431,31.601635,-141.303673
14009,-5.437381,8.948682,0.306730,-0.087831,0.013501,0.662532,0.034415,-0.003884,0.012042,-0.054379,0.089483,0.003082,1.000000,0.000172,-0.000019,0.000060,-0.049250,-0.406362,0.568718,0.713445,88.462230,31.588509,-141.310018
14010,-5.439220,9.251167,0.679272,-0.440969,0.196200,0.929644,-0.025986,-0.028764,-0.022700,-0.054383,0.092519,0.006773,1.000000,-0.000130,-0.000144,-0.000113,-0.049163,-0.406265,0.568607,0.713595,88.434538,31.594860,-141.333649
14011,-5.325246,9.064366,0.751154,-0.483800,0.245465,0.713036,-0.174242,-0.051432,-0.044965,-0.053234,0.090662,0.007419,1.000000,-0.000871,-0.000257,-0.000225,-0.049232,-0.406114,0.567925,0.714218,88.313469,31.613603,-141.373035
14012,-5.199720,8.616349,0.530352,-0.239838,0.144132,0.261113,-0.287812,-0.068402,-0.052963,-0.051976,0.086185,0.005162,0.999999,-0.001439,-0.000342,-0.000265,-0.049452,-0.405894,0.566828,0.715199,88.121340,31.636479,-141.424594
14013,-5.011380,8.090454,0.385954,-0.053604,0.093762,-0.288686,-0.300159,-0.063855,-0.044430,-0.050097,0.080921,0.003722,0.999999,-0.001501,-0.000319,-0.000222,-0.049744,-0.405664,0.565699,0.716203,87.923644,31.654464,-141.472476
14014,-4.842532,7.581330,0.213694,0.155372,0.031322,-0.815622,-0.264040,-0.046626,-0.023674,-0.048417,0.075822,0.002026,0.999999,-0.001320,-0.000233,-0.000118,-0.050080,-0.405442,0.564740,0.717062,87.753069,31.660734,-141.509179
