// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
31110,-8.938727,-2.048314,-1.100444,0.692974,0.015092,-0.602534,0.303187,-0.059497,0.266186,-0.089357,-0.020585,-0.011062,0.999998,0.001516,-0.000297,0.001331,0.331432,-0.689337,0.245030,0.595759,-113.123344,79.665744,18.557063
31111,-9.229225,-1.694445,-1.091324,0.403610,-0.221739,-0.377190,0.368451,-0.049208,0.293946,-0.092265,-0.017060,-0.010967,0.999997,0.001842,-0.000246,0.001470,0.331863,-0.688188,0.247082,0.595999,-113.129777,79.838191,18.336052
31112,-9.411060,-1.218072,-1.052170,0.022316,-0.506466,-0.278447,0.348786,-0.033417,0.295972,-0.094091,-0.012302,-0.010559,0.999997,0.001744,-0.000167,0.001480,0.332196,-0.687111,0.249109,0.596213,-113.201651,80.008680,18.060330
31113,-9.639917,-0.972346,-1.011211,-0.200504,-0.637614,-0.094189,0.280267,-0.022591,0.270545,-0.096385,-0.009840,-0.010137,0.999998,0.001401,-0.000113,0.001353,0.332357,-0.686210,0.250859,0.596426,-113.318252,80.162695,17.779002
31114,-9.785826,-0.948998,-1.053341,-0.193896,-0.680397,0.049967,0.190699,-0.006075,0.229941,-0.097847,-0.009592,-0.010545,0.999999,0.000953,-0.000030,0.001150,0.332308,-0.685555,0.252232,0.596629,-113.489757,80.292043,17.494345
31115,-9.768230,-1.202584,-1.202089,0.110366,-0.615492,0.082691,0.107853,0.003797,0.186329,-0.097671,-0.012110,-0.012026,0.999999,0.000539,0.000019,0.000932,0.332094,-0.685121,0.253222,0.596825,-113.685826,80.395507,17.232830
31116,-9.884366,-1.525973,-1.197221,0.342350,-0.397397,0.246511,0.073851,0.004867,0.142577,-0.098833,-0.015326,-0.011975,1.000000,0.000369,0.000024,0.000713,0.331890,-0.684801,0.253964,0.596991,-113.849808,80.476213,17.023867
31117,-9.854356,-1.821673,-1.206397,0.583618,-0.203647,0.262040,0.088068,0.001316,0.105694,-0.098534,-0.018263,-0.012071,1.000000,0.000440,0.000007,0.000528,0.331852,-0.684495,0.254614,0.597087,-113.945373,80.537774,16.875871
31118,-9.668217,-2.036691,-1.139533,0.739207,-0.000517,0.105711,0.127768,-0.013234,0.091598,-0.096672,-0.020404,-0.011415,1.000000,0.000639,-0.000066,0.000458,0.332007,-0.684095,0.255313,0.597161,-113.954580,80.595873,16.792558
31119,-9.568971,-2.170279,-1.029401,0.792562,0.175793,0.019704,0.171940,-0.015648,0.084773,-0.095680,-0.021734,-0.010320,1.000000,0.000860,-0.000078,0.000424,0.332340,-0.683624,0.256113,0.597172,-113.920946,80.650405,16.726855
31120,-9.448558,-2.135546,-1.041438,0.802723,0.150161,-0.104264,0.214917,-0.007718,0.089489,-0.094476,-0.021387,-0.010441,0.999999,0.001075,-0.000039,0.000447,0.332791,-0.683098,0.257073,0.597110,-113.895616,80.706107,16.627957
31121,-9.381780,-1.898969,-0.966023,0.596986,0.058222,-0.210745,0.282378,0.001106,0.100993,-0.093808,-0.019023,-0.009687,0.999999,0.001412,0.000006,0.000505,0.333430,-0.682471,0.258286,0.596947,-113.876083,80.765259,16.483875
31122,-9.351346,-1.636014,-0.802208,0.308743,0.017355,-0.290497,0.304650,0.022760,0.115526,-0.093505,-0.016402,-0.008036,0.999999,0.001523,0.000114,0.000578,0.334070,-0.681849,0.259653,0.596707,-113.936477,80.827503,16.246076
31123,-9.352138,-1.512644,-0.680335,0.147271,0.036441,-0.315825,0.311498,0.044647,0.135625,-0.093513,-0.015179,-0.006806,0.999999,0.001557,0.000223,0.000678,0.334647,-0.681255,0.261142,0.596413,-114.094929,80.894574,15.904873
31124,-9.388327,-1.380160,-0.696845,0.061765,-0.054310,-0.298259,0.312390,0.069331,0.153821,-0.093875,-0.013863,-0.006958,0.999998,0.001562,0.000347,0.000769,0.335136,-0.680705,0.262738,0.596064,-114.365471,80.965651,15.449861
31125,-9.493178,-1.223914,-0.551815,-0.155193,-0.035671,-0.226368,0.321885,0.082779,0.167641,-0.094924,-0.012310,-0.005499,0.999998,0.001609,0.000414,0.000838,0.335601,-0.680161,0.264429,0.595676,-114.700813,81.039847,14.923674
31126,-9.629570,-1.168510,-0.484268,-0.250925,-0.011152,-0.103649,0.318578,0.092202,0.172532,-0.096288,-0.011760,-0.004817,0.999998,0.001593,0.000461,0.000863,0.336023,-0.679640,0.266144,0.595269,-115.085018,81.114297,14.350204
31127,-9.706806,-1.152667,-0.474358,-0.271272,-0.002500,-0.029941,0.329070,0.096089,0.173634,-0.097060,-0.011603,-0.004716,0.999998,0.001645,0.000480,0.000868,0.336474,-0.679110,0.267898,0.594832,-115.485000,81.187254,13.754645
31128,-9.740081,-1.101721,-0.443881,-0.324662,0.001937,-0.005824,0.325142,0.092244,0.170687,-0.097393,-0.011093,-0.004412,0.999998,0.001626,0.000461,0.000853,0.336922,-0.678576,0.269624,0.594408,-115.878811,81.259513,13.167882
31129,-9.685726,-1.081689,-0.287253,-0.419751,0.126667,-0.072380,0.316327,0.078736,0.170077,-0.096849,-0.010895,-0.002852,0.999998,0.001582,0.000394,0.000850,0.337361,-0.678016,0.271296,0.594037,-116.238301,81.333764,12.620908
31130,-9.641044,-1.077138,-0.255742,-0.425405,0.163631,-0.118999,0.287083,0.082253,0.177548,-0.096402,-0.010853,-0.002533,0.999998,0.001435,0.000411,0.000888,0.337670,-0.677503,0.272914,0.593706,-116.648114,81.410902,12.040255
31131,-9.696387,-1.072645,-0.212096,-0.452840,0.207485,-0.067569,0.260655,0.077235,0.178899,-0.096955,-0.010810,-0.002098,0.999999,0.001303,0.000386,0.000894,0.337895,-0.677016,0.274447,0.593427,-117.066256,81.488890,11.466447
31132,-9.749968,-0.950060,-0.050913,-0.642755,0.270276,-0.041256,0.235162,0.060710,0.183291,-0.097491,-0.009589,-0.000491,0.999999,0.001176,0.000304,0.000916,0.338039,-0.676514,0.275892,0.593247,-117.460506,81.573360,10.931858
31133,-9.815570,-0.775034,-0.038464,-0.782839,0.183683,0.000619,0.177550,0.050911,0.174734,-0.098149,-0.007836,-0.000367,0.999999,0.000888,0.000255,0.000874,0.338029,-0.676093,0.277119,0.593161,-117.846702,81.655042,10.438716
31134,-9.802845,-0.649171,-0.025266,-0.875128,0.129658,-0.028254,0.110696,0.044514,0.155180,-0.098023,-0.006568,-0.000234,1.000000,0.000553,0.000223,0.000776,0.337857,-0.675790,0.278071,0.593159,-118.222397,81.728603,9.995182
31135,-9.850735,-0.498429,0.074030,-1.050300,0.125079,-0.005950,0.027274,0.039097,0.124563,-0.098504,-0.005046,0.000759,1.000000,0.000136,0.000195,0.000623,0.337504,-0.675656,0.278662,0.593235,-118.575125,81.787274,9.623039
31136,-9.791990,-0.468486,-0.031839,-0.992631,0.034742,-0.059892,-0.108886,0.032559,0.102894,-0.097918,-0.004735,-0.000300,1.000000,-0.000544,0.000163,0.000514,0.336760,-0.675760,0.278766,0.593490,-118.947656,81.837073,9.309960
31137,-9.758395,-0.564854,-0.046035,-0.897500,0.092191,-0.079577,-0.210197,0.008063,0.091851,-0.097581,-0.005694,-0.000450,0.999999,-0.001051,0.000040,0.000459,0.335745,-0.675978,0.278489,0.593947,-119.273891,81.887352,9.102121
