// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
55174,-3.120825,1.993255,9.198565,0.020974,0.027484,0.103210,-0.010554,-0.022845,-0.009703,-0.031218,0.019939,0.091981,1.000000,-0.000053,-0.000114,-0.000049,-0.186862,0.136998,-0.132532,-0.963716,12.421188,18.275450,160.058976
55175,-3.100994,1.862356,9.225085,0.051526,0.156936,0.094858,-0.003688,-0.023667,-0.004651,-0.031020,0.018626,0.092247,1.000000,-0.000018,-0.000118,-0.000023,-0.186840,0.136873,-0.132457,-0.963749,12.414902,18.259375,160.059347
55176,-3.149020,1.875021,9.209436,0.095497,0.123663,0.097980,0.003478,-0.030007,0.000097,-0.031504,0.018749,0.092090,1.000000,0.000017,-0.000150,0.000000,-0.186803,0.136706,-0.132419,-0.963785,12.413931,18.239106,160.062033
55177,-3.086383,1.986652,9.221370,-0.004064,0.046322,0.112233,0.007079,-0.030727,-0.007968,-0.030877,0.019864,0.092210,1.000000,0.000035,-0.000154,-0.000040,-0.186806,0.136540,-0.132387,-0.963812,12.412953,18.219531,160.059966
55178,-3.133959,1.999954,9.205764,0.039930,0.013051,0.115346,0.010720,-0.035625,-0.008569,-0.031355,0.019996,0.092053,1.000000,0.000054,-0.000178,-0.000043,-0.186818,0.136345,-0.132372,-0.963839,12.414307,18.197185,160.056818
55179,-3.107343,1.993653,9.203042,0.023123,0.024865,0.103212,0.005081,-0.043636,-0.010345,-0.031092,0.019936,0.092024,1.000000,0.000025,-0.000218,-0.000052,-0.186838,0.136121,-0.132316,-0.963875,12.411177,18.170797,160.051900
55180,-3.151396,2.029182,9.162104,0.061545,-0.035893,0.086198,0.006544,-0.051719,-0.018579,-0.031536,0.020292,0.091614,1.000000,0.000033,-0.000259,-0.000093,-0.186907,0.135859,-0.132260,-0.963906,12.407656,18.140678,160.040775
55181,-3.139160,2.097109,9.086290,0.045219,-0.118950,0.025842,0.000617,-0.071633,-0.017091,-0.031422,0.020973,0.090852,1.000000,0.000003,-0.000358,-0.000085,-0.186976,0.135508,-0.132152,-0.963957,12.399602,18.099365,160.028057
55182,-3.043426,2.179175,9.169879,-0.084120,-0.140331,0.090401,-0.014634,-0.082821,-0.023860,-0.030470,0.021802,0.091685,1.000000,-0.000073,-0.000414,-0.000119,-0.187077,0.135119,-0.131960,-0.964018,12.381753,18.052487,160.009815
55183,-3.020916,1.946564,9.201937,-0.012072,0.079352,0.065786,-0.010913,-0.089091,-0.034178,-0.030247,0.019476,0.092005,1.000000,-0.000055,-0.000445,-0.000171,-0.187238,0.134706,-0.131771,-0.964071,12.363437,18.003598,159.984174
55184,-3.037345,1.906939,9.284259,0.007597,0.129550,0.139323,-0.001493,-0.076194,-0.034483,-0.030406,0.019075,0.092831,1.000000,-0.000007,-0.000381,-0.000172,-0.187394,0.134344,-0.131642,-0.964109,12.351491,17.961722,159.960575
55185,-3.038033,1.882872,9.288142,0.022724,0.148452,0.138287,0.011268,-0.062672,-0.035081,-0.030406,0.018829,0.092873,1.000000,0.000056,-0.000313,-0.000175,-0.187559,0.134035,-0.131583,-0.964128,12.346825,17.927490,159.937571
55186,-3.073733,1.919991,9.295395,0.042895,0.103794,0.163582,0.020014,-0.042219,-0.042603,-0.030753,0.019197,0.092949,1.000000,0.000100,-0.000211,-0.000213,-0.187746,0.133822,-0.131584,-0.964121,12.347109,17.905620,159.913587
55187,-3.018582,1.931007,9.286270,-0.005827,0.108473,0.140384,0.027606,-0.026866,-0.042585,-0.030194,0.019304,0.092861,1.000000,0.000138,-0.000134,-0.000213,-0.187930,0.133677,-0.131631,-0.964098,12.351793,17.892371,159.891286
55188,-3.058958,1.991051,9.242560,0.017935,0.028283,0.124379,0.026863,-0.025614,-0.040536,-0.030597,0.019904,0.092424,1.000000,0.000134,-0.000128,-0.000203,-0.188101,0.133536,-0.131682,-0.964078,12.357045,17.879545,159.870657
