// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
30950,-8.481723,-1.516872,-2.328198,0.225152,0.975680,-0.943732,-0.201962,0.134456,-0.018767,-0.084834,-0.015184,-0.023210,0.999999,-0.001010,0.000672,-0.000094,0.093913,-0.791964,0.075771,0.598524,-167.684635,74.207125,-1.599716
30951,-8.751489,-1.488983,-2.466563,0.260519,0.924569,-0.649346,-0.054460,0.177493,0.010845,-0.087536,-0.014901,-0.024584,1.000000,-0.000272,0.000887,0.000054,0.093572,-0.792492,0.075775,0.597878,-167.830630,74.114092,-1.719496
30952,-9.335939,-1.123375,-2.379964,-0.079128,0.602243,-0.131935,0.073790,0.170116,0.054248,-0.093377,-0.011250,-0.023724,1.000000,0.000369,0.000851,0.000271,0.093614,-0.792917,0.076331,0.597237,-167.982904,74.030945,-1.922464
30953,-8.842711,-0.954250,-2.581586,0.192784,0.388902,-0.561726,0.149251,0.143019,0.000481,-0.088446,-0.009523,-0.025760,0.999999,0.000746,0.000715,0.000002,0.094124,-0.793250,0.076887,0.596644,-167.975073,73.955869,-2.003739
30954,-8.841034,-0.733121,-3.040123,0.555518,0.061122,-0.451526,0.221701,0.170229,-0.028216,-0.088437,-0.007285,-0.030334,0.999999,0.001109,0.000851,-0.000141,0.094998,-0.793635,0.077557,0.595905,-167.880179,73.862753,-2.037846
30955,-11.241752,0.867339,-2.772861,-0.755841,-1.394294,1.689600,0.124174,0.201163,0.165360,-0.112452,0.008598,-0.027610,0.999999,0.000621,0.001006,0.000827,0.094895,-0.794086,0.078719,0.595168,-168.227762,73.774609,-2.474306
30956,-9.885441,0.261460,-2.521410,-0.477126,-0.744689,0.354199,-0.051020,0.048493,0.097558,-0.098862,0.002560,-0.025191,1.000000,-0.000255,0.000242,0.000488,0.094359,-0.794188,0.079018,0.595078,-168.480698,73.764289,-2.707935
30957,-8.418557,-0.260694,-3.011981,0.508368,-0.367214,-0.889751,-0.243809,0.110425,-0.032215,-0.084203,-0.002630,-0.030070,0.999999,-0.001219,0.000552,-0.000161,0.093418,-0.794619,0.078258,0.594751,-168.618561,73.703579,-2.706489
30958,-9.115869,-0.525452,-3.239052,0.575685,-0.146074,-0.142432,-0.281004,0.158589,-0.014551,-0.091185,-0.005293,-0.032311,0.999999,-0.001405,0.000793,-0.000073,0.092258,-0.795199,0.077480,0.594259,-168.828782,73.618410,-2.758396
30959,-9.636100,-0.808289,-2.975417,0.238606,0.209649,0.299679,-0.239662,0.091949,-0.003467,-0.096375,-0.008117,-0.029700,0.999999,-0.001198,0.000460,-0.000017,0.091254,-0.795559,0.076837,0.594015,-169.010941,73.571258,-2.805601
30960,-9.146675,-1.096046,-2.884949,0.352773,0.510033,-0.179343,-0.160768,0.037942,-0.046122,-0.091475,-0.010963,-0.028823,1.000000,-0.000804,0.000190,-0.000231,0.090713,-0.795735,0.076234,0.593940,-169.045622,73.550406,-2.746338
30961,-8.436893,-1.179646,-3.080158,0.750927,0.534780,-0.801016,-0.060846,0.015686,-0.091846,-0.084377,-0.011767,-0.030791,1.000000,-0.000304,0.000078,-0.000459,0.090713,-0.795820,0.075736,0.593891,-168.928465,73.536455,-2.588284
30962,-9.070467,-1.085781,-2.969124,0.444376,0.473970,-0.229062,0.005741,0.019345,-0.042420,-0.090710,-0.010838,-0.029683,1.000000,0.000029,0.000097,-0.000212,0.090830,-0.795863,0.075634,0.593827,-168.867986,73.526395,-2.529281
30963,-9.214155,-1.131416,-2.930979,0.378578,0.524724,-0.099154,0.115820,-0.014728,-0.030994,-0.092141,-0.011283,-0.029323,1.000000,0.000579,-0.000074,-0.000155,0.091363,-0.795754,0.075889,0.593859,-168.754131,73.536167,-2.480214
30964,-9.449999,-0.745123,-2.963451,0.256049,0.138230,0.114803,0.167247,-0.026475,-0.018678,-0.094497,-0.007418,-0.029653,1.000000,0.000836,-0.000132,-0.000093,0.092071,-0.795579,0.076340,0.593927,-168.628808,73.554432,-2.450105
30965,-9.034400,-0.411899,-2.900253,0.240782,-0.182440,-0.320046,0.154456,-0.033619,-0.031789,-0.090340,-0.004082,-0.029021,1.000000,0.000772,-0.000168,-0.000159,0.092767,-0.795396,0.076698,0.594018,-168.483775,73.574661,-2.391620
30966,-8.358819,-0.575080,-2.817050,0.394870,-0.020925,-0.982061,0.088121,-0.044438,-0.093876,-0.083585,-0.005699,-0.028192,1.000000,0.000441,-0.000222,-0.000469,0.093390,-0.795231,0.076606,0.594152,-168.253090,73.594256,-2.204413
30967,-9.565380,0.356244,-2.722954,-0.251554,-0.894212,0.095642,0.024805,0.061196,-0.007573,-0.095662,0.003569,-0.027200,1.000000,0.000124,0.000306,-0.000038,0.093462,-0.795380,0.076719,0.593927,-168.265536,73.564033,-2.232664
30968,-9.533962,-0.309127,-2.563567,-0.236522,-0.209646,0.059697,-0.072515,-0.033678,-0.012217,-0.095335,-0.003095,-0.025651,1.000000,-0.000363,-0.000168,-0.000061,0.093199,-0.795291,0.076480,0.594118,-168.286650,73.587006,-2.211989
30969,-8.773345,-0.875678,-2.698569,0.237047,0.299218,-0.599928,-0.126974,-0.000133,-0.075334,-0.087737,-0.008741,-0.026980,1.000000,-0.000635,-0.000001,-0.000377,0.092892,-0.795354,0.075844,0.594163,-168.232769,73.583287,-2.080435
30970,-8.964567,-1.212298,-2.625481,0.190412,0.642662,-0.417103,-0.030931,0.031132,-0.066619,-0.089654,-0.012097,-0.026239,1.000000,-0.000155,0.000156,-0.000333,0.092932,-0.795459,0.075543,0.594055,-168.152219,73.563524,-1.978611
30971,-8.809688,-1.572783,-2.583619,0.276075,0.996928,-0.555839,0.054883,0.009840,-0.052636,-0.088102,-0.015698,-0.025836,1.000000,0.000274,0.000049,-0.000263,0.093277,-0.795459,0.075542,0.594002,-168.041499,73.556791,-1.896417
30972,-8.686154,-1.547784,-2.491065,0.218970,0.986782,-0.700684,0.182518,0.009185,-0.048776,-0.086866,-0.015434,-0.024921,1.000000,0.000913,0.000046,-0.000244,0.094121,-0.795392,0.075935,0.593908,-167.863847,73.551326,-1.820880
30973,-8.631432,-1.179004,-2.409326,0.073043,0.637641,-0.796891,0.304076,0.007093,-0.061476,-0.086319,-0.011727,-0.024108,0.999999,0.001520,0.000035,-0.000307,0.095485,-0.795268,0.076637,0.593766,-167.592667,73.544904,-1.720243
30974,-8.483635,-0.922734,-2.341775,-0.007530,0.390094,-0.972147,0.335277,-0.013567,-0.096462,-0.084839,-0.009147,-0.023439,0.999998,0.001676,-0.000068,-0.000482,0.097086,-0.795076,0.077283,0.593680,-167.227629,73.545996,-1.540605
30975,-8.198784,-1.225127,-2.319642,0.125358,0.667138,-1.231260,0.365860,-0.021648,-0.172385,-0.081996,-0.012138,-0.023228,0.999998,0.001829,-0.000108,-0.000862,0.099035,-0.794875,0.077714,0.593571,-166.699219,73.540903,-1.208659
30976,-8.681987,-0.452425,-2.689237,0.142242,-0.195946,-0.715717,0.518415,0.027468,-0.181447,-0.086828,-0.004376,-0.026892,0.999996,0.002592,0.000137,-0.000907,0.101601,-0.794740,0.078585,0.593203,-166.088028,73.506782,-0.881751
30977,-11.653821,0.891468,-2.123704,-1.562451,-1.354443,1.885202,0.297424,0.034195,-0.002492,-0.116542,0.008948,-0.021204,0.999999,0.001487,0.000171,-0.000012,0.102751,-0.794666,0.079515,0.592980,-165.945026,73.492610,-0.910797
30978,-9.191441,0.329044,-2.148181,-0.700064,-0.838176,-0.431170,0.078113,-0.115384,-0.138913,-0.091900,0.003363,-0.021534,1.000000,0.000391,-0.000577,-0.000695,0.103496,-0.794311,0.079175,0.593372,-165.599548,73.542857,-0.597868
30979,-8.848402,-0.440481,-2.748247,0.145288,-0.263885,-0.541746,-0.108441,0.030168,-0.171455,-0.088492,-0.004344,-0.027467,0.999999,-0.000542,0.000151,-0.000857,0.103537,-0.794500,0.078228,0.593238,-165.370730,73.506733,-0.294919
30980,-9.484562,-0.637830,-2.915494,0.164482,-0.122172,0.128231,-0.192394,0.008388,-0.109991,-0.094850,-0.006354,-0.029145,0.999999,-0.000962,0.000042,-0.000550,0.103072,-0.794639,0.077265,0.593258,-165.294164,73.491903,-0.100757
30981,-9.537299,-1.031385,-2.891149,0.220791,0.263137,0.200533,-0.204146,0.012772,-0.073963,-0.095379,-0.010308,-0.028895,0.999999,-0.001021,0.000064,-0.000370,0.102450,-0.794786,0.076413,0.593279,-165.295013,73.479314,0.019898
30982,-9.881460,-1.031603,-2.942516,0.167536,0.250400,0.544681,-0.136008,0.025413,-0.061036,-0.098821,-0.010306,-0.029406,1.000000,-0.000680,0.000127,-0.000305,0.102058,-0.794927,0.075820,0.593234,-165.286261,73.462116,0.109650
30983,-9.972924,-0.912972,-2.972378,0.138339,0.127539,0.632041,-0.091489,0.004124,-0.047230,-0.099732,-0.009120,-0.029718,1.000000,-0.000457,0.000021,-0.000236,0.101807,-0.794979,0.075404,0.593260,-165.268406,73.458201,0.182498
