// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
30459,-2.967880,4.268142,9.055996,1.561109,-1.976996,0.320851,-1.480562,0.134929,-0.495050,-0.029511,0.043424,0.090260,0.999969,-0.007403,0.000675,-0.002475,-0.209156,-0.138655,0.061933,0.966019,10.550334,14.003406,-154.267126
30460,-2.721880,2.691650,9.259085,0.731720,-0.794215,0.148024,-1.530016,-0.053243,-0.660806,-0.027153,0.027714,0.092374,0.999965,-0.007650,-0.000266,-0.003304,-0.207052,-0.136972,0.054112,0.967182,9.576260,14.036796,-154.651663
30461,-2.991104,2.311759,9.425785,0.843380,-0.482237,0.296223,-1.492467,-0.213374,-0.859134,-0.029910,0.023948,0.094049,0.999962,-0.007462,-0.001067,-0.004296,-0.203903,-0.134595,0.046499,0.968579,8.591930,13.991025,-155.167363
30462,-2.615675,2.648310,9.060343,0.821921,-1.107808,-0.115274,-1.531193,-0.335308,-1.031422,-0.026169,0.027310,0.090353,0.999956,-0.007656,-0.001677,-0.005157,-0.199902,-0.131619,0.038702,0.970164,7.559721,13.881279,-155.792729
30463,-3.408378,2.575253,9.889484,1.362980,-0.881457,0.836819,-1.812904,-0.342355,-1.088579,-0.034109,0.026833,0.098596,0.999943,-0.009064,-0.001712,-0.005443,-0.195787,-0.128324,0.029506,0.971766,6.359848,13.759595,-156.449469
30464,-3.860845,0.213851,9.707944,1.040899,1.278383,0.505956,-1.794183,-0.366986,-1.001378,-0.038772,0.003203,0.096983,0.999946,-0.008971,-0.001835,-0.005007,-0.192058,-0.124901,0.020476,0.973188,5.184722,13.605753,-157.053360
30465,-3.630501,-0.969320,9.758818,0.497383,2.121664,0.414875,-1.472336,-0.422486,-0.866998,-0.036551,-0.008817,0.097578,0.999961,-0.007362,-0.002112,-0.004335,-0.188759,-0.121492,0.013148,0.974391,4.214484,13.402927,-157.577494
30466,-2.795640,-2.020864,9.595344,-0.489101,2.657630,0.019178,-1.422431,-0.475411,-0.694103,-0.028253,-0.019428,0.096027,0.999966,-0.007112,-0.002377,-0.003470,-0.186254,-0.117852,0.006217,0.975388,3.298595,13.155017,-157.998116
30467,-2.267839,-2.571151,9.350407,-1.010503,2.881926,-0.333441,-1.042545,-0.466483,-0.529543,-0.022964,-0.025163,0.093583,0.999980,-0.005213,-0.002332,-0.002648,-0.184318,-0.114597,0.001226,0.976162,2.624800,12.901718,-158.317848
30468,-1.760778,-2.172343,9.546595,-1.291502,2.252489,-0.209847,-0.708606,-0.432348,-0.377784,-0.017855,-0.021352,0.095504,0.999990,-0.003543,-0.002162,-0.001889,-0.182926,-0.111813,-0.002078,0.976745,2.164327,12.661227,-158.544731
