// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
14147,-4.275123,1.531062,8.700214,-0.059812,0.023696,0.001099,0.003856,0.014661,-0.027217,-0.042743,0.015315,0.087006,1.000000,0.000019,0.000073,-0.000136,0.391891,0.239852,0.014680,-0.888075,10.373653,25.945651,-129.982126
14148,-4.342862,1.552579,8.722460,-0.015110,0.048880,0.053905,0.002491,0.019953,-0.029366,-0.043418,0.015531,0.087229,1.000000,0.000012,0.000100,-0.000147,0.391816,0.239915,0.014752,-0.888090,10.367224,25.956714,-129.991315
14149,-4.334781,1.587019,8.742365,-0.004405,0.013183,0.073551,0.005546,0.020204,-0.027797,-0.043337,0.015874,0.087428,1.000000,0.000028,0.000101,-0.000139,0.391747,0.239986,0.014811,-0.888100,10.362852,25.967848,-129.999178
14150,-4.379961,1.614829,8.771227,0.028961,0.016978,0.123359,-0.000474,0.014637,-0.027917,-0.043791,0.016155,0.087715,1.000000,-0.000002,0.000073,-0.000140,0.391683,0.240020,0.014884,-0.888118,10.354850,25.975765,-130.008073
14151,-4.394065,1.642599,8.784761,0.051020,0.002707,0.145995,-0.001657,0.016117,-0.021663,-0.043932,0.016431,0.087851,1.000000,-0.000008,0.000081,-0.000108,0.391656,0.240058,0.014961,-0.888118,10.347814,25.983974,-130.011828
14152,-4.412209,1.653969,8.828383,0.051437,-0.003666,0.194355,-0.001336,0.012419,-0.021042,-0.044115,0.016545,0.088286,1.000000,-0.000007,0.000062,-0.000105,0.391624,0.240081,0.015025,-0.888125,10.341093,25.989931,-130.016669
14153,-4.339372,1.624287,8.782852,0.007667,-0.024860,0.117382,-0.003577,0.009209,-0.018687,-0.043388,0.016248,0.087830,1.000000,-0.000018,0.000046,-0.000093,0.391607,0.240086,0.015092,-0.888130,10.333439,25.993905,-130.020132
14154,-4.375456,1.645975,8.789989,0.041061,-0.017676,0.143002,0.001644,0.009472,-0.016766,-0.043749,0.016463,0.087902,1.000000,0.000008,0.000047,-0.000084,0.391590,0.240102,0.015132,-0.888132,10.329451,25.997761,-130.022631
14155,-4.384847,1.651733,8.811632,0.041515,-0.020703,0.167183,0.003416,0.009973,-0.014330,-0.043843,0.016519,0.088119,1.000000,0.000017,0.000050,-0.000072,0.391584,0.240124,0.015164,-0.888129,10.327033,26.001689,-130.023301
14156,-4.363191,1.657915,8.817870,0.030650,-0.041774,0.164199,0.006301,0.005789,-0.015442,-0.043628,0.016580,0.088180,1.000000,0.000032,0.000029,-0.000077,0.391568,0.240132,0.015175,-0.888133,10.325893,26.003332,-130.025390
