// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
08329,-9.511437,1.947453,0.124400,-0.017816,0.012567,-0.103156,0.006263,0.012580,-0.010813,-0.095113,0.019480,0.001251,1.000000,0.000031,0.000063,-0.000054,0.709947,0.083852,0.696865,0.057654,85.785009,78.465623,83.651292
08330,-9.534986,1.952147,0.118920,-0.023243,0.012640,-0.079225,0.003158,0.008079,-0.008776,-0.095349,0.019526,0.001193,1.000000,0.000016,0.000040,-0.000044,0.709941,0.083866,0.696869,0.057650,85.790020,78.464870,83.654799
08331,-9.512438,1.959167,0.142859,0.001667,0.022803,-0.099568,0.006597,0.008448,-0.006797,-0.095124,0.019595,0.001433,1.000000,0.000033,0.000042,-0.000034,0.709931,0.083899,0.696876,0.057643,85.799841,78.462917,83.661386
08332,-9.513208,1.971964,0.162424,0.021811,0.034020,-0.095975,0.001383,0.007766,-0.005499,-0.095131,0.019722,0.001628,1.000000,0.000007,0.000039,-0.000027,0.709926,0.083919,0.696878,0.057656,85.803629,78.460277,83.664684
08333,-9.529579,1.996622,0.144495,0.004616,0.055182,-0.075275,-0.003140,0.010967,-0.006951,-0.095295,0.019970,0.001450,1.000000,-0.000016,0.000055,-0.000035,0.709912,0.083917,0.696890,0.057684,85.814329,78.458400,83.677757
08334,-9.521990,2.002146,0.110646,-0.028731,0.063172,-0.082101,-0.014208,0.009297,-0.008345,-0.095219,0.020026,0.001109,1.000000,-0.000071,0.000046,-0.000042,0.709909,0.083871,0.696894,0.057742,85.812883,78.457451,83.684829
08335,-9.535754,1.948623,0.115116,-0.026729,0.007711,-0.079229,-0.015538,0.005109,-0.009585,-0.095357,0.019491,0.001152,1.000000,-0.000078,0.000026,-0.000048,0.709922,0.083818,0.696882,0.057801,85.798539,78.456748,83.679539
08336,-9.513953,1.993323,0.056587,-0.083646,0.057974,-0.092529,-0.016954,0.005905,-0.008132,-0.095139,0.019937,0.000567,1.000000,-0.000085,0.000030,-0.000041,0.709932,0.083764,0.696872,0.057868,85.786074,78.455535,83.676970
08337,-9.527678,1.939926,0.061123,-0.081633,0.002508,-0.089672,-0.016984,0.007565,-0.007235,-0.095276,0.019403,0.000613,1.000000,-0.000085,0.000038,-0.000036,0.709936,0.083713,0.696868,0.057943,85.778636,78.453571,83.679707
08338,-9.522015,1.985617,0.089164,-0.052424,0.047035,-0.085692,-0.009990,0.001660,-0.006867,-0.095219,0.019859,0.000891,1.000000,-0.000050,0.000008,-0.000034,0.709958,0.083689,0.696845,0.057988,85.758554,78.451456,83.665291
08339,-9.484586,2.018672,0.068212,-0.071961,0.087299,-0.116077,-0.011074,0.005229,-0.006339,-0.094845,0.020190,0.000683,1.000000,-0.000055,0.000026,-0.000032,0.709968,0.083663,0.696834,0.058043,85.748153,78.449017,83.661456
08340,-9.514533,1.990576,0.055794,-0.086470,0.054036,-0.092531,-0.004775,0.002344,-0.008164,-0.095145,0.019910,0.000559,1.000000,-0.000024,0.000012,-0.000041,0.709985,0.083653,0.696815,0.058066,85.732711,78.447670,83.648726
08341,-9.485554,2.030584,0.088284,-0.052477,0.097506,-0.112454,0.000080,0.001918,-0.007637,-0.094855,0.020309,0.000884,1.000000,0.000000,0.000010,-0.000038,0.710000,0.083662,0.696798,0.058078,85.720431,78.445772,83.636693
08342,-9.533093,2.054302,0.099604,-0.041814,0.110734,-0.060973,0.004268,0.002850,-0.010201,-0.095330,0.020548,0.000998,1.000000,0.000021,0.000014,-0.000051,0.710013,0.083677,0.696784,0.058063,85.711163,78.445609,83.624977
08343,-9.517708,2.041500,0.136713,-0.005097,0.099799,-0.078049,0.005295,0.002603,-0.008933,-0.095176,0.020419,0.001369,1.000000,0.000026,0.000013,-0.000045,0.710024,0.083699,0.696772,0.058049,85.703541,78.444748,83.614469
08344,-9.518595,2.053850,0.156643,0.015045,0.111007,-0.074416,0.003571,0.005867,-0.012395,-0.095185,0.020544,0.001570,1.000000,0.000018,0.000029,-0.000062,0.710027,0.083702,0.696770,0.058030,85.701845,78.445968,83.610890
08345,-9.517547,2.025843,0.115351,-0.027338,0.085637,-0.081656,-0.001227,0.002968,-0.014720,-0.095174,0.020265,0.001155,1.000000,-0.000006,0.000015,-0.000074,0.710041,0.083682,0.696758,0.058021,85.689710,78.448080,83.599719
08346,-9.516524,1.997664,0.074160,-0.069744,0.060326,-0.088908,0.003987,0.003653,-0.016016,-0.095164,0.019984,0.000744,1.000000,0.000020,0.000018,-0.000080,0.710053,0.083676,0.696750,0.057987,85.681298,78.451273,83.589041
08347,-9.531030,1.956851,0.098980,-0.046846,0.017050,-0.082471,0.011284,0.002185,-0.015674,-0.095309,0.019576,0.000992,1.000000,0.000056,0.000011,-0.000078,0.710065,0.083696,0.696740,0.057930,85.674357,78.454046,83.575843
08348,-9.515734,1.943593,0.135891,-0.010173,0.006124,-0.099548,0.020964,0.002998,-0.013721,-0.095156,0.019442,0.001362,1.000000,0.000105,0.000015,-0.000069,0.710071,0.083758,0.696733,0.057844,85.674316,78.455900,83.563782
08349,-9.515342,1.928882,0.114724,-0.031692,-0.007044,-0.103186,0.028619,0.002638,-0.015204,-0.095152,0.019296,0.001151,1.000000,0.000143,0.000013,-0.000076,0.710074,0.083842,0.696730,0.057729,85.678536,78.458414,83.551766
08350,-9.547434,1.940175,0.162690,0.016324,-0.003818,-0.068768,0.031327,0.007686,-0.014522,-0.095473,0.019408,0.001634,1.000000,0.000157,0.000038,-0.000073,0.710060,0.083936,0.696743,0.057606,85.697380,78.460928,83.552919
08351,-9.530727,1.900488,0.158024,0.011334,-0.039125,-0.093124,0.035432,0.006701,-0.009450,-0.095306,0.019009,0.001587,1.000000,0.000177,0.000034,-0.000047,0.710045,0.084063,0.696753,0.057490,85.717979,78.460268,83.553678
08352,-9.531609,1.912995,0.177169,0.031473,-0.027919,-0.089481,0.033016,0.006077,-0.010166,-0.095315,0.019135,0.001778,1.000000,0.000165,0.000030,-0.000051,0.710034,0.084179,0.696759,0.057376,85.734209,78.460223,83.551174
08353,-9.525401,1.945183,0.183973,0.039861,0.004367,-0.089044,0.025062,0.002000,-0.008654,-0.095253,0.019456,0.001843,1.000000,0.000125,0.000010,-0.000043,0.710039,0.084274,0.696749,0.057297,85.735828,78.458796,83.538675
08354,-9.534805,1.989036,0.153662,0.010832,0.046666,-0.071533,0.020625,0.000206,-0.012802,-0.095347,0.019896,0.001539,1.000000,0.000103,0.000001,-0.000064,0.710055,0.084338,0.696732,0.057214,85.727978,78.460008,83.518841
08355,-9.505323,2.015328,0.165119,0.024009,0.078001,-0.095006,0.006301,0.009235,-0.012623,-0.095052,0.020159,0.001656,1.000000,0.000032,0.000046,-0.000063,0.710043,0.084349,0.696745,0.057189,85.738994,78.461329,83.526922
08356,-9.482218,2.008659,0.168807,0.028065,0.076064,-0.118922,-0.004092,0.006205,-0.010924,-0.094821,0.020092,0.001691,1.000000,-0.000020,0.000031,-0.000055,0.710047,0.084331,0.696742,0.057202,85.734163,78.461723,83.524624
