// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
41466,-3.978981,1.125954,8.872248,-0.065937,0.191956,-0.026184,0.011409,-0.001718,0.021364,-0.039792,0.011250,0.088723,1.000000,0.000057,-0.000009,0.000107,0.951771,0.096669,0.183596,-0.226007,6.308115,23.152367,-25.422617
41467,-3.859613,1.103877,8.904584,0.030534,0.116551,-0.045792,0.009460,-0.025706,0.003048,-0.038608,0.011034,0.089041,1.000000,0.000047,-0.000129,0.000015,0.951814,0.096662,0.183448,-0.225950,6.312411,23.134920,-25.415046
41468,-3.912484,0.990070,8.935235,-0.061030,0.029930,-0.008526,0.023134,-0.047485,-0.006052,-0.039146,0.009892,0.089344,1.000000,0.000116,-0.000237,-0.000030,0.951860,0.096686,0.183188,-0.225959,6.321616,23.105899,-25.414624
41469,-3.892591,1.104964,9.002744,0.023610,0.106251,0.057001,0.033929,-0.068175,-0.027580,-0.038955,0.011040,0.090016,1.000000,0.000170,-0.000341,-0.000138,0.951895,0.096718,0.182825,-0.226090,6.331344,23.066200,-25.428937
41470,-3.975102,1.170689,9.005919,-0.020185,0.197581,0.098875,0.036103,-0.073518,-0.042355,-0.039782,0.011699,0.090047,1.000000,0.000181,-0.000368,-0.000212,0.951917,0.096741,0.182444,-0.226296,6.338486,23.024652,-25.452775
41471,-3.946191,1.128551,9.004819,-0.022814,0.152097,0.082218,0.026050,-0.075386,-0.053263,-0.039493,0.011284,0.090035,1.000000,0.000130,-0.000377,-0.000266,0.951933,0.096705,0.182068,-0.226546,6.337317,22.982473,-25.483472
41472,-3.952841,1.204009,9.016282,0.004319,0.221592,0.102897,0.021843,-0.073515,-0.065600,-0.039558,0.012043,0.090150,1.000000,0.000109,-0.000368,-0.000328,0.951935,0.096639,0.181714,-0.226850,6.330737,22.942405,-25.521660
41473,-3.918175,1.186319,9.068577,0.035166,0.182626,0.135376,0.015236,-0.072621,-0.070870,-0.039210,0.011870,0.090672,1.000000,0.000076,-0.000363,-0.000354,0.951933,0.096539,0.181372,-0.227172,6.319256,22.902906,-25.563025
41474,-3.847011,1.106381,9.091310,0.058537,0.083278,0.120345,0.001702,-0.077239,-0.067700,-0.038501,0.011076,0.090898,1.000000,0.000009,-0.000386,-0.000339,0.951946,0.096371,0.181025,-0.227469,6.300622,22.860840,-25.602711
41475,-3.875360,1.167882,9.099798,0.061571,0.152431,0.145307,-0.011571,-0.069598,-0.063432,-0.038782,0.011696,0.090984,1.000000,-0.000058,-0.000348,-0.000317,0.951962,0.096153,0.180724,-0.227730,6.275720,22.822572,-25.639222
