// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
02665,-9.481318,0.413910,-1.892858,0.000092,-0.014419,-0.135424,-0.023077,0.009353,-0.035510,-0.094813,0.004154,-0.018925,1.000000,-0.000115,0.000047,-0.000178,0.593939,0.302087,0.712067,-0.221225,167.442871,78.380607,123.771297
02666,-9.506528,0.357187,-1.899818,-0.039896,-0.053536,-0.111836,-0.019095,0.009663,-0.033270,-0.095066,0.003586,-0.018994,1.000000,-0.000095,0.000048,-0.000166,0.593932,0.301950,0.712133,-0.221219,167.496521,78.381702,123.837531
02667,-9.506944,0.327589,-1.954061,-0.097620,-0.037288,-0.102036,-0.010250,0.008638,-0.030094,-0.095070,0.003289,-0.019537,1.000000,-0.000051,0.000043,-0.000150,0.593917,0.301850,0.712183,-0.221234,167.545426,78.382632,123.893965
02668,-9.498342,0.351671,-1.934881,-0.066917,-0.030130,-0.113175,-0.000369,0.006078,-0.031643,-0.094983,0.003532,-0.019346,1.000000,-0.000002,0.000030,-0.000158,0.593897,0.301768,0.712216,-0.221294,167.603204,78.385534,123.953741
02669,-9.514998,0.321816,-1.921653,-0.075071,-0.061880,-0.100734,0.011273,0.003515,-0.026939,-0.095150,0.003232,-0.019215,1.000000,0.000056,0.000018,-0.000135,0.593871,0.301737,0.712222,-0.221384,167.652824,78.388923,123.998314
02670,-9.510929,0.343018,-1.956271,-0.084511,-0.020865,-0.096986,0.013180,-0.001505,-0.029516,-0.095109,0.003446,-0.019563,1.000000,0.000066,-0.000008,-0.000148,0.593860,0.301694,0.712215,-0.221495,167.708099,78.395735,124.047897
02671,-9.506035,0.417690,-1.883918,0.019303,-0.013055,-0.112802,0.014519,0.000450,-0.032224,-0.095060,0.004194,-0.018839,1.000000,0.000073,0.000002,-0.000161,0.593835,0.301650,0.712217,-0.221617,167.772252,78.401465,124.105406
02672,-9.460860,0.444658,-1.943948,-0.008969,0.056233,-0.144116,0.007564,-0.002122,-0.025660,-0.094608,0.004459,-0.019440,1.000000,0.000038,-0.000011,-0.000128,0.593838,0.301605,0.712208,-0.221699,167.813589,78.408144,124.143799
02673,-9.506186,0.460147,-1.919130,0.025225,0.044923,-0.103943,0.006391,-0.002116,-0.029830,-0.095061,0.004616,-0.019192,1.000000,0.000032,-0.000011,-0.000149,0.593837,0.301543,0.712207,-0.221789,167.865147,78.415003,124.193202
02674,-9.460782,0.465780,-1.890192,0.045434,0.039060,-0.153879,-0.007178,-0.001508,-0.033912,-0.094607,0.004673,-0.018903,1.000000,-0.000036,-0.000008,-0.000170,0.593851,0.301426,0.712228,-0.221844,167.921079,78.422326,124.254920
02675,-9.485671,0.435591,-1.842692,0.062059,-0.016694,-0.140094,-0.001572,-0.002728,-0.034313,-0.094856,0.004372,-0.018428,1.000000,-0.000008,-0.000014,-0.000172,0.593859,0.301324,0.712241,-0.221919,167.980112,78.430044,124.316607
02676,-9.489846,0.456267,-1.843522,0.077406,0.000317,-0.134984,-0.001707,0.000869,-0.037803,-0.094898,0.004580,-0.018435,1.000000,-0.000009,0.000004,-0.000189,0.593853,0.301209,0.712270,-0.221998,168.051273,78.436445,124.391144
02677,-9.494468,0.401700,-1.862553,0.027993,-0.024722,-0.128990,0.003015,0.001289,-0.036900,-0.094944,0.004035,-0.018625,1.000000,0.000015,0.000006,-0.000184,0.593836,0.301115,0.712294,-0.222092,168.122506,78.442187,124.462599
