// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
31669,-9.121711,3.124234,-0.633098,-0.510040,-0.301560,-0.168206,0.024992,-0.110702,-0.437044,-0.091145,0.031442,-0.006378,0.999997,0.000125,-0.000554,-0.002185,-0.180811,0.630925,-0.376139,-0.654033,106.686814,74.010640,-120.180664
31670,-9.230942,2.798663,-0.418854,-0.434430,0.054082,-0.167666,-0.060447,-0.103660,-0.435459,-0.092246,0.028186,-0.004245,0.999997,-0.000302,-0.000518,-0.002177,-0.182260,0.631455,-0.374479,-0.654073,106.705368,74.267961,-120.127788
31671,-9.317282,2.305971,-0.675727,0.082151,0.173436,-0.192456,-0.146408,-0.089387,-0.454009,-0.093117,0.023266,-0.006816,0.999997,-0.000732,-0.000447,-0.002270,-0.183471,0.632141,-0.372491,-0.654207,106.715574,74.533082,-120.032635
31672,-9.381383,1.948926,-0.862449,0.449044,0.249221,-0.205994,-0.129974,-0.083073,-0.485455,-0.093763,0.019711,-0.008676,0.999997,-0.000650,-0.000415,-0.002427,-0.184824,0.632886,-0.370460,-0.654259,106.768235,74.814426,-119.903227
31673,-9.355010,1.767034,-0.875839,0.556508,0.313351,-0.273420,-0.067726,-0.084375,-0.519742,-0.093500,0.017910,-0.008804,0.999996,-0.000339,-0.000422,-0.002599,-0.186487,0.633630,-0.368521,-0.654161,106.879917,75.114722,-119.749932
31674,-9.087633,1.892046,-0.847015,0.383413,0.151035,-0.500744,-0.004013,-0.091677,-0.548002,-0.090820,0.019169,-0.008512,0.999996,-0.000020,-0.000458,-0.002740,-0.188457,0.634337,-0.366691,-0.653940,107.035935,75.431651,-119.588643
31675,-8.715355,2.095801,-0.686112,0.049812,0.009725,-0.822818,0.023654,-0.094346,-0.557478,-0.087091,0.021202,-0.006900,0.999996,0.000118,-0.000472,-0.002787,-0.190549,0.635023,-0.364916,-0.653661,107.216452,75.754089,-119.418775
31676,-8.497886,2.178834,-0.443202,-0.234653,0.043744,-1.031990,0.039487,-0.074435,-0.549586,-0.084917,0.022023,-0.004459,0.999996,0.000197,-0.000372,-0.002748,-0.192627,0.635738,-0.363234,-0.653294,107.451714,76.068665,-119.201941
31677,-8.395293,1.959537,-0.346849,-0.188447,0.199862,-1.189151,0.044003,-0.054906,-0.552350,-0.083897,0.019828,-0.003487,0.999996,0.000220,-0.000275,-0.002762,-0.194692,0.636514,-0.361574,-0.652847,107.746841,76.381111,-118.926541
31678,-8.458337,1.690801,-0.303984,-0.051879,0.386694,-1.190492,0.059334,-0.026939,-0.555866,-0.084536,0.017144,-0.003046,0.999996,0.000297,-0.000135,-0.002779,-0.196764,0.637366,-0.359977,-0.652276,108.130235,76.690155,-118.569660
