// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
61297,-9.594263,-0.530807,-1.370499,-0.058832,0.024080,-0.106717,0.004193,0.007111,-0.010189,-0.095943,-0.005303,-0.013702,1.000000,0.000021,0.000036,-0.000051,-0.081705,0.755542,-0.054113,-0.647729,-160.116349,80.973219,8.827080
61298,-9.560855,-0.428331,-1.380579,-0.063469,-0.077809,-0.143699,0.017572,0.011000,-0.009910,-0.095610,-0.004277,-0.013801,1.000000,0.000088,0.000055,-0.000050,-0.081779,0.755553,-0.054171,-0.647702,-160.108402,80.969856,8.824302
61299,-9.602050,-0.289483,-1.249546,-0.223267,-0.189929,-0.129784,0.000268,0.007309,-0.014723,-0.096021,-0.002888,-0.012492,1.000000,0.000001,0.000037,-0.000074,-0.081796,0.755556,-0.054153,-0.647698,-160.091599,80.968651,8.841138
61300,-9.604511,-0.345842,-1.498466,0.028680,-0.182562,-0.087591,-0.075179,-0.004481,-0.004894,-0.096045,-0.003462,-0.014986,1.000000,-0.000376,-0.000022,-0.000024,-0.081507,0.755553,-0.053924,-0.647756,-160.134814,80.974607,8.840366
61301,-9.530686,-0.585754,-1.486097,0.073846,0.059008,-0.149528,-0.078194,0.002117,0.007324,-0.095307,-0.005867,-0.014858,1.000000,-0.000391,0.000011,0.000037,-0.081157,0.755565,-0.053733,-0.647802,-160.231630,80.980502,8.787715
61302,-9.651336,-0.965475,-1.553745,0.191787,0.418149,-0.000301,-0.039202,0.004944,0.009636,-0.096513,-0.009662,-0.015533,1.000000,-0.000196,0.000025,0.000048,-0.080954,0.755575,-0.053678,-0.647821,-160.315201,80.984184,8.725211
61303,-9.619152,-1.031122,-1.409872,0.070375,0.512852,-0.049949,0.021488,-0.004771,0.010676,-0.096191,-0.010315,-0.014102,1.000000,0.000107,-0.000024,0.000053,-0.080972,0.755523,-0.053819,-0.647867,-160.358001,80.994396,8.669542
61304,-9.543487,-0.734744,-1.305526,-0.072534,0.245385,-0.155725,0.067255,-0.007785,0.021975,-0.095434,-0.007354,-0.013061,1.000000,0.000336,-0.000039,0.000110,-0.081134,0.755445,-0.054151,-0.647911,-160.407337,81.007303,8.579947
61305,-9.533813,-0.336964,-1.338627,-0.111497,-0.149203,-0.181261,0.065595,-0.000120,0.020780,-0.095338,-0.003375,-0.013387,1.000000,0.000328,-0.000001,0.000104,-0.081286,0.755387,-0.054476,-0.647932,-160.464942,81.016931,8.483405
61306,-9.585549,-0.042145,-1.332155,-0.180195,-0.436238,-0.146437,0.009190,0.003107,0.019017,-0.095856,-0.000430,-0.013320,1.000000,0.000046,0.000016,0.000095,-0.081236,0.755368,-0.054613,-0.647948,-160.550988,81.023358,8.390330
61307,-9.584177,-0.162375,-1.405925,-0.085196,-0.329879,-0.130572,-0.032863,0.007375,0.015659,-0.095842,-0.001634,-0.014055,1.000000,-0.000164,0.000037,0.000078,-0.081030,0.755376,-0.054602,-0.647965,-160.656834,81.027907,8.302239
61308,-9.543302,-0.420432,-1.461301,0.023585,-0.084077,-0.149399,-0.021932,0.003779,0.010952,-0.095433,-0.004211,-0.014611,1.000000,-0.000110,0.000019,0.000055,-0.080888,0.755375,-0.054608,-0.647984,-160.734127,81.032396,8.236081
61309,-9.537814,-0.453645,-1.437443,0.008010,-0.045001,-0.156609,0.007990,0.006418,0.005981,-0.095378,-0.004539,-0.014372,1.000000,0.000040,0.000032,0.000030,-0.080870,0.755366,-0.054695,-0.647990,-160.782488,81.035626,8.182188
61310,-9.555710,-0.383128,-1.360043,-0.082836,-0.098571,-0.153934,0.029859,0.005556,0.005119,-0.095557,-0.003832,-0.013598,1.000000,0.000149,0.000028,0.000026,-0.080942,0.755350,-0.054847,-0.647986,-160.812321,81.038036,8.134038
61311,-9.555769,-0.348620,-1.361019,-0.087961,-0.131761,-0.155486,0.024713,0.005185,0.002365,-0.095558,-0.003486,-0.013608,1.000000,0.000124,0.000026,0.000012,-0.080996,0.755332,-0.054971,-0.647991,-160.837524,81.041198,8.094401
61312,-9.673461,-0.400226,-1.334320,-0.122127,-0.077618,-0.040507,0.017738,0.007119,0.006555,-0.096735,-0.004004,-0.013340,1.000000,0.000089,0.000036,0.000033,-0.081017,0.755326,-0.055090,-0.647984,-160.881141,81.043024,8.039327
61313,-9.627931,-0.486184,-1.368405,-0.065286,0.002713,-0.076072,-0.034273,0.000464,0.007245,-0.096279,-0.004868,-0.013683,1.000000,-0.000171,0.000002,0.000036,-0.080835,0.755314,-0.055041,-0.648025,-160.951207,81.049663,7.988109
61314,-9.553700,-0.709730,-1.431281,0.050061,0.213810,-0.128822,-0.038222,-0.003222,0.017527,-0.095536,-0.007108,-0.014313,1.000000,-0.000191,-0.000016,0.000088,-0.080613,0.755295,-0.055016,-0.648077,-161.052496,81.059117,7.907113
61315,-9.648111,-0.932429,-1.456455,0.103115,0.428565,-0.020730,-0.004690,-0.001301,0.027078,-0.096480,-0.009338,-0.014565,1.000000,-0.000023,-0.000007,0.000135,-0.080479,0.755260,-0.055137,-0.648124,-161.172111,81.070362,7.788585
