// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
32426,-9.691561,0.986222,-0.719660,0.009742,-0.026637,-0.044571,-0.002906,-0.002225,-0.002345,-0.096915,0.009863,-0.007198,1.000000,-0.000015,-0.000011,-0.000012,-0.037335,-0.731651,0.032048,0.679901,126.503114,82.982020,-53.067663
32427,-9.723444,0.949221,-0.723643,0.011516,0.012893,-0.016273,-0.011932,0.001151,-0.003308,-0.097234,0.009493,-0.007236,1.000000,-0.000060,0.000006,-0.000017,-0.037341,-0.731647,0.032007,0.679907,126.510121,82.984792,-53.056794
32428,-9.675651,0.873379,-0.705878,-0.002821,0.083214,-0.072444,-0.011599,0.001555,0.000454,-0.096757,0.008733,-0.007059,1.000000,-0.000058,0.000008,0.000002,-0.037359,-0.731643,0.031979,0.679911,126.507445,82.985831,-53.055814
32429,-9.709040,0.807724,-0.728841,0.017405,0.151933,-0.044079,0.000968,0.001990,0.000698,-0.097091,0.008077,-0.007287,1.000000,0.000005,0.000010,0.000003,-0.037332,-0.731644,0.031996,0.679911,126.513889,82.986472,-53.052958
32430,-9.717595,0.877641,-0.709153,-0.002414,0.082633,-0.030154,0.015677,-0.002792,-0.001543,-0.097176,0.008778,-0.007092,1.000000,0.000078,-0.000014,-0.000008,-0.037242,-0.731631,0.032055,0.679928,126.516129,82.989916,-53.062771
32431,-9.675669,0.873152,-0.705903,-0.002294,0.082524,-0.072438,0.019654,-0.003176,-0.000441,-0.096757,0.008732,-0.007060,1.000000,0.000098,-0.000016,-0.000002,-0.037142,-0.731618,0.032132,0.679944,126.517091,82.992843,-53.076225
32432,-9.683081,0.915572,-0.739295,0.030821,0.041031,-0.058495,0.018582,-0.000568,0.000800,-0.096831,0.009156,-0.007392,1.000000,0.000093,-0.000003,0.000004,-0.037050,-0.731612,0.032209,0.679951,126.522842,82.994452,-53.084179
32433,-9.683108,0.915457,-0.739089,0.030985,0.040801,-0.058495,0.012135,-0.006604,-0.000824,-0.096831,0.009155,-0.007394,1.000000,0.000061,-0.000033,-0.000004,-0.036975,-0.731586,0.032260,0.679981,126.507698,82.998724,-53.109519
32434,-9.670325,0.875882,-0.774145,0.067261,0.079055,-0.072519,0.006451,-0.001452,0.002128,-0.096703,0.008758,-0.007742,1.000000,0.000032,-0.000007,0.000011,-0.036932,-0.731575,0.032301,0.679994,126.499500,83.000022,-53.124524
32435,-9.719211,0.848581,-0.727178,0.016928,0.110657,-0.030080,0.006249,0.000257,0.006511,-0.097192,0.008483,-0.007271,1.000000,0.000031,0.000001,0.000033,-0.036905,-0.731570,0.032357,0.679998,126.486344,82.998577,-53.144464
32436,-9.698958,0.898096,-0.740865,0.032353,0.059971,-0.044340,0.012699,-0.001195,0.008638,-0.096990,0.008977,-0.007409,1.000000,0.000063,-0.000006,0.000043,-0.036861,-0.731559,0.032443,0.680007,126.464664,82.996789,-53.176661
32437,-9.726077,0.948968,-0.688552,-0.021204,0.011949,-0.016227,0.013771,-0.007549,0.007649,-0.097261,0.009486,-0.006889,1.000000,0.000069,-0.000038,0.000038,-0.036809,-0.731529,0.032530,0.680038,126.423387,82.997474,-53.229275
32438,-9.695338,1.013812,-0.630763,-0.075608,-0.055826,-0.044555,0.013871,-0.008405,0.005457,-0.096953,0.010136,-0.006311,1.000000,0.000069,-0.000042,0.000027,-0.036749,-0.731495,0.032610,0.680074,126.384140,82.999600,-53.279848
32439,-9.667288,1.077069,-0.538655,-0.164549,-0.122190,-0.072837,-0.002671,-0.004709,0.003864,-0.096673,0.010769,-0.005389,1.000000,-0.000013,-0.000024,0.000019,-0.036745,-0.731472,0.032627,0.680099,126.354559,83.001058,-53.311187
32440,-9.685212,0.973546,-0.630995,-0.073666,-0.016405,-0.058530,-0.033284,0.005358,0.001449,-0.096852,0.009734,-0.006309,1.000000,-0.000166,0.000027,0.000007,-0.036846,-0.731477,0.032529,0.680093,126.351032,83.000354,-53.298549
32441,-9.744593,0.931009,-0.655205,-0.054167,0.032292,-0.002021,-0.044016,0.009759,0.004791,-0.097446,0.009306,-0.006549,1.000000,-0.000220,0.000049,0.000024,-0.036998,-0.731495,0.032406,0.680071,126.349566,82.996469,-53.277695
32442,-9.724721,0.924135,-0.741207,0.032660,0.038560,-0.016205,-0.040477,0.009824,0.004318,-0.097248,0.009238,-0.007409,1.000000,-0.000202,0.000049,0.000022,-0.037136,-0.731513,0.032293,0.680049,126.350736,82.992927,-53.256171
32443,-9.671043,0.908129,-0.720792,0.015906,0.049165,-0.072531,-0.032122,0.005638,-0.002247,-0.096711,0.009081,-0.007207,1.000000,-0.000161,0.000028,-0.000011,-0.037220,-0.731520,0.032186,0.680042,126.360043,82.993689,-53.231329
32444,-9.698606,0.902056,-0.740664,0.033792,0.058096,-0.044334,-0.018251,0.000974,0.002959,-0.096986,0.009018,-0.007407,1.000000,-0.000091,0.000005,0.000015,-0.037270,-0.731513,0.032146,0.680049,126.344487,82.993780,-53.239488
32445,-9.709812,0.970962,-0.686182,-0.020612,-0.009781,-0.030380,0.001840,-0.006401,0.004340,-0.097098,0.009708,-0.006865,1.000000,0.000009,-0.000032,0.000022,-0.037251,-0.731485,0.032180,0.680079,126.309834,82.995589,-53.278541
32446,-9.681101,0.950107,-0.718962,0.014852,0.008583,-0.058559,0.004949,-0.005884,0.002302,-0.096811,0.009500,-0.007192,1.000000,0.000025,-0.000029,0.000012,-0.037213,-0.731458,0.032217,0.680108,126.283606,82.998308,-53.310845
32447,-9.685391,0.919732,-0.702987,-0.001015,0.038935,-0.058438,0.004513,-0.001689,0.000481,-0.096854,0.009197,-0.007030,1.000000,0.000023,-0.000008,0.000002,-0.037171,-0.731447,0.032246,0.680120,126.278827,83.000299,-53.321344
32448,-9.740603,0.907071,-0.742317,0.034570,0.057021,-0.002045,0.009126,-0.004232,-0.001229,-0.097406,0.009072,-0.007425,1.000000,0.000046,-0.000021,-0.000006,-0.037107,-0.731427,0.032284,0.680143,126.270940,83.004088,-53.337580
32449,-9.711456,0.942162,-0.703705,-0.001434,0.018461,-0.030310,0.014607,-0.000187,-0.000301,-0.097115,0.009422,-0.007036,1.000000,0.000073,-0.000001,-0.000002,-0.037026,-0.731423,0.032344,0.680149,126.279751,83.005930,-53.340213
32450,-9.715721,1.042342,-0.699655,-0.005305,-0.081409,-0.016537,0.011265,-0.001960,-0.004217,-0.097157,0.010426,-0.006997,1.000000,0.000056,-0.000010,-0.000021,-0.036943,-0.731412,0.032378,0.680164,126.289907,83.010330,-53.339506
32451,-9.672256,1.066537,-0.677672,-0.023684,-0.110664,-0.058895,0.008257,-0.003331,-0.004371,-0.096722,0.010668,-0.006778,1.000000,0.000041,-0.000017,-0.000022,-0.036871,-0.731397,0.032402,0.680183,126.294495,83.015118,-53.342728
32452,-9.704176,1.029420,-0.681555,-0.021820,-0.071160,-0.030575,-0.008924,-0.001221,-0.002902,-0.097042,0.010295,-0.006817,1.000000,-0.000045,-0.000006,-0.000015,-0.036867,-0.731385,0.032372,0.680198,126.292218,83.018657,-53.342894
32453,-9.707348,0.971429,-0.718751,0.015296,-0.013056,-0.030435,-0.044690,0.001459,-0.002236,-0.097073,0.009714,-0.007189,1.000000,-0.000223,0.000007,-0.000011,-0.036997,-0.731376,0.032223,0.680207,126.278619,83.020835,-53.333876
32454,-9.706263,0.813144,-0.759957,0.056533,0.144668,-0.044056,-0.049206,-0.000598,-0.002472,-0.097063,0.008131,-0.007602,1.000000,-0.000246,-0.000003,-0.000012,-0.037142,-0.731358,0.032058,0.680227,126.254399,83.023962,-53.332895
32455,-9.698925,0.770563,-0.725870,0.023828,0.185743,-0.057958,-0.035033,-0.007822,-0.003847,-0.096989,0.007706,-0.007264,1.000000,-0.000175,-0.000039,-0.000019,-0.037229,-0.731319,0.031937,0.680269,126.215716,83.030029,-53.354722
32456,-9.587526,0.898925,-0.710125,0.018115,0.046426,-0.157093,-0.024302,-0.012220,-0.007195,-0.095874,0.008992,-0.007108,1.000000,-0.000122,-0.000061,-0.000036,-0.037265,-0.731267,0.031841,0.680327,126.174876,83.039277,-53.384862
32457,-9.641413,1.045472,-0.739925,0.047114,-0.094890,-0.087148,-0.046033,-0.030108,-0.015314,-0.096412,0.010460,-0.007416,1.000000,-0.000230,-0.000151,-0.000077,-0.037350,-0.731153,0.031646,0.680455,126.076904,83.058173,-53.460067
32458,-9.379983,1.108359,-0.730867,0.060435,-0.184583,-0.341204,-0.103034,-0.016677,-0.025386,-0.093798,0.011092,-0.007322,1.000000,-0.000515,-0.000083,-0.000127,-0.037611,-0.731074,0.031216,0.680546,126.024092,83.077339,-53.456823
32459,-9.543535,1.087974,-0.465010,-0.214343,-0.153935,-0.199709,-0.135652,0.000625,-0.029974,-0.095434,0.010891,-0.004657,1.000000,-0.000678,0.000003,-0.000150,-0.037978,-0.731049,0.030656,0.680577,126.032271,83.092656,-53.373370
32460,-9.637063,0.665859,-0.353910,-0.334704,0.269678,-0.155729,-0.166686,0.029742,-0.060800,-0.096369,0.006685,-0.003530,1.000000,-0.000833,0.000149,-0.000304,-0.038359,-0.731120,0.029872,0.680514,126.219643,83.112527,-53.091454
