// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472E6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
28995,-4.499338,1.460487,9.203438,0.214751,-0.116975,0.532386,-0.045621,0.004202,-0.007585,-0.044991,0.014628,0.092032,1.000000,-0.000228,0.000021,-0.000038,0.440503,0.225663,0.046680,-0.867672,7.508430,25.640845,-124.456652
28996,-4.465213,1.689013,9.302246,0.346501,-0.311669,0.632669,-0.065849,0.008482,-0.002062,-0.044648,0.016921,0.093019,1.000000,-0.000329,0.000042,-0.000010,0.440539,0.225532,0.046950,-0.867673,7.472154,25.641713,-124.461214
28997,-4.103197,1.840664,9.351234,0.269918,-0.692408,0.537073,-0.113017,0.029079,-0.004540,-0.041018,0.018460,0.093508,1.000000,-0.000565,0.000145,-0.000023,0.440609,0.225396,0.047481,-0.867644,7.408476,25.656038,-124.465812
28998,-3.553336,2.056002,9.954318,-0.045908,-1.411571,0.861914,-0.114591,0.085358,-0.008219,-0.035490,0.020619,0.099547,1.000000,-0.000573,0.000427,-0.000041,0.440655,0.225489,0.048137,-0.867560,7.345377,25.701018,-124.467919
28999,-3.369731,2.237053,10.081393,-0.033639,-1.708165,0.914614,-0.184752,0.074882,0.007985,-0.033660,0.022462,0.100806,1.000000,-0.000924,0.000374,0.000040,0.440849,0.225397,0.049067,-0.867433,7.245609,25.740452,-124.460959
29000,-2.612380,2.019997,10.483718,-0.722751,-2.266801,0.918226,-0.115318,0.092597,0.059602,-0.026081,0.020253,0.104838,1.000000,-0.000577,0.000463,0.000298,0.441188,0.225536,0.049664,-0.867191,7.201006,25.784501,-124.419841
29001,-2.552808,2.264379,10.944043,-0.720810,-2.596444,1.329809,-0.003544,0.054803,0.138053,-0.025514,0.022628,0.109447,1.000000,-0.000018,0.000274,0.000690,0.441746,0.225787,0.049617,-0.866844,7.240078,25.803163,-124.332427
29002,-2.055777,2.743331,11.305407,-0.728218,-3.349293,1.492896,0.114640,-0.035634,0.227895,-0.020609,0.027345,0.113066,0.999999,0.000573,-0.000178,0.001139,0.442587,0.225918,0.048743,-0.866431,7.369063,25.761726,-124.195297
29003,-1.701092,3.185544,11.765105,-0.731787,-3.985087,1.808093,0.220830,-0.098337,0.308371,-0.017118,0.031699,0.117678,0.999998,0.001104,-0.000492,0.001542,0.443666,0.226043,0.047192,-0.865932,7.577720,25.680351,-124.013117
29004,-1.852506,3.735982,12.577342,-0.520114,-4.388482,2.679282,0.271380,-0.201091,0.382415,-0.018723,0.037153,0.125805,0.999997,0.001357,-0.001005,0.001912,0.445035,0.225836,0.045094,-0.865395,7.832048,25.531808,-123.793247
29005,-2.175983,3.912286,13.611471,-0.592329,-4.470876,3.787783,0.314997,-0.396751,0.462854,-0.022120,0.038858,0.136132,0.999994,0.001575,-0.001984,0.002314,0.446739,0.224912,0.042297,-0.864899,8.123538,25.267382,-123.541588
29006,-3.036637,4.048854,14.684111,-0.430913,-4.079388,5.167580,0.403619,-0.742335,0.605160,-0.031033,0.040099,0.146808,0.999986,0.002018,-0.003712,0.003026,0.449028,0.222698,0.038164,-0.864478,8.488770,24.790977,-123.234452
29007,-2.670556,3.940271,14.454598,-0.594892,-4.046281,4.845491,0.470351,-1.265681,0.806398,-0.027778,0.038952,0.144464,0.999969,0.002352,-0.006328,0.004032,0.452187,0.218419,0.032362,-0.864160,8.916995,24.001782,-122.857599
29008,-0.576271,4.150755,13.362882,-1.032306,-5.274266,3.119381,0.466800,-1.564280,0.949647,-0.007004,0.041164,0.133674,0.999955,0.002334,-0.007821,0.004748,0.455989,0.212828,0.025718,-0.863781,9.359009,23.024620,-122.430644
29009,0.923284,4.161639,12.491874,-1.392940,-6.021641,1.849782,0.375147,-1.575684,1.020679,0.008036,0.041425,0.125063,0.999954,0.001876,-0.007878,0.005103,0.460149,0.206988,0.019389,-0.863158,9.752502,22.034865,-121.972693
