// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
55054,-3.961554,2.369218,8.735207,-0.042570,-0.022304,0.067021,0.006961,0.003699,-0.014513,-0.039612,0.023692,0.087354,1.000000,0.000035,0.000018,-0.000073,-0.906371,-0.191060,-0.147064,0.346929,15.452937,23.525564,-38.653842
55055,-3.937751,2.431077,8.753791,0.019398,-0.001984,0.089055,0.008931,0.006102,-0.012162,-0.039373,0.024309,0.087540,1.000000,0.000045,0.000031,-0.000061,-0.906369,-0.191074,-0.147072,0.346924,15.454455,23.526876,-38.652856
55056,-3.940167,2.453943,8.744582,0.032122,0.019074,0.087468,0.006248,0.003836,-0.013156,-0.039398,0.024539,0.087447,1.000000,0.000031,0.000019,-0.000066,-0.906375,-0.191069,-0.147077,0.346909,15.454132,23.526960,-38.651031
55057,-3.937556,2.408495,8.761921,0.005361,-0.021359,0.090644,0.005531,0.005094,-0.015484,-0.039371,0.024086,0.087621,1.000000,0.000028,0.000025,-0.000077,-0.906371,-0.191064,-0.147089,0.346918,15.452837,23.528222,-38.652213
55058,-3.939811,2.431232,8.752821,0.018099,-0.000283,0.089057,0.007026,0.000894,-0.010514,-0.039396,0.024311,0.087529,1.000000,0.000035,0.000004,-0.000053,-0.906376,-0.191061,-0.147073,0.346911,15.453245,23.526289,-38.651464
55059,-3.938754,2.408407,8.761407,0.004515,-0.020224,0.090647,0.001299,0.006467,-0.014396,-0.039383,0.024086,0.087615,1.000000,0.000006,0.000032,-0.000072,-0.906377,-0.191040,-0.147098,0.346910,15.449878,23.528143,-38.651762
55060,-3.967398,2.391871,8.724498,-0.031966,0.001531,0.065427,0.005534,0.003973,-0.011800,-0.039671,0.023919,0.087246,1.000000,0.000028,0.000020,-0.000059,-0.906381,-0.191034,-0.147101,0.346901,15.449376,23.528099,-38.650687
55061,-3.938478,2.385445,8.769680,-0.009495,-0.039598,0.092240,0.004877,0.003547,-0.013812,-0.039382,0.023855,0.087698,1.000000,0.000024,0.000018,-0.000069,-0.906382,-0.191024,-0.147105,0.346903,15.448005,23.528251,-38.651119
55062,-3.912965,2.424507,8.797159,0.039293,-0.039687,0.115878,0.008335,0.003996,-0.013859,-0.039126,0.024244,0.087973,1.000000,0.000042,0.000020,-0.000069,-0.906377,-0.191031,-0.147105,0.346912,15.448531,23.528584,-38.652215
55063,-3.969348,2.391799,8.723631,-0.033228,0.003204,0.065422,0.003506,0.003256,-0.014467,-0.039690,0.023919,0.087237,1.000000,0.000018,0.000016,-0.000072,-0.906378,-0.191014,-0.147111,0.346916,15.446198,23.528675,-38.653091
55064,-3.943826,2.430714,8.751156,0.015543,0.003141,0.089061,0.006249,0.003841,-0.013157,-0.039435,0.024307,0.087513,1.000000,0.000031,0.000019,-0.000066,-0.906375,-0.191011,-0.147111,0.346926,15.445657,23.528705,-38.654444
55065,-3.968877,2.369091,8.731917,-0.047229,-0.016169,0.067012,0.008396,0.002314,-0.013543,-0.039686,0.023690,0.087321,1.000000,0.000042,0.000012,-0.000068,-0.906374,-0.191015,-0.147103,0.346931,15.446285,23.528135,-38.654920
55066,-3.905138,2.423543,8.723455,0.034512,-0.011653,0.047384,0.008931,0.006112,-0.012164,-0.039047,0.024234,0.087237,1.000000,0.000045,0.000031,-0.000061,-0.906368,-0.191029,-0.147108,0.346934,15.447686,23.529291,-38.655055
55067,-3.978031,2.404060,8.754173,-0.026818,0.002875,0.098874,0.004164,0.003684,-0.012456,-0.039777,0.024041,0.087543,1.000000,0.000021,0.000018,-0.000062,-0.906372,-0.191018,-0.147114,0.346929,15.446241,23.529312,-38.654649
55068,-3.938650,2.396709,8.726837,-0.007420,-0.012485,0.057198,0.011140,0.002901,-0.012233,-0.039384,0.023965,0.087270,1.000000,0.000056,0.000015,-0.000061,-0.906367,-0.191036,-0.147100,0.346937,15.448696,23.528719,-38.655276
55069,-3.920805,2.470751,8.777255,0.062611,0.005379,0.112714,0.006968,0.002586,-0.010830,-0.039206,0.024707,0.087774,1.000000,0.000035,0.000013,-0.000054,-0.906372,-0.191036,-0.147094,0.346927,15.449176,23.527885,-38.654073
55070,-3.959729,2.400916,8.739729,-0.018210,-0.003405,0.078034,0.006965,0.003709,-0.014515,-0.039594,0.024009,0.087399,1.000000,0.000035,0.000019,-0.000073,-0.906376,-0.191033,-0.147098,0.346917,15.448960,23.528064,-38.652798
55071,-3.944772,2.386596,8.766538,-0.013729,-0.033929,0.092256,0.008993,0.004430,-0.011849,-0.039444,0.023864,0.087667,1.000000,0.000045,0.000022,-0.000059,-0.906375,-0.191045,-0.147098,0.346912,15.450478,23.528404,-38.651902
55072,-3.953241,2.421566,8.789105,0.007074,-0.015418,0.124122,0.009708,0.004296,-0.013206,-0.039529,0.024214,0.087893,1.000000,0.000049,0.000021,-0.000066,-0.906373,-0.191058,-0.147097,0.346911,15.452053,23.528732,-38.651480
55073,-3.931291,2.451402,8.725720,0.034721,0.020799,0.066633,0.006251,0.003845,-0.013159,-0.039310,0.024514,0.087259,1.000000,0.000031,0.000019,-0.000066,-0.906373,-0.191055,-0.147100,0.346911,15.451647,23.528948,-38.651470
55074,-3.948357,2.409911,8.756670,-0.001911,-0.011714,0.090662,0.008461,0.000635,-0.013227,-0.039482,0.024098,0.087568,1.000000,0.000042,0.000003,-0.000066,-0.906379,-0.191055,-0.147085,0.346902,15.452378,23.527212,-38.650321
55075,-3.936524,2.441012,8.765903,0.028825,-0.001175,0.101695,0.007030,0.000904,-0.010514,-0.039364,0.024409,0.087660,1.000000,0.000035,0.000005,-0.000053,-0.906385,-0.191053,-0.147071,0.346892,15.452859,23.525401,-38.649208
55076,-3.941376,2.430407,8.806319,0.023369,-0.023691,0.136759,0.006251,0.003846,-0.013160,-0.039410,0.024304,0.088065,1.000000,0.000031,0.000019,-0.000066,-0.906386,-0.191050,-0.147072,0.346893,15.452422,23.525435,-38.649281
55077,-3.955932,2.422080,8.787752,0.004911,-0.012592,0.124127,0.003509,0.003259,-0.014470,-0.039556,0.024222,0.087879,1.000000,0.000018,0.000016,-0.000072,-0.906387,-0.191032,-0.147079,0.346897,15.450090,23.525528,-38.650158
55078,-3.934865,2.395535,8.782849,0.001309,-0.040512,0.104900,0.006967,0.003714,-0.014517,-0.039345,0.023955,0.087830,1.000000,0.000035,0.000019,-0.000073,-0.906383,-0.191032,-0.147080,0.346907,15.449669,23.525782,-38.651519
55079,-3.932908,2.428968,8.733004,0.019008,0.003676,0.068235,0.006252,0.003848,-0.013160,-0.039326,0.024290,0.087332,1.000000,0.000031,0.000019,-0.000066,-0.906383,-0.191029,-0.147083,0.346906,15.449263,23.526001,-38.651509
55080,-3.919642,2.437068,8.751060,0.036617,-0.006250,0.080874,0.002795,0.003395,-0.013114,-0.039193,0.024372,0.087512,1.000000,0.000014,0.000017,-0.000066,-0.906381,-0.191011,-0.147085,0.346921,15.446672,23.525747,-38.653811
55081,-3.950777,2.387030,8.763715,-0.017995,-0.028268,0.092267,0.005534,0.005107,-0.015489,-0.039504,0.023871,0.087639,1.000000,0.000028,0.000026,-0.000077,-0.906377,-0.191005,-0.147097,0.346929,15.445378,23.527016,-38.654995
55082,-3.987237,2.405027,8.749718,-0.033317,0.011347,0.098848,0.004879,0.004679,-0.017501,-0.039868,0.024052,0.087499,1.000000,0.000024,0.000023,-0.000088,-0.906369,-0.190994,-0.147108,0.346952,15.443124,23.528150,-38.658105
55083,-3.953863,2.409568,8.754280,-0.005753,-0.006589,0.090665,0.009182,-0.000615,-0.010899,-0.039538,0.024094,0.087544,1.000000,0.000046,-0.000003,-0.000054,-0.906374,-0.190999,-0.147083,0.346947,15.444644,23.525558,-38.657475
55084,-3.972518,2.390603,8.776470,-0.029219,-0.018610,0.113092,0.001425,0.003102,-0.013770,-0.039722,0.023908,0.087765,1.000000,0.000007,0.000016,-0.000069,-0.906381,-0.190972,-0.147093,0.346940,15.441297,23.525454,-38.657055
55085,-3.934904,2.405686,8.740355,0.003353,-0.013449,0.069843,0.007623,0.004147,-0.012506,-0.039346,0.024056,0.087405,1.000000,0.000038,0.000021,-0.000063,-0.906381,-0.190976,-0.147095,0.346937,15.441853,23.525738,-38.656602
