// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EF
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
34715,-9.822313,-1.124960,-1.476968,0.192134,-0.028890,0.181664,0.109167,-0.049731,-0.030113,-0.098221,-0.011227,-0.014800,1.000000,0.000546,-0.000249,-0.000151,-0.015950,0.747867,0.070809,-0.659869,-137.637699,79.974111,46.825642
34716,-9.688430,-1.190302,-1.395349,0.128376,0.042723,0.046885,0.140578,-0.043002,-0.028554,-0.096883,-0.011879,-0.013983,1.000000,0.000703,-0.000215,-0.000143,-0.016575,0.747697,0.070449,-0.660085,-137.384386,79.981278,46.998722
34717,-9.572443,-1.206513,-1.328801,0.081750,0.064375,-0.073990,0.175349,-0.046646,-0.027955,-0.095723,-0.012040,-0.013321,1.000000,0.000877,-0.000233,-0.000140,-0.017328,0.747511,0.069974,-0.660326,-137.103507,79.989881,47.179661
34718,-9.520663,-1.236114,-1.229395,-0.005711,0.088957,-0.134131,0.203082,-0.043467,-0.026635,-0.095206,-0.012336,-0.012327,0.999999,0.001015,-0.000217,-0.000133,-0.018180,0.747334,0.069400,-0.660564,-136.817256,79.997697,47.349826
34719,-9.451347,-1.279576,-1.156156,-0.066213,0.131318,-0.206422,0.206084,-0.044006,-0.028445,-0.094513,-0.012770,-0.011596,0.999999,0.001030,-0.000220,-0.000142,-0.019050,0.747153,0.068825,-0.660805,-136.522733,80.004692,47.526728
34720,-9.296997,-1.270154,-1.168029,-0.028163,0.137751,-0.357955,0.196220,-0.048531,-0.029384,-0.092969,-0.012676,-0.011715,0.999999,0.000981,-0.000243,-0.000147,-0.019884,0.746957,0.068285,-0.661058,-136.221852,80.013215,47.715729
34721,-9.161078,-1.317262,-1.184145,0.007730,0.198233,-0.484056,0.197271,-0.050152,-0.025293,-0.091609,-0.013149,-0.011877,0.999999,0.000986,-0.000251,-0.000126,-0.020708,0.746756,0.067727,-0.661317,-135.925178,80.023679,47.899933
34722,-9.053665,-1.334557,-1.189544,0.031905,0.225362,-0.587011,0.197379,-0.048564,-0.020239,-0.090535,-0.013325,-0.011931,0.999999,0.000987,-0.000243,-0.000101,-0.021516,0.746561,0.067149,-0.661570,-135.644016,80.035526,48.068226
34723,-8.984327,-1.289436,-1.299230,0.159261,0.192336,-0.647186,0.185754,-0.050100,-0.010239,-0.089841,-0.012878,-0.013027,1.000000,0.000929,-0.000251,-0.000051,-0.022247,0.746365,0.066573,-0.661826,-135.388074,80.051701,48.217760
34724,-8.901610,-1.257229,-1.279295,0.158347,0.167305,-0.735088,0.170536,-0.047581,-0.004624,-0.089013,-0.012559,-0.012825,1.000000,0.000853,-0.000238,-0.000023,-0.022904,0.746180,0.066025,-0.662067,-135.159696,80.069176,48.348074
34725,-8.846050,-1.283648,-1.336869,0.226102,0.201723,-0.779650,0.155063,-0.035640,0.004467,-0.088458,-0.012828,-0.013394,1.000000,0.000775,-0.000178,0.000022,-0.023477,0.746038,0.065495,-0.662258,-134.987668,80.085235,48.430255
34726,-8.849793,-1.338054,-1.305184,0.195581,0.252423,-0.773286,0.136979,-0.025722,0.012628,-0.088495,-0.013377,-0.013072,1.000000,0.000685,-0.000129,0.000063,-0.023958,0.745934,0.064991,-0.662408,-134.868231,80.100715,48.469504
34727,-8.901079,-1.384512,-1.309849,0.195300,0.291643,-0.716612,0.125934,-0.017528,0.015993,-0.089009,-0.013844,-0.013115,1.000000,0.000630,-0.000088,0.000080,-0.024390,0.745860,0.064511,-0.662523,-134.781142,80.114082,48.482400
34728,-8.977774,-1.453265,-1.319402,0.194781,0.350613,-0.631600,0.104204,-0.011007,0.023733,-0.089775,-0.014536,-0.013207,1.000000,0.000521,-0.000055,0.000119,-0.024717,0.745811,0.064073,-0.662608,-134.740213,80.128110,48.461038
34729,-9.057542,-1.468668,-1.314842,0.182785,0.356433,-0.551780,0.104922,-0.007721,0.030778,-0.090573,-0.014694,-0.013160,1.000000,0.000525,-0.000039,0.000154,-0.025025,0.745776,0.063607,-0.662681,-134.722245,80.143536,48.415994
34730,-9.107238,-1.475665,-1.248317,0.113582,0.355935,-0.510103,0.132307,-0.013015,0.048159,-0.091068,-0.014770,-0.012499,1.000000,0.000662,-0.000065,0.000241,-0.025375,0.745725,0.062985,-0.662785,-134.717257,80.168304,48.341834
34731,-9.171052,-1.414139,-1.183210,0.048135,0.286705,-0.462637,0.150084,0.002030,0.052484,-0.091707,-0.014157,-0.011842,1.000000,0.000750,0.000010,0.000262,-0.025782,0.745722,0.062287,-0.662838,-134.747094,80.188633,48.222018
34732,-9.232880,-1.314727,-1.046921,-0.086256,0.177772,-0.430172,0.155884,0.002467,0.060777,-0.092325,-0.013167,-0.010478,1.000000,0.000779,0.000012,0.000304,-0.026183,0.745722,0.061538,-0.662892,-134.794973,80.212264,48.080519
34733,-9.316764,-1.184225,-0.942851,-0.190171,0.037633,-0.375746,0.152552,0.009919,0.066185,-0.093164,-0.011866,-0.009433,1.000000,0.000763,0.000050,0.000331,-0.026557,0.745748,0.060779,-0.662918,-134.874890,80.234936,47.908467
34734,-9.469431,-1.050210,-0.864227,-0.277451,-0.112983,-0.250773,0.141279,0.011775,0.064284,-0.094691,-0.010526,-0.008644,1.000000,0.000706,0.000059,0.000321,-0.026895,0.745781,0.060064,-0.662932,-134.962327,80.256163,47.735325
34735,-9.589486,-0.926914,-0.781341,-0.366375,-0.248991,-0.157033,0.114324,0.008453,0.057154,-0.095893,-0.009292,-0.007815,1.000000,0.000572,0.000042,0.000286,-0.027155,0.745804,0.059466,-0.662950,-135.040491,80.275685,47.587297
34736,-9.674124,-0.867461,-0.708341,-0.445443,-0.317221,-0.089321,0.073244,0.012555,0.046102,-0.096740,-0.008694,-0.007081,1.000000,0.000366,0.000063,0.000231,-0.027300,0.745843,0.059044,-0.662938,-135.126660,80.289168,47.454976
34737,-9.829554,-0.843072,-0.732362,-0.438920,-0.356276,0.063935,0.041973,0.015864,0.040420,-0.098294,-0.008449,-0.007318,1.000000,0.000210,0.000079,0.000202,-0.027348,0.745895,0.058747,-0.662904,-135.224795,80.298844,47.328755
34738,-9.987673,-0.766141,-0.742701,-0.443888,-0.448420,0.211986,0.025661,0.013474,0.037281,-0.099876,-0.007679,-0.007421,1.000000,0.000128,0.000067,0.000186,-0.027345,0.745940,0.058515,-0.662874,-135.319899,80.308343,47.214991
34739,-10.100332,-0.677739,-0.660420,-0.534693,-0.550076,0.302831,-0.012496,0.005026,0.028128,-0.101003,-0.006792,-0.006601,1.000000,-0.000062,0.000025,0.000141,-0.027228,0.745960,0.058446,-0.662862,-135.394752,80.317421,47.144055
34740,-10.161110,-0.634465,-0.656003,-0.544575,-0.598310,0.357195,-0.056767,0.007531,0.018302,-0.101611,-0.006356,-0.006554,1.000000,-0.000284,0.000038,0.000092,-0.026979,0.745991,0.058558,-0.662827,-135.477988,80.321688,47.090194
34741,-10.216390,-0.697149,-0.679675,-0.531455,-0.540360,0.421968,-0.116273,-0.000968,0.009347,-0.102164,-0.006980,-0.006793,1.000000,-0.000581,-0.000005,0.000047,-0.026535,0.746000,0.058904,-0.662805,-135.553388,80.325643,47.079025
34742,-10.248125,-0.774770,-0.771185,-0.449128,-0.462387,0.473397,-0.184019,-0.003696,0.000808,-0.102481,-0.007755,-0.007707,1.000000,-0.000920,-0.000018,0.000004,-0.025866,0.746005,0.059504,-0.662772,-135.641209,80.327496,47.094419
34743,-10.280377,-0.818637,-0.905864,-0.322729,-0.416626,0.526518,-0.225881,-0.003378,-0.012857,-0.102804,-0.008190,-0.009051,0.999999,-0.001129,-0.000017,-0.000064,-0.025087,0.746012,0.060297,-0.662723,-135.720429,80.323545,47.143081
34744,-10.236780,-0.899567,-1.015498,-0.214825,-0.325950,0.506214,-0.237871,-0.007775,-0.017180,-0.102368,-0.008999,-0.010148,0.999999,-0.001189,-0.000039,-0.000086,-0.024275,0.746003,0.061142,-0.662685,-135.786275,80.319910,47.212031
34745,-10.244293,-0.971196,-1.004877,-0.231930,-0.256528,0.520703,-0.250411,-0.003870,-0.027793,-0.102444,-0.009710,-0.010039,0.999999,-0.001252,-0.000019,-0.000139,-0.023453,0.746005,0.062071,-0.662626,-135.842439,80.310216,47.298342
34746,-10.174401,-1.064118,-1.068685,-0.167865,-0.153402,0.470365,-0.236303,-0.010998,-0.028036,-0.101745,-0.010640,-0.010680,0.999999,-0.001182,-0.000055,-0.000140,-0.022683,0.745980,0.062952,-0.662598,-135.873786,80.303610,47.401357
34747,-10.070717,-1.097070,-1.097643,-0.130347,-0.107536,0.375500,-0.192412,-0.011645,-0.032693,-0.100708,-0.010965,-0.010972,1.000000,-0.000962,-0.000058,-0.000163,-0.022091,0.745946,0.063708,-0.662584,-135.866870,80.295172,47.517953
34748,-9.949043,-1.039554,-1.164284,-0.046661,-0.147866,0.256853,-0.153808,-0.018611,-0.039442,-0.099491,-0.010385,-0.011644,1.000000,-0.000769,-0.000093,-0.000197,-0.021663,0.745881,0.064359,-0.662608,-135.805959,80.287143,47.666606
34749,-9.906698,-0.999164,-1.228012,0.024825,-0.182211,0.218025,-0.133073,-0.019146,-0.050566,-0.099068,-0.009975,-0.012283,1.000000,-0.000665,-0.000096,-0.000253,-0.021350,0.745809,0.064986,-0.662638,-135.705030,80.274600,47.844096
34750,-9.836008,-0.989069,-1.302238,0.108064,-0.183121,0.156060,-0.124957,-0.017246,-0.055581,-0.098362,-0.009871,-0.013025,1.000000,-0.000625,-0.000086,-0.000278,-0.021084,0.745740,0.065601,-0.662664,-135.592766,80.259469,48.028089
