// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
45574,-9.030645,3.551669,-0.722237,-0.030226,-0.036901,-0.082001,0.002054,0.001691,-0.010090,-0.090305,0.035521,-0.007221,1.000000,0.000010,0.000008,-0.000050,-0.137452,-0.723718,0.122215,0.665134,102.085332,68.301305,-76.657585
45575,-9.017707,3.570416,-0.716761,-0.034126,-0.059188,-0.087669,0.002054,0.001692,-0.010090,-0.090175,0.035709,-0.007166,1.000000,0.000010,0.000008,-0.000050,-0.137450,-0.723705,0.122220,0.665147,102.079894,68.301508,-76.663495
45576,-9.027985,3.554525,-0.746403,-0.005181,-0.039371,-0.081567,-0.002191,0.002840,-0.008792,-0.090278,0.035549,-0.007463,1.000000,-0.000011,0.000014,-0.000044,-0.137476,-0.723691,0.122215,0.665158,102.072532,68.300305,-76.668365
45577,-9.031576,3.549132,-0.723072,-0.028614,-0.033675,-0.081984,0.005245,0.004987,-0.007771,-0.090315,0.035495,-0.007228,1.000000,0.000026,0.000025,-0.000039,-0.137473,-0.723690,0.122236,0.665156,102.072865,68.298813,-76.670033
45578,-9.045116,3.528644,-0.729489,-0.023641,-0.009230,-0.076314,0.010833,0.004541,-0.008867,-0.090450,0.035291,-0.007291,1.000000,0.000054,0.000023,-0.000044,-0.137450,-0.723691,0.122274,0.665152,102.075634,68.297584,-76.672251
45579,-9.052328,3.561134,-0.724801,-0.029023,-0.037000,-0.058229,0.012176,0.005242,-0.008664,-0.090522,0.035616,-0.007243,1.000000,0.000061,0.000026,-0.000043,-0.137419,-0.723696,0.122314,0.665146,102.080565,68.296562,-76.673244
45580,-9.042622,3.575393,-0.696263,-0.056907,-0.054540,-0.064302,0.012057,0.005077,-0.006949,-0.090425,0.035757,-0.006958,1.000000,0.000060,0.000025,-0.000035,-0.137399,-0.723700,0.122363,0.665137,102.084640,68.294037,-76.674772
45581,-9.039523,3.579294,-0.720733,-0.032414,-0.058150,-0.063875,0.010091,0.002317,-0.007349,-0.090394,0.035797,-0.007204,1.000000,0.000050,0.000012,-0.000037,-0.137378,-0.723693,0.122404,0.665141,102.083864,68.292629,-76.680622
45582,-9.022927,3.560161,-0.697236,-0.054327,-0.046891,-0.088031,0.006181,0.000378,-0.009674,-0.090228,0.035606,-0.006971,1.000000,0.000031,0.000002,-0.000048,-0.137368,-0.723677,0.122426,0.665157,102.077856,68.292306,-76.689338
45583,-8.990136,3.607703,-0.733588,-0.014740,-0.101825,-0.098490,0.002292,0.002019,-0.013525,-0.089899,0.036083,-0.007335,1.000000,0.000011,0.000010,-0.000068,-0.137354,-0.723667,0.122418,0.665172,102.074052,68.294393,-76.693638
45584,-8.996842,3.553639,-0.744955,-0.003817,-0.048603,-0.110930,-0.007661,0.003447,-0.009416,-0.089967,0.035540,-0.007449,1.000000,-0.000038,0.000017,-0.000047,-0.137394,-0.723651,0.122393,0.665186,102.064363,68.293814,-76.697965
45585,-9.017358,3.566533,-0.745316,-0.004763,-0.053030,-0.087176,-0.007759,0.006864,-0.009226,-0.090172,0.035669,-0.007451,1.000000,-0.000039,0.000034,-0.000046,-0.137434,-0.723648,0.122364,0.665186,102.060324,68.292912,-76.696319
45586,-9.017662,3.565686,-0.745689,-0.004230,-0.051890,-0.087170,-0.001450,0.005062,-0.010315,-0.090175,0.035661,-0.007455,1.000000,-0.000007,0.000025,-0.000052,-0.137453,-0.723644,0.122355,0.665188,102.057284,68.292270,-76.697053
45587,-9.024675,3.555442,-0.698696,-0.051626,-0.041539,-0.087992,0.004138,0.004617,-0.011410,-0.090245,0.035560,-0.006984,1.000000,0.000021,0.000023,-0.000057,-0.137442,-0.723643,0.122360,0.665191,102.057557,68.292860,-76.698103
