// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
19371,-3.143798,2.595970,8.954905,0.335504,0.284159,0.016836,0.104875,-0.100690,-0.110237,-0.031469,0.025930,0.089547,1.000000,0.000524,-0.000503,-0.000551,-0.938732,-0.076929,-0.213496,-0.259392,15.880565,21.156785,33.877464
19372,-3.037768,2.676642,8.936749,0.371138,0.401018,-0.016802,0.103932,-0.069197,-0.092753,-0.030396,0.026734,0.089371,1.000000,0.000520,-0.000346,-0.000464,-0.938882,-0.077381,-0.213306,-0.258870,15.912734,21.129407,33.815751
19373,-3.116951,2.744721,8.864060,0.248023,0.413434,-0.035777,0.106235,-0.033047,-0.066086,-0.031175,0.027410,0.088650,1.000000,0.000531,-0.000165,-0.000330,-0.938955,-0.077831,-0.213286,-0.258485,15.955151,21.118373,33.776261
19374,-3.304430,2.819063,8.782973,0.036653,0.376170,-0.021664,0.101598,-0.004495,-0.040726,-0.033041,0.028153,0.087843,1.000000,0.000508,-0.000022,-0.000204,-0.938969,-0.078245,-0.213377,-0.258235,16.001051,21.118430,33.756185
19375,-3.470616,2.829293,8.729540,-0.115746,0.295110,-0.006849,0.084832,0.012770,-0.017269,-0.034698,0.028259,0.087310,1.000000,0.000424,0.000064,-0.000086,-0.938938,-0.078588,-0.213525,-0.258120,16.044384,21.124964,33.753265
19376,-3.437147,2.868826,8.731792,-0.102241,0.341824,-0.006514,0.063961,0.019158,-0.007449,-0.034362,0.028662,0.087330,1.000000,0.000320,0.000096,-0.000037,-0.938898,-0.078830,-0.213665,-0.258076,16.077315,21.132776,33.756871
19377,-3.365536,2.827066,8.754710,-0.013024,0.339775,-0.022465,0.043939,0.043981,0.004058,-0.033637,0.028251,0.087561,1.000000,0.000220,0.000220,0.000020,-0.938823,-0.078963,-0.213898,-0.258116,16.103677,21.153109,33.771860
19378,-3.304104,2.925124,8.848674,0.037248,0.451150,0.064942,0.026744,0.061843,0.014243,-0.033016,0.029237,0.088501,1.000000,0.000134,0.000309,0.000071,-0.938724,-0.079000,-0.214182,-0.258231,16.122611,21.180947,33.795578
19379,-3.325187,2.870298,8.856235,0.055148,0.394333,0.065057,-0.000011,0.091343,0.040042,-0.033217,0.028696,0.088578,1.000000,-0.000000,0.000457,0.000200,-0.938568,-0.078904,-0.214567,-0.258506,16.134421,21.221612,33.839917
19380,-3.430188,2.896148,8.901644,-0.010898,0.362704,0.150317,-0.006903,0.104781,0.060946,-0.034264,0.028954,0.089033,1.000000,-0.000035,0.000524,0.000305,-0.938375,-0.078778,-0.214989,-0.258892,16.146838,21.265594,33.898597
19381,-3.574104,2.789133,8.911567,-0.062402,0.199273,0.183607,-0.027311,0.110203,0.077206,-0.035703,0.027890,0.089132,1.000000,-0.000137,0.000551,0.000386,-0.938161,-0.078569,-0.215413,-0.259379,16.152224,21.310700,33.968155
19382,-3.690588,2.696284,8.870397,-0.122586,0.064416,0.165045,-0.035548,0.101937,0.085794,-0.036872,0.026963,0.088718,1.000000,-0.000178,0.000510,0.000429,-0.937950,-0.078339,-0.215775,-0.259911,16.153546,21.349132,34.041087
19383,-3.797799,2.515820,8.878427,-0.114685,-0.142577,0.164568,-0.035549,0.085470,0.084439,-0.037951,0.025158,0.088796,1.000000,-0.000178,0.000427,0.000422,-0.937756,-0.078132,-0.216069,-0.260430,16.154327,21.379469,34.110725
19384,-3.840132,2.416268,8.851037,-0.110686,-0.245952,0.129802,-0.035233,0.063688,0.067086,-0.038381,0.024165,0.088518,1.000000,-0.000176,0.000318,0.000335,-0.937609,-0.077933,-0.216260,-0.260859,16.149503,21.399866,34.166089
19385,-3.791585,2.326466,8.839991,-0.035215,-0.294509,0.079028,-0.029464,0.040831,0.049492,-0.037904,0.023268,0.088404,1.000000,-0.000147,0.000204,0.000247,-0.937506,-0.077775,-0.216365,-0.261191,16.143495,21.411212,34.207444
19386,-3.746530,2.316548,8.803745,-0.011554,-0.276063,0.027661,-0.025565,0.026347,0.018413,-0.037456,0.023173,0.088039,1.000000,-0.000128,0.000132,0.000092,-0.937459,-0.077617,-0.216413,-0.261366,16.131370,21.418867,34.227643
19387,-3.744814,2.307748,8.826493,0.004036,-0.281185,0.045163,-0.014674,0.015366,-0.007082,-0.037441,0.023085,0.088266,1.000000,-0.000073,0.000077,-0.000035,-0.937451,-0.077500,-0.216441,-0.261406,16.120040,21.425214,34.231196
19388,-3.629625,2.384410,8.911262,0.094907,-0.156462,0.098755,-0.005510,0.000615,-0.024893,-0.036293,0.023851,0.089112,1.000000,-0.000028,0.000003,-0.000124,-0.937480,-0.077423,-0.216411,-0.261347,16.108413,21.425636,34.221383
19389,-3.470127,2.565376,8.945177,0.149085,0.081956,0.117579,-0.010513,-0.003863,-0.039025,-0.034698,0.025665,0.089450,1.000000,-0.000053,-0.000019,-0.000195,-0.937533,-0.077316,-0.216366,-0.261226,16.091368,21.426474,34.202761
19390,-3.260515,2.623616,8.959124,0.288832,0.243569,0.068480,-0.018690,0.008190,-0.031740,-0.032597,0.026250,0.089590,1.000000,-0.000093,0.000041,-0.000159,-0.937569,-0.077159,-0.216357,-0.261152,16.071172,21.432141,34.190185
19391,-3.266360,2.628960,8.935739,0.271904,0.248709,0.050992,-0.006503,0.031982,-0.015837,-0.032647,0.026295,0.089362,1.000000,-0.000033,0.000160,-0.000079,-0.937551,-0.077050,-0.216477,-0.261149,16.063664,21.449028,34.191383
19392,-3.240549,2.921548,8.918885,0.153059,0.514353,0.101702,0.000860,0.047101,0.000208,-0.032385,0.029215,0.089197,1.000000,0.000004,0.000236,0.000001,-0.937496,-0.076969,-0.216663,-0.261218,16.064019,21.470993,34.204332
19393,-3.124588,3.076076,8.923342,0.176532,0.711224,0.102670,-0.057642,0.076126,0.012720,-0.031214,0.030784,0.089236,1.000000,-0.000288,0.000381,0.000064,-0.937412,-0.076593,-0.216912,-0.261421,16.036154,21.507664,34.229939
19394,-3.150745,2.914957,8.902078,0.223221,0.569408,0.051242,-0.082393,0.108817,0.043931,-0.031465,0.029179,0.089026,1.000000,-0.000412,0.000544,0.000220,-0.937264,-0.076089,-0.217261,-0.261810,16.002255,21.556639,34.279270
19395,-3.139838,2.991761,8.923979,0.210363,0.649469,0.085825,-0.091120,0.135057,0.082151,-0.031350,0.029945,0.089247,1.000000,-0.000456,0.000675,0.000411,-0.937038,-0.075554,-0.217716,-0.262397,15.974049,21.614836,34.355980
19396,-3.274892,2.943458,8.900354,0.123931,0.547868,0.101426,-0.099263,0.168138,0.129927,-0.032693,0.029458,0.089016,0.999999,-0.000496,0.000841,0.000650,-0.936717,-0.074988,-0.218288,-0.263229,15.953162,21.682903,34.466337
19397,-3.502579,2.905297,8.969681,0.004937,0.404259,0.237215,-0.135816,0.188833,0.182234,-0.034968,0.029082,0.089710,0.999999,-0.000679,0.000944,0.000911,-0.936314,-0.074282,-0.218897,-0.264352,15.924853,21.755042,34.611524
19398,-3.729939,2.602154,8.901851,-0.052682,0.039042,0.183426,-0.153970,0.188588,0.225500,-0.037245,0.026048,0.089034,0.999999,-0.000770,0.000943,0.001127,-0.935861,-0.073537,-0.219456,-0.265698,15.895285,21.819419,34.782107
19399,-3.843548,2.490974,8.904511,-0.079958,-0.106155,0.199828,-0.152097,0.179782,0.250364,-0.038387,0.024929,0.089061,0.999999,-0.000760,0.000899,0.001252,-0.935379,-0.072842,-0.219975,-0.267154,15.872455,21.876016,34.966270
19400,-3.777611,2.545526,8.936888,-0.036039,-0.017899,0.218085,-0.150977,0.147803,0.254279,-0.037742,0.025475,0.089378,0.999999,-0.000755,0.000739,0.001271,-0.934926,-0.072196,-0.220335,-0.268615,15.848734,21.913571,35.147134
19401,-3.659019,2.592115,9.092338,0.103405,0.091602,0.324324,-0.204965,0.136558,0.233668,-0.036558,0.025972,0.090922,0.999999,-0.001025,0.000683,0.001168,-0.934527,-0.071292,-0.220585,-0.270033,15.789453,21.949141,35.314138
19402,-3.528944,2.557990,9.198425,0.262545,0.144530,0.361690,-0.243801,0.108393,0.211534,-0.035267,0.025655,0.091972,0.999999,-0.001219,0.000542,0.001058,-0.934203,-0.070219,-0.220651,-0.271381,15.700767,21.971952,35.462978
19403,-3.272961,2.716733,9.460006,0.490801,0.430602,0.539042,-0.286715,0.102914,0.193514,-0.032707,0.027271,0.094578,0.999998,-0.001434,0.000515,0.000968,-0.933919,-0.068934,-0.220646,-0.272688,15.583725,21.995641,35.600427
19404,-3.200519,2.607531,9.659903,0.676567,0.398168,0.662996,-0.333021,0.097430,0.195391,-0.031984,0.026205,0.096571,0.999998,-0.001665,0.000487,0.000977,-0.933653,-0.067440,-0.220542,-0.274053,15.439730,22.015368,35.737778
19405,-3.213526,2.551909,9.864731,0.771967,0.367481,0.837236,-0.343474,0.081190,0.215301,-0.032123,0.025654,0.098616,0.999998,-0.001717,0.000406,0.001077,-0.933375,-0.065943,-0.220350,-0.275515,15.293749,22.024359,35.884563
19406,-3.239814,2.583594,10.077313,0.814745,0.403517,1.045345,-0.367809,0.049376,0.235437,-0.032404,0.025983,0.100733,0.999998,-0.001839,0.000247,0.001177,-0.933110,-0.064398,-0.219957,-0.277087,15.135822,22.012034,36.037878
19407,-3.309283,2.424774,10.206556,0.875697,0.256300,1.149614,-0.389907,-0.000860,0.251933,-0.033124,0.024405,0.102018,0.999997,-0.001950,-0.000004,0.001260,-0.932878,-0.062837,-0.219304,-0.278742,14.966392,21.970926,36.193272
19408,-2.975912,2.730908,10.401623,1.031428,0.717995,1.274611,-0.403137,-0.065118,0.255629,-0.029828,0.027481,0.103951,0.999997,-0.002016,-0.000326,0.001278,-0.932712,-0.061307,-0.218318,-0.280407,14.785679,21.892937,36.340433
19409,-2.483420,3.098377,10.687624,1.302532,1.323030,1.436551,-0.508417,-0.115891,0.252564,-0.024935,0.031224,0.106783,0.999996,-0.002542,-0.000579,0.001263,-0.932628,-0.059354,-0.216958,-0.282154,14.541472,21.788952,36.478361
19410,-2.345063,2.819350,11.108709,1.676673,1.206618,1.701822,-0.633771,-0.120988,0.282894,-0.023558,0.028512,0.110983,0.999994,-0.003169,-0.000605,0.001414,-0.932537,-0.056857,-0.215374,-0.284176,14.231209,21.677003,36.633730
19411,-2.420645,2.277387,11.250446,1.898845,0.755785,1.738995,-0.611244,-0.133893,0.316226,-0.024318,0.023079,0.112418,0.999994,-0.003056,-0.000669,0.001581,-0.932392,-0.054518,-0.213762,-0.286320,13.940940,21.555432,36.807917
19412,-2.753347,2.055163,11.484881,1.809584,0.422939,2.030172,-0.529972,-0.182510,0.357927,-0.027675,0.020806,0.114769,0.999994,-0.002650,-0.000913,0.001790,-0.932209,-0.052671,-0.212010,-0.288556,13.702888,21.400094,36.999937
19413,-2.933810,1.723887,11.521420,1.807819,0.065858,2.063734,-0.405569,-0.264585,0.374849,-0.029523,0.017417,0.115140,0.999995,-0.002028,-0.001323,0.001874,-0.932042,-0.051540,-0.210064,-0.290713,13.535667,21.199161,37.190917
19414,-2.750734,1.881336,11.510465,1.805068,0.296308,2.030051,-0.230111,-0.353122,0.355921,-0.027744,0.018897,0.115034,0.999996,-0.001151,-0.001766,0.001780,-0.931946,-0.051335,-0.207946,-0.292574,13.458918,20.949811,37.357616
19415,-2.718470,2.347096,11.531960,1.540482,0.681844,2.147528,-0.193137,-0.423292,0.305880,-0.027465,0.023540,0.115239,0.999996,-0.000966,-0.002116,0.001529,-0.931976,-0.051352,-0.205584,-0.294141,13.389293,20.670212,37.484996
19416,-3.014991,2.264668,11.517056,1.296747,0.423069,2.228929,-0.208225,-0.497177,0.251043,-0.030465,0.022728,0.115071,0.999996,-0.001041,-0.002486,0.001255,-0.932162,-0.051351,-0.202847,-0.295448,13.294474,20.354598,37.568974
19417,-3.312343,2.115025,11.349218,1.018513,0.099805,2.154011,-0.183287,-0.598637,0.201983,-0.033484,0.021220,0.113373,0.999995,-0.000916,-0.002993,0.001010,-0.932504,-0.051566,-0.199705,-0.296471,13.199554,19.991218,37.610489
19418,-3.607572,2.028424,11.132873,0.681486,-0.180140,2.043637,-0.146664,-0.714603,0.156032,-0.036489,0.020337,0.111184,0.999993,-0.000733,-0.003573,0.000780,-0.933013,-0.052077,-0.196064,-0.297211,13.109890,19.566794,37.608670
19419,-3.752541,1.951612,10.825492,0.408918,-0.376150,1.796452,-0.104304,-0.838373,0.117737,-0.037990,0.019550,0.108086,0.999991,-0.000522,-0.004192,0.000589,-0.933669,-0.052930,-0.191938,-0.297692,13.032582,19.080652,37.568400
19420,-3.774294,2.022935,10.457723,0.120695,-0.388548,1.480454,-0.056632,-0.951101,0.076143,-0.038247,0.020244,0.104390,0.999989,-0.000283,-0.004755,0.000381,-0.934468,-0.054133,-0.187341,-0.297898,12.969263,18.534476,37.488459
19421,-3.646720,2.145435,10.116533,-0.074612,-0.275655,1.149204,-0.052674,-1.041693,0.034031,-0.036997,0.021475,0.100968,0.999986,-0.000263,-0.005208,0.000170,-0.935385,-0.055449,-0.182355,-0.297871,12.898726,17.945440,37.373004
19422,-3.503966,2.167398,9.787052,-0.201621,-0.234623,0.801688,-0.063705,-1.106817,-0.012635,-0.035579,0.021707,0.097668,0.999985,-0.000319,-0.005534,-0.000063,-0.936411,-0.056765,-0.177034,-0.297610,12.811406,17.323464,37.222206
19423,-3.337268,2.236025,9.418041,-0.346365,-0.136642,0.419467,-0.064705,-1.120430,-0.086232,-0.033890,0.022405,0.093984,0.999984,-0.000324,-0.005602,-0.000431,-0.937525,-0.058030,-0.171685,-0.296991,12.713484,16.705325,37.028677
19424,-3.200875,2.323104,9.035675,-0.524540,-0.028770,0.036624,-0.169576,-1.109340,-0.208448,-0.032485,0.023341,0.090158,0.999984,-0.000848,-0.005547,-0.001042,-0.938815,-0.058680,-0.166241,-0.295883,12.537307,16.105965,36.767038
19425,-2.972929,1.909721,8.724416,-0.335112,-0.260988,-0.409523,-0.287062,-1.075400,-0.332846,-0.030166,0.019272,0.087055,0.999983,-0.001435,-0.005377,-0.001664,-0.940260,-0.058624,-0.160835,-0.294289,12.279702,15.542255,36.440991
19426,-2.894749,1.350322,8.434009,-0.170110,-0.690289,-0.822177,-0.258004,-1.033624,-0.401363,-0.029355,0.013671,0.084172,0.999984,-0.001290,-0.005168,-0.002007,-0.941736,-0.058584,-0.155662,-0.292352,12.032595,15.006634,36.083393
19427,-2.938835,1.344391,8.259483,-0.344710,-0.738222,-0.980992,-0.105084,-0.965257,-0.416431,-0.029758,0.013549,0.082445,0.999986,-0.000525,-0.004826,-0.002082,-0.943105,-0.059153,-0.151055,-0.290236,11.877800,14.512118,35.728689
19428,-2.969894,2.007352,8.110044,-0.841446,-0.231145,-0.988819,0.004534,-0.910792,-0.398255,-0.030028,0.020131,0.080965,0.999988,0.000023,-0.004554,-0.001991,-0.944351,-0.060170,-0.146835,-0.288132,11.792379,14.043208,35.392533
19429,-2.894992,2.675218,8.064499,-1.211860,0.339193,-0.925061,-0.006562,-0.845840,-0.346687,-0.029244,0.026805,0.080521,0.999990,-0.000033,-0.004229,-0.001733,-0.945455,-0.061079,-0.142906,-0.286292,11.713479,13.606332,35.095741
19430,-3.019301,2.809370,8.009696,-1.458271,0.362304,-0.929792,-0.085964,-0.776675,-0.266489,-0.030466,0.028169,0.079967,0.999991,-0.000430,-0.003883,-0.001332,-0.946403,-0.061568,-0.139145,-0.284904,11.603287,13.196570,34.854359
19431,-3.025145,2.757058,7.955197,-1.511835,0.302361,-1.000160,-0.160272,-0.722463,-0.172800,-0.030515,0.027661,0.079420,0.999993,-0.000801,-0.003612,-0.000864,-0.947185,-0.061695,-0.135522,-0.284022,11.466879,12.807941,34.674981
