// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
16256,-7.646878,6.090382,1.101171,0.059323,-0.116490,0.024130,-0.020144,0.017272,-0.055598,-0.076451,0.060926,0.011012,1.000000,-0.000101,0.000086,-0.000278,-0.719734,-0.531195,-0.410412,0.177135,80.936026,51.165612,16.780390
16257,-7.674897,6.088399,1.077714,0.035742,-0.097600,0.042429,-0.050742,0.015581,-0.060558,-0.076730,0.060910,0.010768,1.000000,-0.000254,0.000078,-0.000303,-0.719806,-0.530915,-0.410624,0.177187,80.907463,51.194967,16.781348
16258,-7.672916,6.052785,1.094849,0.023091,-0.121588,0.020584,-0.052884,0.014834,-0.058505,-0.076711,0.060553,0.010938,1.000000,-0.000264,0.000074,-0.000293,-0.719890,-0.530629,-0.410830,0.177231,80.876643,51.223271,16.781351
16259,-7.653332,6.060811,1.075201,0.036267,-0.092589,0.008365,-0.047899,0.009820,-0.061518,-0.076514,0.060634,0.010741,1.000000,-0.000239,0.000049,-0.000308,-0.719965,-0.530352,-0.411021,0.177308,80.845503,51.252645,16.776915
16260,-7.657060,6.055790,1.076939,0.035120,-0.092446,0.008371,-0.033554,0.009245,-0.058188,-0.076552,0.060582,0.010763,1.000000,-0.000168,0.000046,-0.000291,-0.720009,-0.530130,-0.411188,0.177406,80.821816,51.280255,16.771873
16261,-7.583619,6.044472,1.074071,0.073575,-0.077478,-0.056196,-0.022186,0.005386,-0.049937,-0.075821,0.060465,0.010736,1.000000,-0.000111,0.000027,-0.000250,-0.720036,-0.529966,-0.411310,0.177506,80.803564,51.302670,16.765076
16262,-7.658455,6.033094,1.047905,0.013231,-0.068604,-0.007415,-0.009263,-0.002168,-0.045604,-0.076571,0.060349,0.010475,1.000000,-0.000046,-0.000011,-0.000228,-0.720050,-0.529848,-0.411381,0.177638,80.787131,51.322130,16.751503
16263,-7.648433,6.087926,1.042292,0.057502,-0.039114,0.018025,0.010897,-0.005484,-0.041586,-0.076472,0.060895,0.010424,1.000000,0.000054,-0.000027,-0.000208,-0.720019,-0.529810,-0.411412,0.177805,80.781088,51.338823,16.736070
16264,-7.612960,6.124197,1.106944,0.132315,-0.076145,0.019147,0.011850,-0.014002,-0.040828,-0.076118,0.061257,0.011068,1.000000,0.000059,-0.000070,-0.000204,-0.720006,-0.529767,-0.411409,0.177995,80.768911,51.354498,16.712452
16265,-7.616667,6.145562,1.037586,0.119016,-0.004432,0.028246,0.017283,-0.004098,-0.034690,-0.076156,0.061468,0.010380,1.000000,0.000086,-0.000020,-0.000173,-0.719961,-0.529767,-0.411421,0.178146,80.768283,51.367416,16.699273
16266,-7.669766,6.258362,1.052367,0.173103,0.015777,0.140687,0.017990,-0.010767,-0.029212,-0.076689,0.062594,0.010525,1.000000,0.000090,-0.000054,-0.000146,-0.719935,-0.529773,-0.411393,0.178299,80.763255,51.376807,16.680251
16267,-7.665526,6.225788,1.067921,0.160453,-0.008295,0.118847,-0.011205,-0.006032,-0.026453,-0.076647,0.062269,0.010673,1.000000,-0.000056,-0.000030,-0.000132,-0.719976,-0.529687,-0.411402,0.178367,80.745872,51.384887,16.666522
16268,-7.651754,6.172537,0.999471,0.104607,0.038881,0.068408,-0.019997,-0.006687,-0.020031,-0.076512,0.061734,0.009986,1.000000,-0.000100,-0.000033,-0.000100,-0.720051,-0.529578,-0.411398,0.178397,80.722986,51.389433,16.652592
16269,-7.658221,6.193275,1.009758,0.118979,0.039187,0.087258,-0.036252,-0.009240,-0.017300,-0.076577,0.061941,0.010083,1.000000,-0.000181,-0.000046,-0.000086,-0.720174,-0.529417,-0.411393,0.178389,80.690029,51.392033,16.637300
16270,-7.677991,6.172003,0.980897,0.079848,0.057921,0.086686,-0.051683,-0.009471,-0.013064,-0.076776,0.061728,0.009789,1.000000,-0.000258,-0.000047,-0.000065,-0.720344,-0.529206,-0.411389,0.178336,80.647846,51.392357,16.621857
16271,-7.620195,6.136295,0.971357,0.084449,0.067581,0.018555,-0.058233,-0.000681,-0.008315,-0.076199,0.061369,0.009695,1.000000,-0.000291,-0.000003,-0.000042,-0.720515,-0.528992,-0.411411,0.178228,80.609400,51.390664,16.615657
