// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
13998,-4.922293,0.123902,9.513686,-1.626156,-1.809089,0.619679,-0.296745,-0.819083,-2.936343,-0.049585,0.002106,0.094932,0.999883,-0.001484,-0.004095,-0.014681,0.946009,0.159841,0.174039,-0.221875,14.224950,23.591625,-23.413625
13999,-4.056516,3.159772,8.666808,0.357508,0.922230,0.215956,0.110335,-0.872029,-2.845665,-0.040488,0.032126,0.086509,0.999889,0.000552,-0.004360,-0.014228,0.943436,0.156873,0.172034,-0.236061,13.544134,23.494953,-25.266399
14000,-2.705860,6.347192,7.844236,2.938213,3.437549,-0.395159,0.073038,-0.780197,-2.292839,-0.026635,0.063750,0.078361,0.999927,0.000365,-0.003901,-0.011464,0.941291,0.154274,0.170051,-0.247496,12.983769,23.359487,-26.767911
14001,-1.774453,7.301506,7.225282,4.130790,4.098001,-1.163549,-0.329666,-0.478223,-1.470093,-0.017379,0.073263,0.072090,0.999969,-0.001648,-0.002391,-0.007350,0.940121,0.150847,0.169324,-0.254453,12.412656,23.274546,-27.723674
14002,-2.209320,5.689379,6.970092,2.923256,3.082017,-1.579363,-0.549427,-0.120425,-0.703319,-0.021934,0.057162,0.069531,0.999990,-0.002747,-0.000602,-0.003517,0.939750,0.147481,0.169981,-0.257343,11.919294,23.290043,-28.164130
14003,-3.718520,3.309714,8.105393,0.750530,1.406963,-0.435277,-0.588542,0.092111,-0.292725,-0.037099,0.033390,0.080973,0.999994,-0.002943,0.000461,-0.001464,0.939742,0.144556,0.171374,-0.258107,11.513808,23.373061,-28.326654
14004,-4.474009,0.869879,8.668654,-0.987795,-0.435288,-0.078543,-0.490770,0.060754,-0.228873,-0.044704,0.008963,0.086678,0.999996,-0.002454,0.000304,-0.001144,0.939763,0.142102,0.172451,-0.258676,11.177683,23.430968,-28.454825
14005,-4.559415,0.243344,9.071190,-1.268390,-1.026166,0.210889,-0.140491,-0.030172,-0.303185,-0.045604,0.002566,0.090703,0.999999,-0.000702,-0.000151,-0.001516,0.939514,0.141113,0.172695,-0.259958,11.019802,23.444773,-28.639556
14006,-4.214089,1.165798,9.582543,-0.360776,-0.575360,0.698332,-0.032246,-0.157527,-0.349765,-0.042196,0.011747,0.095790,0.999998,-0.000161,-0.000788,-0.001749,0.939233,0.140424,0.172238,-0.261643,10.906213,23.392384,-28.868279
14007,-3.923394,1.512297,9.819037,0.118499,-0.472138,0.857667,-0.157773,-0.237349,-0.405952,-0.039320,0.015280,0.098132,0.999997,-0.000789,-0.001187,-0.002030,0.939032,0.138993,0.171603,-0.263537,10.704154,23.299758,-29.140188
