// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
63248,-3.819831,3.439973,8.459429,0.039076,-0.160388,0.084747,-0.053713,-0.000377,-0.012489,-0.038196,0.034425,0.084585,1.000000,-0.000269,-0.000002,-0.000062,0.317711,0.249593,-0.095614,-0.909737,21.206298,23.164483,-137.103763
63249,-3.819710,3.360790,8.483036,-0.011152,-0.102392,0.078540,-0.053681,0.001590,-0.017679,-0.038193,0.033634,0.084822,1.000000,-0.000268,0.000008,-0.000088,0.317761,0.249491,-0.095334,-0.909777,21.170106,23.164656,-137.107332
63250,-3.910157,3.351462,8.501638,0.039212,-0.042368,0.126937,-0.058691,0.003568,-0.013734,-0.039098,0.033542,0.085007,1.000000,-0.000293,0.000018,-0.000069,0.317838,0.249386,-0.095044,-0.909809,21.133328,23.164301,-137.107902
63251,-3.848866,3.306992,8.506321,-0.023915,-0.050549,0.092076,-0.064445,0.005757,-0.007976,-0.038485,0.033099,0.085054,1.000000,-0.000322,0.000029,-0.000040,0.317947,0.249281,-0.094721,-0.909833,21.093555,23.164695,-137.104895
63252,-3.910683,3.263981,8.492590,0.006078,0.017111,0.090381,-0.061647,0.005406,-0.009094,-0.039103,0.032668,0.084917,1.000000,-0.000308,0.000027,-0.000045,0.318049,0.249177,-0.094421,-0.909857,21.056300,23.164369,-137.102358
63253,-3.838973,3.269464,8.528842,-0.054002,-0.035837,0.095090,-0.054768,0.004757,-0.008781,-0.038386,0.032720,0.085280,1.000000,-0.000274,0.000024,-0.000044,0.318142,0.249083,-0.094142,-0.909879,21.021799,23.164397,-137.100044
63254,-3.873332,3.272454,8.529562,-0.026267,-0.020061,0.110215,-0.042316,0.003392,-0.010664,-0.038730,0.032745,0.085289,1.000000,-0.000212,0.000017,-0.000053,0.318212,0.249002,-0.093930,-0.909899,20.995068,23.163324,-137.098871
63255,-3.873529,3.266911,8.496243,-0.009116,-0.018797,0.079868,-0.034161,0.001813,-0.005223,-0.038734,0.032685,0.084957,1.000000,-0.000171,0.000009,-0.000026,0.318295,0.248926,-0.093754,-0.909909,20.972931,23.161048,-137.095144
63256,-3.907981,3.273208,8.531008,0.002183,-0.003948,0.125335,-0.031906,0.002177,-0.013259,-0.039077,0.032748,0.085305,1.000000,-0.000160,0.000011,-0.000066,0.318339,0.248857,-0.093589,-0.909930,20.951451,23.159861,-137.095753
63257,-3.891540,3.265745,8.514923,-0.002412,-0.010766,0.102602,-0.020954,0.001225,-0.011501,-0.038913,0.032669,0.085146,1.000000,-0.000105,0.000006,-0.000058,0.318376,0.248802,-0.093466,-0.909944,20.935392,23.158560,-137.095808
