// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B472EC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
14147,-9.179968,3.063099,-0.418624,-0.024764,-0.000007,-0.126149,0.007581,-0.006976,-0.019651,-0.091797,0.030640,-0.004188,1.000000,0.000038,-0.000035,-0.000098,-0.125804,-0.716103,0.100203,0.679212,98.219649,71.362635,-79.678068
14148,-9.188141,3.068710,-0.337792,-0.104605,-0.007127,-0.120318,0.004068,-0.008796,-0.016186,-0.091879,0.030695,-0.003381,1.000000,0.000020,-0.000044,-0.000081,-0.125764,-0.716060,0.100196,0.679266,98.198580,71.367660,-79.701826
14149,-9.193294,3.082071,-0.383411,-0.057723,-0.016570,-0.109120,-0.006067,-0.005782,-0.013551,-0.091931,0.030827,-0.003838,1.000000,-0.000030,-0.000029,-0.000068,-0.125776,-0.716018,0.100163,0.679313,98.175879,71.370475,-79.720893
14150,-9.246081,3.036303,-0.443117,-0.001192,0.045549,-0.070849,-0.015924,-0.000055,-0.017097,-0.092458,0.030371,-0.004434,1.000000,-0.000080,-0.000000,-0.000085,-0.125833,-0.715995,0.100054,0.679343,98.157826,71.375421,-79.725296
14151,-9.265460,2.997859,-0.478266,0.032727,0.089037,-0.063039,-0.013355,0.000635,-0.018153,-0.092652,0.029987,-0.004784,1.000000,-0.000067,0.000003,-0.000091,-0.125859,-0.715973,0.099976,0.679373,98.142845,71.380321,-79.731809
14152,-9.314005,3.018213,-0.492003,0.045044,0.085006,-0.009978,-0.009773,0.002569,-0.014882,-0.093138,0.030189,-0.004920,1.000000,-0.000049,0.000013,-0.000074,-0.125886,-0.715958,0.099915,0.679392,98.132301,71.383591,-79.735071
14153,-9.329167,3.045913,-0.480935,0.034760,0.062302,0.012645,0.000623,-0.004956,-0.021047,-0.093288,0.030469,-0.004812,1.000000,0.000003,-0.000025,-0.000105,-0.125849,-0.715927,0.099878,0.679437,98.116599,71.390585,-79.750795
14154,-9.296375,3.051522,-0.455682,0.012692,0.044513,-0.017797,0.006082,-0.007984,-0.019947,-0.092961,0.030525,-0.004560,1.000000,0.000030,-0.000040,-0.000100,-0.125784,-0.715889,0.099871,0.679491,98.098887,71.397582,-79.773275
14155,-9.263537,3.057274,-0.430513,-0.009380,0.026786,-0.048233,0.005371,-0.004823,-0.018048,-0.092633,0.030581,-0.004307,1.000000,0.000027,-0.000024,-0.000090,-0.125741,-0.715860,0.099861,0.679531,98.085388,71.402861,-79.789545
14156,-9.235339,3.077932,-0.451793,0.014927,-0.001470,-0.067481,0.001640,-0.003709,-0.016722,-0.092351,0.030787,-0.004519,1.000000,0.000008,-0.000019,-0.000084,-0.125718,-0.715833,0.099833,0.679568,98.071308,71.407750,-79.803213
14157,-9.208852,3.135323,-0.409855,-0.023061,-0.066775,-0.076354,-0.003926,0.000789,-0.018895,-0.092086,0.031362,-0.004099,1.000000,-0.000020,0.000004,-0.000094,-0.125708,-0.715817,0.099785,0.679593,98.062135,71.413056,-79.809298
14158,-9.228136,3.096996,-0.445568,0.010871,-0.023366,-0.068574,-0.008975,0.006751,-0.012698,-0.092280,0.030976,-0.004454,1.000000,-0.000045,0.000034,-0.000063,-0.125742,-0.715817,0.099728,0.679595,98.058732,71.414864,-79.805233
14159,-9.151732,3.096216,-0.453613,0.023359,-0.046603,-0.140883,-0.006969,0.007555,-0.016454,-0.091515,0.030970,-0.004534,1.000000,-0.000035,0.000038,-0.000082,-0.125754,-0.715822,0.099674,0.679596,98.058644,71.418241,-79.799893
14160,-9.163846,3.036004,-0.420338,-0.012268,0.012485,-0.149884,-0.005504,0.010155,-0.010497,-0.091637,0.030365,-0.004200,1.000000,-0.000028,0.000051,-0.000052,-0.125782,-0.715833,0.099640,0.679583,98.062339,71.418394,-79.791158
14161,-9.131267,3.013311,-0.483207,0.051107,0.026624,-0.185110,0.010065,0.012937,-0.009014,-0.091312,0.030137,-0.004825,1.000000,0.000050,0.000065,-0.000045,-0.125761,-0.715863,0.099667,0.679551,98.079313,71.417118,-79.778113
14162,-9.154243,3.019934,-0.480176,0.045955,0.027707,-0.161374,0.019661,0.011732,-0.001939,-0.091542,0.030201,-0.004793,1.000000,0.000098,0.000059,-0.000010,-0.125737,-0.715893,0.099739,0.679514,98.097843,71.412340,-79.767367
14163,-9.118412,3.020058,-0.434012,0.000677,0.015157,-0.197370,0.031375,0.009864,0.002452,-0.091185,0.030200,-0.004331,1.000000,0.000157,0.000049,0.000012,-0.125678,-0.715920,0.099881,0.679476,98.119081,71.404806,-79.762706
14164,-9.141111,3.027461,-0.431605,-0.004492,0.016259,-0.173630,0.035191,0.016099,0.005208,-0.091412,0.030273,-0.004303,1.000000,0.000176,0.000080,0.000026,-0.125608,-0.715969,0.100047,0.679413,98.152448,71.395498,-79.748678
14165,-9.201207,3.071777,-0.414110,-0.026138,-0.006134,-0.103476,0.029455,0.016411,0.010285,-0.092014,0.030714,-0.004129,1.000000,0.000147,0.000082,0.000051,-0.125585,-0.716013,0.100207,0.679347,98.181692,71.382986,-79.734406
14166,-9.258973,3.108783,-0.373403,-0.070951,-0.023350,-0.038898,0.022988,0.018194,0.004850,-0.092591,0.031086,-0.003722,1.000000,0.000115,0.000091,0.000024,-0.125565,-0.716062,0.100322,0.679282,98.211486,71.373734,-79.715683
14167,-9.248684,3.094670,-0.432803,-0.013263,-0.009067,-0.050403,0.004927,0.022062,0.008503,-0.092489,0.030943,-0.004317,1.000000,0.000025,0.000110,0.000043,-0.125627,-0.716111,0.100389,0.679209,98.236560,71.361766,-79.690981
14168,-9.312865,3.072839,-0.460973,0.009312,0.034681,0.004797,-0.001455,0.015137,0.006801,-0.093130,0.030725,-0.004603,1.000000,-0.000007,0.000076,0.000034,-0.125701,-0.716133,0.100427,0.679166,98.246794,71.351736,-79.677765
14169,-9.293469,3.028973,-0.426389,-0.025752,0.069828,-0.029052,-0.012297,0.010793,-0.004089,-0.092934,0.030291,-0.004261,1.000000,-0.000061,0.000054,-0.000020,-0.125776,-0.716139,0.100397,0.679150,98.246095,71.347831,-79.669845
14170,-9.306399,3.021174,-0.479481,0.026273,0.084212,-0.016837,-0.013806,0.009769,-0.004376,-0.093064,0.030213,-0.004792,1.000000,-0.000069,0.000049,-0.000022,-0.125856,-0.716142,0.100356,0.679139,98.242784,71.344521,-79.663241
14171,-9.260797,3.006285,-0.488776,0.038150,0.084907,-0.064336,-0.009594,0.001200,-0.007081,-0.092607,0.030066,-0.004889,1.000000,-0.000048,0.000006,-0.000035,-0.125906,-0.716118,0.100331,0.679158,98.228249,71.343100,-79.671559
14172,-9.248199,3.013005,-0.436141,-0.012825,0.072431,-0.076559,-0.003292,0.000780,-0.009459,-0.092481,0.030134,-0.004362,1.000000,-0.000016,0.000004,-0.000047,-0.125910,-0.716098,0.100328,0.679180,98.217644,71.343463,-79.681614
14173,-9.229211,2.968030,-0.400484,-0.047899,0.107556,-0.110417,0.001608,-0.002134,-0.011052,-0.092290,0.029685,-0.004006,1.000000,0.000008,-0.000011,-0.000055,-0.125905,-0.716072,0.100329,0.679207,98.204892,71.344566,-79.694824
14174,-9.203099,2.996639,-0.445040,-0.000426,0.074058,-0.124063,-0.001067,-0.001356,-0.011070,-0.092029,0.029971,-0.004451,1.000000,-0.000005,-0.000007,-0.000055,-0.125909,-0.716048,0.100315,0.679234,98.191900,71.345995,-79.706390
14175,-9.172367,3.010529,-0.443317,0.000654,0.051045,-0.148862,-0.003849,0.000893,-0.012160,-0.091722,0.030111,-0.004433,1.000000,-0.000019,0.000004,-0.000061,-0.125921,-0.716030,0.100291,0.679255,98.181371,71.347477,-79.713954
14176,-9.186891,2.957547,-0.432511,-0.011783,0.104904,-0.152357,-0.002288,0.000339,-0.017544,-0.091866,0.029583,-0.004325,1.000000,-0.000011,0.000002,-0.000088,-0.125914,-0.716014,0.100244,0.679279,98.171969,71.352447,-79.720040
14177,-9.191979,2.970828,-0.478959,0.035114,0.095491,-0.141216,0.005581,0.001055,-0.012894,-0.091918,0.029714,-0.004788,1.000000,0.000028,0.000005,-0.000064,-0.125890,-0.716003,0.100249,0.679295,98.167289,71.354332,-79.727133
14178,-9.207072,2.998876,-0.468386,0.024870,0.072787,-0.118519,0.005131,-0.000302,-0.014522,-0.092069,0.029996,-0.004683,1.000000,0.000026,-0.000002,-0.000073,-0.125861,-0.715987,0.100245,0.679317,98.160307,71.357522,-79.736153
