// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 00B4737C
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw
41819,-0.530761,2.927563,9.624135,-0.014014,-0.393839,0.253146,0.010976,0.041137,-0.071287,-0.005277,0.029272,0.096244,1.000000,0.000055,0.000206,-0.000356,-0.679063,-0.134483,0.074457,0.717805,16.903912,5.275353,-92.392886
41820,-0.786412,2.931020,9.602965,0.005315,-0.144905,0.257328,0.020318,0.068617,-0.082062,-0.007819,0.029304,0.096035,1.000000,0.000102,0.000343,-0.000410,-0.678831,-0.134787,0.074237,0.717990,16.909009,5.322546,-92.419970
41821,-0.898510,2.885211,9.605978,-0.035382,-0.040310,0.257253,0.009881,0.096233,-0.091252,-0.008926,0.028851,0.096066,1.000000,0.000049,0.000481,-0.000456,-0.678582,-0.135159,0.073877,0.718192,16.907896,5.386681,-92.447516
41822,-0.993202,2.736675,9.528553,-0.151102,0.057320,0.149392,0.015151,0.132349,-0.080161,-0.009858,0.027363,0.095294,1.000000,0.000076,0.000662,-0.000401,-0.678384,-0.135674,0.073424,0.718330,16.911080,5.468497,-92.462888
41823,-0.883785,2.791344,9.631695,-0.135442,-0.079351,0.252975,0.017607,0.172866,-0.063151,-0.008746,0.027908,0.096327,1.000000,0.000088,0.000864,-0.000316,-0.678258,-0.136337,0.072851,0.718381,16.917032,5.569957,-92.462129
41824,-0.807605,2.637662,9.503202,-0.250489,-0.153602,0.078418,0.036942,0.217383,-0.051525,-0.007966,0.026361,0.095046,0.999999,0.000185,0.001087,-0.000258,-0.678177,-0.137221,0.072206,0.718354,16.935594,5.693610,-92.447456
41825,-0.533490,2.865207,9.731798,-0.116885,-0.484015,0.333934,0.042842,0.253169,-0.045098,-0.005205,0.028632,0.097331,0.999999,0.000214,0.001266,-0.000225,-0.678127,-0.138251,0.071464,0.718278,16.958352,5.836055,-92.423220
41826,-0.518173,2.747230,9.711043,-0.229703,-0.517170,0.276902,0.055678,0.314024,-0.049657,-0.005022,0.027447,0.097126,0.999999,0.000278,0.001570,-0.000248,-0.678072,-0.139544,0.070560,0.718169,16.989520,6.012343,-92.391156
41827,-0.748816,3.019393,9.654955,0.050029,-0.336377,0.325352,0.045373,0.375898,-0.059800,-0.007298,0.030174,0.096570,0.999998,0.000227,0.001879,-0.000299,-0.678007,-0.141027,0.069400,0.718054,17.015222,6.224429,-92.354197
41828,-1.074061,2.961550,9.599041,0.018373,-0.044594,0.289960,0.050092,0.439092,-0.078672,-0.010518,0.029596,0.096021,0.999997,0.000250,0.002195,-0.000393,-0.677891,-0.142760,0.068031,0.717952,17.044013,6.474071,-92.316813
41829,-1.208648,2.973738,9.511688,0.054596,0.050506,0.225760,0.047636,0.485459,-0.088377,-0.011842,0.029720,0.095153,0.999997,0.000238,0.002427,-0.000442,-0.677753,-0.144652,0.066487,0.717848,17.071683,6.750918,-92.276844
41830,-1.190444,3.045867,9.540310,0.107392,-0.025414,0.271933,0.044896,0.514201,-0.092605,-0.011645,0.030443,0.095440,0.999997,0.000224,0.002571,-0.000463,-0.677608,-0.146640,0.064834,0.717733,17.098494,7.044005,-92.234125
41831,-1.056738,2.911192,9.539064,-0.031038,-0.200819,0.214472,0.014977,0.545486,-0.095311,-0.010293,0.029110,0.095421,0.999996,0.000075,0.002727,-0.000477,-0.677480,-0.148638,0.062964,0.717610,17.108700,7.354861,-92.187524
41832,-1.042368,2.862269,9.512142,-0.073936,-0.263459,0.171541,0.013296,0.566254,-0.084290,-0.010142,0.028621,0.095152,0.999996,0.000066,0.002831,-0.000421,-0.677394,-0.150700,0.061027,0.717428,17.119647,7.675027,-92.131152
41833,-1.221500,2.834710,9.442901,-0.076356,-0.132134,0.120714,0.004909,0.581058,-0.074319,-0.011930,0.028349,0.094465,0.999996,0.000025,0.002905,-0.000372,-0.677349,-0.152782,0.059014,0.717198,17.127030,8.001786,-92.066701
41834,-1.449015,2.807724,9.407459,-0.086008,0.042313,0.110708,-0.010647,0.593300,-0.065638,-0.014202,0.028087,0.094116,0.999996,-0.000053,0.002966,-0.000328,-0.677345,-0.154852,0.056913,0.716928,17.127039,8.333602,-91.995240
41835,-1.816478,2.920512,9.270071,0.072526,0.358553,0.068058,-0.000923,0.574601,-0.046325,-0.017892,0.029210,0.092752,0.999996,-0.000005,0.002873,-0.000232,-0.677391,-0.156881,0.054922,0.716598,17.133947,8.652075,-91.916290
41836,-1.807965,2.809495,9.300946,-0.044652,0.300689,0.065418,-0.037400,0.556219,-0.032930,-0.017816,0.028115,0.093054,0.999996,-0.000187,0.002781,-0.000165,-0.677504,-0.158716,0.052875,0.716241,17.121238,8.958067,-91.832916
41837,-1.827787,2.882686,9.211117,0.050786,0.276116,0.006495,0.003510,0.525178,-0.026724,-0.018032,0.028828,0.092159,0.999997,0.000018,0.002626,-0.000134,-0.677593,-0.160575,0.051082,0.715872,17.131912,9.246213,-91.751374
41838,-1.932235,2.950883,9.221711,0.112634,0.324409,0.054586,-0.004225,0.493298,-0.040210,-0.019089,0.029515,0.092264,0.999997,-0.000021,0.002466,-0.000201,-0.677628,-0.162296,0.049360,0.715572,17.136654,9.518973,-91.682633
41839,-1.934792,3.079197,9.126994,0.260193,0.286334,0.004494,0.018680,0.447735,-0.065183,-0.019133,0.030790,0.091316,0.999997,0.000093,0.002239,-0.000326,-0.677540,-0.163938,0.047852,0.715384,17.151034,9.771212,-91.635531
41840,-2.013409,3.190812,9.164342,0.354952,0.307753,0.086778,0.004112,0.404387,-0.102993,-0.019932,0.031917,0.091685,0.999998,0.000021,0.002022,-0.000515,-0.677315,-0.165383,0.046409,0.715359,17.152573,10.005883,-91.616743
41841,-1.972327,3.129261,9.171114,0.292787,0.231650,0.069224,-0.011517,0.371335,-0.134805,-0.019532,0.031311,0.091746,0.999998,-0.000058,0.001857,-0.000674,-0.676978,-0.166664,0.044994,0.715471,17.140971,10.228059,-91.621478
41842,-1.924050,3.084575,9.257775,0.223628,0.135687,0.129869,-0.003792,0.355385,-0.157165,-0.019052,0.030863,0.092611,0.999998,-0.000019,0.001777,-0.000786,-0.676550,-0.167918,0.043644,0.715667,17.131201,10.445051,-91.641288
41843,-1.782457,2.943176,9.345259,0.060437,-0.044070,0.145605,-0.024781,0.344027,-0.175949,-0.017638,0.029459,0.093479,0.999998,-0.000124,0.001720,-0.000880,-0.676066,-0.169065,0.042239,0.715938,17.106920,10.659242,-91.673671
41844,-1.844530,2.865104,9.342232,-0.009099,-0.014088,0.131557,-0.007131,0.354575,-0.188470,-0.018253,0.028672,0.093454,0.999998,-0.000036,0.001773,-0.000942,-0.675523,-0.170311,0.040853,0.716236,17.091770,10.881052,-91.711241
